id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
483750147011015,0,0,0,0,5,3.5,0,3,6.5,827260.449226343,51349.29732848146
483750132001000,9,0,0,9,8,37.1,10.8,17.4,65.3,812859.952671117,11861.871146131172
483750106002037,0,0,0,0,8,5.6,0,4.8,10.4,829228.042103621,26224.957745072177
483750152001007,0,0,0,0,27,18.9,0,16.2,35.1,795651.8969706418,2276.785657489462
483750130002006,0,0,0,0,10,7,0,6,13,814007.9654894758,3867.4020578561203
483599501001106,0,0,0,0,2,1.4,0,1.2,2.6,267082.8963965304,1107.4078180571425
483599501001120,0,0,0,0,4,2.8,0,2.4,5.2,228674.43233540116,1063.8308305926748
483599501001054,0,0,0,0,6,4.2,0,3.6,7.8,187353.14514682707,1098.9220899172146
483750122004007,165,143,0,22,7,182,198,106.5,486.5,811976.3938042474,6013.372325843168
483750104001008,0,0,0,0,17,11.9,0,10.2,22.1,829606.8572739462,43669.3832994718
483750143001218,3,3,0,0,7,6.999999999999999,3.6,5.7,16.3,576856.8281431517,427.7950484085756
483750150003016,0,0,0,0,21,14.7,0,12.6,27.3,809463.9305186311,10967.863049602292
483750143002069,1,0,0,1,13,12.6,1.2,9.2,23,785954.9404612364,708.7137192417969
483750143004120,3,3,0,0,79,57.4,3.6,48.9,109.9,652524.4143667732,165.7014512765063
483810219001086,0,0,0,0,1,0.7,0,0.6,1.3,436725.0867039095,43.16967255437984
483750118003010,0,0,0,0,25,17.5,0,15,32.5,818447.1008453026,54705.889978001236
483810210002005,0,0,0,0,29,20.3,0,17.4,37.7,821364.7599308676,11988.15421390167
483810208004012,15,14,0,1,34,37.1,18,28.8,83.9,821139.7260604785,10051.627070513865
483810218041046,3,0,0,3,3,12.6,3.6,5.999999999999999,22.2,718061.4588091994,1938.970758384896
483810208003007,0,0,0,0,18,12.6,0,10.8,23.4,823740.1892333913,21812.851411801155
483750107002008,0,0,0,0,71,49.7,0,42.6,92.3,826484.4794580422,31660.416571667072
483750147022040,0,0,0,0,43,30.1,0,25.8,55.9,829321.5307407004,28822.017030022205
483750147022046,0,0,0,0,15,10.5,0,9,19.5,830508.0093513547,26397.55529431839
483750147011000,47,2,5,40,25,200.9,56.4,95.5,352.8,827459.374250278,55201.31449216429
483750132002014,5,5,0,0,22,18.9,6,15.7,40.6,818621.9170030827,10194.224074028743
483810209003010,0,0,0,0,18,12.6,0,10.8,23.4,826888.6936540847,24039.783077208747
483810220012025,2,0,0,2,15,17.5,2.4,11.8,31.7,815950.9144961094,2796.7598908797368
483810216061010,0,0,0,0,19,13.3,0,11.4,24.7,813136.7444688411,20624.208138489314
483810216063006,0,0,0,0,53,37.1,0,31.8,68.9,813175.146958196,24578.08642564059
483810216111021,0,0,0,0,46,32.2,0,27.6,59.8,813698.75152297155,3466.066250252546
483810218031017,1,0,0,1,19,16.8,1.2,12.8,30.8,745476.0602658953,22304.98459156021
483810203002003,0,0,0,0,21,14.7,0,12.6,27.3,825123.531396658,55122.20703248289
483810211011001,0,0,0,0,20,14,0,12,26,824059.6153105256,36891.345946532565
483810203002012,0,0,0,0,22,15.4,0,13.2,28.6,824981.0051313441,46322.91641654845
483810216112001,5,3,0,2,243,179.2,6,150.1,335.3,815036.6558585512,15859.504838504545
483810220023005,0,0,0,0,28,19.6,0,16.8,36.4,822707.8090823714,6956.416584381879
