id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
050199536021132,6,2,0,4,30,36.4,7.2,24.6,68.2,59132.836871160645,260.232002953574
050199538003029,0,0,0,0,10,7,0,6,13,59458.35942689652,13281.203063160301
050199536011014,4,0,2,2,17,35.7,4.8,22.4,62.9,59932.25752374403,19935.96298802776
050199536013006,10,0,10,0,9,90.3,12,52.4,154.7,59496.22523944587,4468.976165091486
050199537001029,0,0,0,0,8,5.6,0,4.8,10.4,1538.1062297691178,10.111892538906032
050199536022020,6,4,0,2,7,14.7,7.2,9,30.9,58390.3930922707,1571.1983087030176
050199538002062,0,0,0,0,3,2.1,0,1.8,3.9,60969.740312012844,121.46349967535325
050199536014014,0,0,0,0,9,6.3,0,5.4,11.7,60663.465760292296,14697.223249587856
050199539021128,0,0,0,0,1,0.7,0,0.6,1.3,9714.377835302314,100.3258376120633
050199536021095,6,0,0,6,24,37.8,7.2,22.8,67.8,55129.03989159905,67.21844634164263
050199539023002,0,0,0,0,12,8.4,0,7.2,15.6,39425.04619530836,53.238917965847286
050199538001006,0,0,0,0,32,22.4,0,19.2,41.6,59852.73338206906,9817.598133019672
050199538003095,0,0,0,0,4,2.8,0,2.4,5.2,59932.832106931484,16822.5772350038
050199537004085,0,0,0,0,8,5.6,0,4.8,10.4,23662.15039567637,10.083863127874501
050199539022014,0,0,0,0,1,0.7,0,0.6,1.3,48145.66191759709,2089.776546961131
050199536021135,9,9,0,0,36,31.5,10.8,26.1,68.4,57471.748458818576,73.88474728489759
050199536021058,0,0,0,0,1,0.7,0,0.6,1.3,56601.527688448594,34.81810601287653
050199539023059,0,0,0,0,6,4.2,0,3.6,7.8,51541.63537275164,2054.4901041261237
050199537004052,2,2,0,0,12,9.8,2.4,8.2,20.4,53387.56643542755,19.997898844379204
050199538002027,0,0,0,0,5,3.5,0,3,6.5,59150.68763360918,148.6045689142035
050199536014022,0,0,0,0,6,4.2,0,3.6,7.8,59678.14973784626,11901.349273324624
050199537001030,4,0,0,4,4,16.8,4.8,8,29.6,970.3910692594471,29.02810183048595
050199538002036,0,0,0,0,10,7,0,6,13,58927.360681690334,42.472685159985424
050199536011022,2,0,2,0,12,25.2,2.4,16.6,44.2,60126.359974343715,12766.224890552367
