id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
484530019192036,0,0,0,0,9,6.3,0,5.4,11.7,5816509.301906182,34188.101800106764
484530021103003,0,0,0,0,6,4.2,0,3.6,7.8,5733598.687379798,9684.462005064559
484530016044002,0,0,0,0,18,12.6,0,10.8,23.4,6042158.260797827,16493.64739641637
484530426001012,7,5,0,2,44,41.3,8.4,31.7,81.4,5611578.065385514,13200.660900805648
484530024071017,0,0,0,0,19,13.3,0,11.4,24.7,3544534.1497637457,599.9210890669336
484530428003014,0,0,0,0,12,8.4,0,7.2,15.6,5211412.243705066,11015.968514527991
484530021071007,10,0,0,10,30,56,12,32,100,6031181.688572233,22972.700096484623
484530319001017,0,0,0,0,12,8.4,0,7.2,15.6,3944423.416101659,5093.834642314662
484530022131004,3,0,0,3,11,18.2,3.6,10.8,32.6,5732526.983479966,1542.3190328598118
484530004011021,0,0,0,0,20,14,0,12,26,6213503.075954154,156473.3565084364
484530373001002,2,2,0,0,89,63.7,2.4,54.4,120.5,418989.1082372914,1586.465479472361
484530422001006,407,0,0,407,25,1442,488.4,584.8,2515.2,6242897.130987451,53904.554357176006
484530332001020,250,242,0,8,219,350.7,300,263.6,914.3,3726245.0865709665,1563.022759158225
484530439001002,4,3,0,1,38,32.2,4.8,25.7,62.7,5799036.877159625,9974.685299877503
484530013071007,39,0,3,36,114,231,46.8,132.9,410.7,5724513.325277363,41513.92052732396
484530024321033,0,0,0,0,52,36.4,0,31.2,67.6,4544868.096017904,1297.974934012126
484530024321048,6,6,0,0,39,31.5,7.2,26.4,65.1,4396096.900965598,985.9950644450196
484530023213013,1,0,0,1,12,11.9,1.2,8.6,21.7,5587760.513339985,12106.836538859641
484530356001023,0,0,0,0,3,2.1,0,1.8,3.9,3142104.661082705,632.8894301067634
484530435002012,3,1,1,1,32,35,3.6,25.8,64.4,5500140.8227627035,2184.4010429676155
484530024123014,0,0,0,0,23,16.1,0,13.8,29.9,5246954.897747222,8229.270177522843
484530330003009,0,0,0,0,1,0.7,0,0.6,1.3,4193898.114969364,1167.7044892561416
484530446002004,0,0,0,0,10,7,0,6,13,5255998.952404929,4901.174965587944
484530010001007,2,0,0,2,17,18.9,2.4,13,34.3,6347431.743079223,340178.5689016772
484530003051020,0,0,0,0,21,14.7,0,12.6,27.3,6172454.992839141,76773.71391794602
484530340003008,0,0,0,0,2,1.4,0,1.2,2.6,4251637.348369789,25018.50467087979
484530365001006,3,0,0,3,26,28.7,3.6,19.8,52.1,2804947.254138169,2695.8943808461127
484530019222009,5,2,0,3,28,31.5,6,22,59.5,5342350.303065778,9105.875703426684
484530024501012,1,0,1,0,37,34.3,1.2,26.9,62.4,1844405.3793421944,445.117205793947
484530005004008,20,20,0,0,33,37.1,24,29.8,90.9,6121505.989040307,196841.49801417816
484530461001016,0,0,0,0,36,25.2,0,21.6,46.8,5014096.358182705,5790.864723287335
484530426001013,0,0,0,0,11,7.7,0,6.6,14.3,5557314.18474439,38900.30064177204
484530352003004,0,0,0,0,14,9.8,0,8.4,18.2,25242.181976802774,18.030856683283186
484530371002001,2,2,0,0,32,23.8,2.4,20.2,46.4,4282421.964248284,3524.6626896352996
484530411002015,0,0,0,0,26,18.2,0,15.6,33.8,6091176.453225333,14789.732988798314
484530022191007,0,0,0,0,6,4.2,0,3.6,7.8,4983914.254136833,199.45184459709847
484530022182004,0,0,0,0,42,29.4,0,25.2,54.6,2578689.4326669155,821.6961097892595
484530022162004,0,0,0,0,4,2.8,0,2.4,5.2,3161805.5657148897,69.33240635690038
484530436001018,0,0,0,0,11,7.7,0,6.6,14.3,5997135.2174049,10711.377667385792
484530353001004,0,0,0,0,6,4.2,0,3.6,7.8,559710.6453602161,66.44803026080305
484530008031026,2,0,2,0,1,17.5,2.4,10,29.9,6112566.5820094645,27084.498448247487
484530369001003,2,0,0,2,17,18.9,2.4,13,34.3,599120.1245941727,3588.5321540051646
484530024492032,0,0,0,0,36,25.2,0,21.6,46.8,4774008.465261129,1162.689632652582
484530343001023,2,2,0,0,16,12.6,2.4,10.6,25.6,4941919.350034632,1570.188571832526
484530315003031,0,0,0,0,50,35,0,30,65,1684820.9420030627,477.8407457514922
484530015051022,227,19,3,205,3,758.1,272.4,312.4,1342.9,6341545.4020932615,108474.3150226263
484530303003004,5,5,0,0,107,78.4,6,66.7,151.1,5615129.211982694,13469.206575515216
484530024093004,0,0,0,0,20,14,0,12,26,5232903.69908563,20539.332935813105
484530412001005,0,0,0,0,7,4.9,0,4.2,9.1,6110931.658971131,8964.547136699064
484530346003002,2,1,0,1,16,15.4,2.4,11.5,29.3,5304831.189296517,14433.587088242964
484530309004006,0,0,0,0,33,23.1,0,19.8,42.9,5120912.804795713,18090.356702949754
484530015031031,18,0,0,18,14,72.8,21.6,33.6,128,6262296.820412685,143126.82387217123
