id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
310679652002121,0,0,0,0,1,0.7,0,0.6,1.3,28022.16725410645,91.90191643411092
310679652002122,3,3,0,0,3,4.2,3.6,3.3,11.1,26188.191254496927,91.88666048169881
310679647002037,0,0,0,0,7,4.9,0,4.2,9.1,47207.38319178687,578.6285047986296
310679648004008,2,2,0,0,1,2.1,2.4,1.6,6.1,57695.90075126326,12337.60333533295
310679651001023,0,0,0,0,5,3.5,0,3,6.5,57418.846029688444,12406.335118048451
310679651002039,0,0,0,0,4,2.8,0,2.4,5.2,57964.68204095274,18422.308118298122
310679649004020,6,0,0,6,21,35.7,7.2,21,63.9,57375.45989206868,8346.40984000129
310679649001049,0,0,0,0,14,9.8,0,8.4,18.2,57224.863200143904,7787.905448002693
310679646001106,0,0,0,0,10,7,0,6,13,25451.30862731051,1575.0838686503935
310679652001176,0,0,0,0,1,0.7,0,0.6,1.3,48095.41827996329,1919.6678168337578
310679652002306,0,0,0,0,2,1.4,0,1.2,2.6,51007.64276302786,2138.3382913015253
310679648003025,0,0,0,0,3,2.1,0,1.8,3.9,57547.55621519913,8089.558682248131
310679651002053,8,4,4,0,3,38.5,9.6,22.6,70.7,58172.4529895994,16514.23105373856
310679649004025,0,0,0,0,9,6.3,0,5.4,11.7,57150.08579929117,6838.677646097671
310679649004023,0,0,0,0,5,3.5,0,3,6.5,57228.75436405521,6177.047796912015
310679648002019,0,0,0,0,14,9.8,0,8.4,18.2,55956.304379081404,1991.5760996614724
310679652001139,0,0,0,0,3,2.1,0,1.8,3.9,50061.06015358733,2177.4008161034344
310679647001198,0,0,0,0,7,4.9,0,4.2,9.1,56755.39612452321,332.09943060759576
310679646002154,0,0,0,0,3,2.1,0,1.8,3.9,48575.82532006726,4.9882918420529645
310679652001169,0,0,0,0,9,6.3,0,5.4,11.7,51164.15365902048,2673.565560300789
310679650002018,0,0,0,0,3,2.1,0,1.8,3.9,58461.49265751604,17660.842773327815
310679651002022,171,0,2,169,5,611.8,205.2,249,1066,58076.18237361704,17559.286903908098
310679650001024,0,0,0,0,4,2.8,0,2.4,5.2,57768.18610342279,7377.299228958177
310679649002011,3,0,0,3,56,49.7,3.6,37.8,91.1,57044.00520195814,9287.07566666297
310679647001199,0,0,0,0,6,4.2,0,3.6,7.8,56986.62969200657,330.9619684302346
310679646001183,0,0,0,0,3,2.1,0,1.8,3.9,11988.98609882459,8.987577644539652
310679647001192,0,0,0,0,6,4.2,0,3.6,7.8,57094.59627141814,348.08321299780425
310679649003005,2,0,0,2,20,21,2.4,14.8,38.2,57675.92647998491,18835.249974867675
310679647003020,0,0,0,0,3,2.1,0,1.8,3.9,51834.11880709472,15.539345362263
310679652002290,0,0,0,0,8,5.6,0,4.8,10.4,50391.983085024076,2499.2738397738703
310679647003191,0,0,0,0,3,2.1,0,1.8,3.9,40937.36274998278,428.01532434243137
310679647001016,0,0,0,0,8,5.6,0,4.8,10.4,50984.485711772504,385.403419758447
310679646002061,0,0,0,0,4,2.8,0,2.4,5.2,54780.90381394948,243.3956739676152
310679652002296,0,0,0,0,5,3.5,0,3,6.5,50287.447431713714,2475.9408675579884
310679646002121,0,0,0,0,5,3.5,0,3,6.5,51541.83562461826,55.270159084997736
310679651001033,0,0,0,0,10,7,0,6,13,57468.965595955466,14358.117736939359
310679647001058,0,0,0,0,6,4.2,0,3.6,7.8,51116.97723927164,387.3761134894339
310679650004025,5,0,0,5,8,23.1,6,11.8,40.9,57917.57397774995,15558.842575336865
310679652001156,3,0,0,3,12,18.9,3.6,11.4,33.9,50240.29168784296,2541.972432608163
310679652001168,0,0,0,0,11,7.7,0,6.6,14.3,51326.04899885476,2629.689610393755
310679652002013,0,0,0,0,1,0.7,0,0.6,1.3,12711.254457863566,39.39621583131576
310679652001208,0,0,0,0,2,1.4,0,1.2,2.6,54802.548162399304,57.112703381456896
310679646001048,0,0,0,0,3,2.1,0,1.8,3.9,33470.811013285405,5.06832435255073
310679652002054,0,0,0,0,5,3.5,0,3,6.5,50160.857071653605,2487.6305299969304
310679652002279,0,0,0,0,4,2.8,0,2.4,5.2,51011.11515028542,2398.276882773324
310679648004028,38,0,0,38,10,140,45.6,59.2,244.8,56787.97992671591,2853.1623068055173
310679646001107,0,0,0,0,13,9.1,0,7.8,16.9,28023.57919737869,1605.9420529622314
310679652002136,0,0,0,0,1,0.7,0,0.6,1.3,27207.749115696897,91.92576909894139
310679652002056,0,0,0,0,4,2.8,0,2.4,5.2,50103.33256065722,2479.0018341770838
310679650004028,0,0,0,0,9,6.3,0,5.4,11.7,58136.600034550094,18161.28790160712
310679652001148,0,0,0,0,5,3.5,0,3,6.5,51214.67585775732,2644.8601733401442
310679652002238,8,0,0,8,8,33.6,9.6,16,59.2,50658.18788249456,2468.3063676931724
310679652001146,0,0,0,0,7,4.9,0,4.2,9.1,50857.22584897428,2620.3891423762125
310679652001085,0,0,0,0,4,2.8,0,2.4,5.2,52045.04122596876,739.6009753509215
310679652001188,0,0,0,0,1,0.7,0,0.6,1.3,50319.85237120402,1374.2084596120792
310679647001041,0,0,0,0,4,2.8,0,2.4,5.2,51139.0197326209,386.7460502223484
310679652002108,0,0,0,0,2,1.4,0,1.2,2.6,25849.11302244747,91.89300683676058
310679648002010,6,0,0,6,7,25.9,7.2,12.6,45.7,56057.040342411085,2400.668466247407
310679652002298,10,0,0,10,3,37.1,12,15.8,64.9,51234.307852459766,2389.2635944171325
310679652002094,0,0,0,0,1,0.7,0,0.6,1.3,25639.81243364372,91.92971430382904
310679652001173,0,0,0,0,6,4.2,0,3.6,7.8,48707.59399160995,2187.552420452099
310679648003017,0,0,0,0,5,3.5,0,3,6.5,57845.03049481843,8715.793476892812
310679651001015,0,0,0,0,9,6.3,0,5.4,11.7,57592.57979042008,15475.619746471135
310679650004029,0,0,0,0,13,9.1,0,7.8,16.9,58109.16748829811,18697.339896206136
310679650001026,7,7,0,0,21,19.6,8.4,16.1,44.1,57442.96396179492,8657.996358082544
310679648002022,0,0,0,0,1,0.7,0,0.6,1.3,56442.713511221045,2593.9957228348444
310679651001010,12,0,0,12,2,43.4,14.4,17.999999999999996,75.8,57958.66400978925,17485.861339679963
310679651001036,0,0,0,0,7,4.9,0,4.2,9.1,57427.12578089287,14153.046840791927
310679652001069,0,0,0,0,5,3.5,0,3,6.5,51396.018328066624,615.3479673460708
310679646001057,0,0,0,0,2,1.4,0,1.2,2.6,18899.22500301312,2.0771345833015746
310679647001158,0,0,0,0,1,0.7,0,0.6,1.3,45361.36650405948,1.006693710226201
310679650003008,0,0,0,0,7,4.9,0,4.2,9.1,57983.65216843115,8877.783239698314
310679648003019,0,0,0,0,5,3.5,0,3,6.5,57699.73661557807,6427.655091806125
310679646001039,1,1,0,0,3,2.8,1.2,2.3,6.3,19792.027387546048,6.1391962173913806
310679646001072,2,2,0,0,13,10.5,2.4,8.8,21.7,20843.06020898425,21.02907590855701
310679649003007,0,0,0,0,24,16.8,0,14.4,31.2,57406.546721167775,17601.6862905026
310679652002333,0,0,0,0,1,0.7,0,0.6,1.3,12507.636807964509,38.096197609317706
310679652002241,0,0,0,0,4,2.8,0,2.4,5.2,51406.35918761712,2389.6857468822054
310679652002057,0,0,0,0,2,1.4,0,1.2,2.6,50372.40758468021,2432.451550135668
310679648004039,0,0,0,0,1,0.7,0,0.6,1.3,56193.919238366885,2560.3162809325913
310679647001108,0,0,0,0,3,2.1,0,1.8,3.9,45278.045683412514,7.208615287965694
310679647002029,0,0,0,0,3,2.1,0,1.8,3.9,48625.58628427123,577.8354874323902
310679646001154,0,0,0,0,1,0.7,0,0.6,1.3,29356.411629072758,1.0378208218627845
310679650003009,0,0,0,0,11,7.7,0,6.6,14.3,57794.43707011715,8023.943883218369
310679649004011,43,0,25,18,5,276.5,51.6,145.7,473.8,57583.25284519575,7503.260222315015
310679646001083,2,2,0,0,2,2.8,2.4,2.2,7.4,11399.261324279205,6.994047186805252
310679650004018,0,0,0,0,14,9.8,0,8.4,18.2,57350.40348465085,10405.24059725851
310679646002158,0,0,0,0,1,0.7,0,0.6,1.3,52459.314956205795,2.1791510247785504
310679650002036,3,0,0,3,21,25.2,3.6,16.8,45.6,58443.853412663215,18519.473285128774
310679650004045,0,0,0,0,9,6.3,0,5.4,11.7,58188.05371215535,18987.25061195991
310679650002024,0,0,0,0,10,7,0,6,13,58293.88735697252,18301.77548330658
310679652002281,0,0,0,0,3,2.1,0,1.8,3.9,50662.727161444534,2281.0013187807363
310679652002055,0,0,0,0,4,2.8,0,2.4,5.2,49982.868575095104,2475.6384572492852
310679648003011,0,0,0,0,1,0.7,0,0.6,1.3,54587.273506168836,8.299822372686098
310679648004047,17,0,17,0,31,164.5,20.4,98.5,283.4,56987.950877317664,4782.668343011089
310679648002027,0,0,0,0,8,5.6,0,4.8,10.4,56116.592960675815,2507.4100716674475
310679646001130,0,0,0,0,6,4.2,0,3.6,7.8,29168.38726965104,1620.1394129563307
310679648004017,0,0,0,0,10,7,0,6,13,56496.342130246914,5883.692714045221
310679651001042,0,0,0,0,7,4.9,0,4.2,9.1,57223.42196193265,14736.649605813218
310679651001012,0,0,0,0,12,8.4,0,7.2,15.6,57888.086513796676,16940.220577595333
310679649003022,0,0,0,0,18,12.6,0,10.8,23.4,57690.496633018636,17687.699557688942
310679652002309,0,0,0,0,4,2.8,0,2.4,5.2,50660.677557360905,2362.4936544022753
310679646001053,0,0,0,0,4,2.8,0,2.4,5.2,20470.895560365483,5.129142746981217
310679650003017,63,0,0,63,6,224.7,75.6,91.8,392.1,57937.58823839709,10969.958071971176
310679652002261,0,0,0,0,1,0.7,0,0.6,1.3,51525.724938877654,2525.417240958158
310679649004008,0,0,0,0,15,10.5,0,9,19.5,57642.17880775821,11055.343146602565
310679646001182,0,0,0,0,1,0.7,0,0.6,1.3,8206.771021258888,1.0062676558682142
310679648004045,0,0,0,0,15,10.5,0,9,19.5,56489.85211523646,2795.265839990011
310679652002277,21,0,21,0,3,178.5,25.2,100.5,304.2,50428.947431748486,2584.2033670667834
310679649001005,0,0,0,0,1,0.7,0,0.6,1.3,56788.910325556244,3761.2615006296483
