id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
081170004062003,14,9,1,4,121,113.4,16.8,87.4,217.6,131032.14656286886,3294.717844675825
081170001024003,0,0,0,0,7,4.9,0,4.2,9.1,95300.18133150609,93.52665042564729
081170004041039,0,0,0,0,9,6.3,0,5.4,11.7,132666.53103337385,187.0302061670824
081170001032008,0,0,0,0,16,11.2,0,9.6,20.8,112185.329911599,1369.6035784909159
081170004041012,0,0,0,0,5,3.5,0,3,6.5,139242.22057362547,525.3736814424872
081170003022007,0,0,0,0,10,7,0,6,13,140262.18977431685,11527.363699089787
081170003021042,0,0,0,0,38,26.6,0,22.8,49.4,139838.77495882055,8911.676952378897
081170002032008,0,0,0,0,6,4.2,0,3.6,7.8,134373.26564174192,2302.5174889157156
080659617021021,0,0,0,0,11,7.7,0,6.6,14.3,23011.294770511096,7556.275188118762
080659617024021,3,3,0,0,8,7.7,3.6,6.3,17.6,20650.63658541803,9065.911831361524
080659617024028,0,0,0,0,11,7.7,0,6.6,14.3,19067.281177685818,8370.25711110109
080659619001059,0,0,0,0,9,6.3,0,5.4,11.7,9105.662570541883,15.055922629025325
080659619001135,0,0,0,0,3,2.1,0,1.8,3.9,11589.168205885406,101.17830947059245
080659619001093,1,0,0,1,6,7.7,1.2,5,13.9,8265.007839418728,12.9988254267205
081170004053032,0,0,0,0,7,4.9,0,4.2,9.1,121248.92691374605,1221.2815167978426
081170004032005,0,0,0,0,2,1.4,0,1.2,2.6,115360.96873348982,28006.012098759897
081170002031015,145,15,12,118,65,569.8,174,268.1,1011.9,128179.68058950118,16227.246109789601
081170004041006,13,0,9,4,1,90.3,15.6,48.5,154.4,95380.21841026431,153.99568650406715
081170002011014,6,2,4,0,27,53.9,7.2,36,97.1,123373.3664203799,9218.800010142559
081170002012041,0,0,0,0,1,0.7,0,0.6,1.3,37863.496028967566,1.1897404593178045
081170003022012,0,0,0,0,7,4.9,0,4.2,9.1,140364.36375114834,10916.125813219987
081170003022050,3,3,0,0,96,69.3,3.6,59.1,131.99999999999997,139319.53283983408,8719.871804466598
081170004052009,0,0,0,0,6,4.2,0,3.6,7.8,127153.42309072646,34758.75555409683
081170001022011,22,4,0,18,78,120.4,26.4,74,220.8,84743.5716871904,234.38505360615665
081170002022007,9,1,0,8,140,126.7,10.8,95.7,233.2,118965.54236170957,3021.2632268760176
081170003013018,0,0,0,0,6,4.2,0,3.6,7.8,137178.08872714918,13277.802933723
081170001023007,0,0,0,0,69,48.3,0,41.4,89.7,117666.5719040547,6857.8895189919485
081170001031093,0,0,0,0,3,2.1,0,1.8,3.9,1325.513886406118,73.81719400154185
080659619001048,0,0,0,0,1,0.7,0,0.6,1.3,13355.653468474671,1.1445998542353086
080659617021030,3,3,0,0,11,9.8,3.6,8.1,21.5,21579.66202021123,8592.72375349732
080659617011019,0,0,0,0,4,2.8,0,2.4,5.2,19309.405066319807,583.2677370177826
081170004052032,178,1,10,167,26,687.4,213.6,296.9,1197.9,123505.36218273369,35157.83391721509
081170003011008,67,5,0,62,73,271.6,80.4,133.1,485.1,137500.78619577643,12345.134902278336
