id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
560250003002054,0,0,0,0,7,4.9,0,4.2,9.1,278615.5152196327,44873.366015681844
560250007001027,0,0,0,0,6,4.2,0,3.6,7.8,279139.33774776955,37632.467782440326
560250018021669,0,0,0,0,4,2.8,0,2.4,5.2,8918.271611069757,4.988426640468445
560250016032051,0,0,0,0,18,12.6,0,10.8,23.4,252136.8750276187,44.30797027251794
560250005014003,0,0,0,0,34,23.8,0,20.4,44.2,277173.23561285523,7888.932730430728
560250018021275,0,0,0,0,1,0.7,0,0.6,1.3,13.269590082635583,0.9999135917817566
560250004003010,0,0,0,0,2,1.4,0,1.2,2.6,278281.02921447536,32721.3648994352
560250004003007,0,0,0,0,5,3.5,0,3,6.5,278811.7556566838,40235.67035942166
560250003001004,28,0,0,28,4,100.8,33.6,41.6,176,279037.6728361446,56246.09268095067
560250014011493,0,0,0,0,3,2.1,0,1.8,3.9,1637.4167250032754,256.1987137584499
560250014012035,3,0,0,3,30,31.5,3.6,22.2,57.3,275463.4439484432,2435.8505121772732
560250018021628,6,6,0,0,5,7.7,7.2,6,20.9,290.5041126673876,16.828352177927275
560250003001083,0,0,0,0,11,7.7,0,6.6,14.3,278672.7029327912,43697.025275613596
560250006023045,0,0,0,0,9,6.3,0,5.4,11.7,277589.8625403483,8243.505096877061
560250003001062,0,0,0,0,17,11.9,0,10.2,22.1,278807.7093616555,54310.95556109111
560250003002027,0,0,0,0,9,6.3,0,5.4,11.7,278464.23148171994,31461.805684099454
560250006023066,0,0,0,0,7,4.9,0,4.2,9.1,277524.538680699,8719.06834260166
560250003001057,0,0,0,0,28,19.6,0,16.8,36.4,278923.09740164224,54907.88812800535
560250005012014,0,0,0,0,4,2.8,0,2.4,5.2,277152.5652546479,5020.906053002391
560250006022049,0,0,0,0,15,10.5,0,9,19.5,277534.0550397265,10998.98835161855
560250016021007,0,0,0,0,20,14,0,12,26,277239.507916509,2532.204404536972
560250004004024,1,1,0,0,5,4.2,1.2,3.5,8.9,278049.5632286318,33902.77819952574
560250011001092,0,0,0,0,10,7,0,6,13,278687.714192347,5716.8980795884545
560250005014020,0,0,0,0,1,0.7,0,0.6,1.3,277575.64607511,9537.224379845478
560250011001051,2,2,0,0,1,2.1,2.4,1.6,6.1,278996.97516716825,5991.803474650551
560250011001058,0,0,0,0,8,5.6,0,4.8,10.4,278893.1153068582,5979.595175695429
560250006023018,0,0,0,0,6,4.2,0,3.6,7.8,277810.5095910361,16096.913815687787
560250007003025,0,0,0,0,10,7,0,6,13,278781.8300801308,17053.769485737626
560250003002019,2,0,0,2,8,12.6,2.4,7.6,22.6,278414.0503180104,37315.91002495179
560250003001048,37,0,6,31,11,166.6,44.4,78.2,289.2,279023.5780617829,57417.42108303842
560250012002044,12,6,0,6,11,32.9,14.4,18,65.3,278531.9023239597,5398.349189103051
560250003001021,6,6,0,0,7,9.1,7.2,7.2,23.5,278753.9355067222,41063.50432900892
560250004003005,1,1,0,0,4,3.5,1.2,2.9,7.6,278617.4437122006,41132.05575799698
560250018022056,0,0,0,0,4,2.8,0,2.4,5.2,257869.34578706668,5.750299214311437
560250002001035,0,0,0,0,7,4.9,0,4.2,9.1,278984.527715617,17622.802729264404
560250008003020,1,0,0,1,12,11.9,1.2,8.6,21.7,278656.1222767914,10546.678931612558
560250002002020,0,0,0,0,12,8.4,0,7.2,15.6,279114.71711572044,22092.83795958119
560250016022053,9,0,9,0,16,86.8,10.8,51.9,149.5,278511.6503551333,26147.393123691094
560250014013087,0,0,0,0,34,23.8,0,20.4,44.2,278023.2853116173,1200.8276045870102
560250018021447,0,0,0,0,1,0.7,0,0.6,1.3,5441.389376888359,0.9976993609442497
560250008002004,7,0,0,7,15,35,8.4,18.8,62.2,278932.0226116596,16583.505315383212
560250016021019,0,0,0,0,24,16.8,0,14.4,31.2,278033.6516900978,16219.600005245195
560250006021012,4,0,2,2,9,30.1,4.8,17.6,52.5,278127.6725865313,26085.112502564098
560250002002037,0,0,0,0,5,3.5,0,3,6.5,279219.8233790016,38194.072307735
560250010002016,3,2,0,1,17,16.8,3.6,12.6,33,272314.46502126585,1872.2260270927527
560250002004070,99,78,6,15,2,158.9,118.8,89.4,367.1,279360.97155253595,57871.94097684382
560250003002048,0,0,0,0,12,8.4,0,7.2,15.6,278782.28360392584,48827.9983299574
560250002003020,132,0,0,132,1,462.7,158.4,185.4,806.5,279189.463248148,49576.923619222405
560250003001111,0,0,0,0,5,3.5,0,3,6.5,278561.52930622053,43427.432894644546
560250018022061,0,0,0,0,3,2.1,0,1.8,3.9,179077.42028860628,4.328695399441785
560250003002080,0,0,0,0,6,4.2,0,3.6,7.8,278526.7623511692,36371.31254512935
560250018011032,5,0,0,5,3,19.6,6,8.8,34.4,276134.01447208854,1016.4379051863981
560250014013086,108,97,0,11,18,118.99999999999999,129.6,74.7,323.3,277257.77282636764,1161.3739760481224
560250002004051,8,2,0,6,7,27.3,9.6,13.6,50.5,279149.24169249577,55821.66807347281
560250014011342,0,0,0,0,47,32.9,0,28.2,61.1,219126.34029530158,60.99912337877933
560250007002048,0,0,0,0,8,5.6,0,4.8,10.4,278888.3632224543,34552.08941046083
560250018021265,0,0,0,0,1,0.7,0,0.6,1.3,4.362816531520066,0.9879079129628118
560250017001015,0,0,0,0,8,5.6,0,4.8,10.4,272826.86482929235,402.54702668882015
560250014013064,130,124,0,6,41,136.5,156,95,387.5,111348.33993357608,386.9987629531284
560250009013008,0,0,0,0,47,32.9,0,28.2,61.1,277995.15905613714,13466.194653398576
560250008001029,0,0,0,0,6,4.2,0,3.6,7.8,279044.400429014,19048.633227100716
560250011001104,0,0,0,0,3,2.1,0,1.8,3.9,279206.2975979509,6138.104392223387
560250017002032,2,0,0,2,12,15.4,2.4,10,27.8,273384.2952837834,2103.2694048102007
560250009023004,0,0,0,0,16,11.2,0,9.6,20.8,278399.6421728997,8105.940235109593
560250009013033,3,3,0,0,12,10.5,3.6,8.7,22.8,277829.9918778563,4946.752985160904
560250006022016,0,0,0,0,6,4.2,0,3.6,7.8,277904.35621634295,17275.7540776523
560250014011339,0,0,0,0,13,9.1,0,7.8,16.9,142220.89357867464,18.896439168285674
560250003001011,0,0,0,0,13,9.1,0,7.8,16.9,278836.21390377445,47646.6135336906
560250018021639,1,1,0,0,11,8.4,1.2,7.1,16.7,246605.8599602984,19.593699771092197
560250004002020,0,0,0,0,4,2.8,0,2.4,5.2,278293.5089199321,31094.432045513953
560250016024013,0,0,0,0,36,25.2,0,21.6,46.8,277074.90432103246,11607.521643176255
560250012001084,11,0,0,11,1,39.2,13.2,15.999999999999998,68.4,279191.39942369866,6428.714053623481
560250007003035,0,0,0,0,7,4.9,0,4.2,9.1,278622.081735855,23967.27028148762
560250008001058,0,0,0,0,4,2.8,0,2.4,5.2,278958.7410973975,16617.04698477495
560250018022196,18,6,0,12,18,58.8,21.6,30.6,110.99999999999999,272898.9729906377,510.2540861311241
560250014011173,0,0,0,0,3,2.1,0,1.8,3.9,101744.59132989467,2.999729119193034
560250003001028,2,0,0,2,4,9.8,2.4,5.2,17.4,278774.56632164045,50411.79688257155
560250005014010,0,0,0,0,50,35,0,30,65,276907.8417464771,7799.779737672185
560250018012038,0,0,0,0,3,2.1,0,1.8,3.9,264146.7241282912,20.373648519450622
560250016022042,0,0,0,0,4,2.8,0,2.4,5.2,278195.0475188681,12682.634184809433
560250014011029,0,0,0,0,3,2.1,0,1.8,3.9,1785.2241698292755,272.12003549673693
560250018021449,0,0,0,0,2,1.4,0,1.2,2.6,13.341206538608061,1.9996309691487748
560250011002007,0,0,0,0,16,11.2,0,9.6,20.8,278245.9750427727,4770.550427877563
560250016024021,0,0,0,0,8,5.6,0,4.8,10.4,277372.3115897292,20962.426494056937
560250014012034,3,2,0,1,26,23.1,3.6,18,44.7,275962.0615769534,2519.649061217018
560250007003045,0,0,0,0,10,7,0,6,13,278895.31660947826,14331.318923113176
560250016032018,1,1,0,0,13,9.8,1.2,8.3,19.3,277291.8170287036,1538.2288779154144
560250003001063,0,0,0,0,18,12.6,0,10.8,23.4,278990.36212470167,54718.79414774109
560250006021064,0,0,0,0,9,6.3,0,5.4,11.7,277981.8381549989,20563.830529058963
560250009021012,0,0,0,0,18,12.6,0,10.8,23.4,277760.39582125994,6635.000960966817
560250003002030,11,0,3,8,10,60.2,13.2,31.3,104.7,278235.29157327197,29498.070494019015
560250016021034,0,0,0,0,11,7.7,0,6.6,14.3,278341.99333415605,16847.562965051777
560250005013006,32,0,0,32,141,210.7,38.4,129.4,378.5,277903.7366304366,10144.835193576322
560250004001011,25,10,0,15,6,63.7,30,29.6,123.3,277878.5942085178,28996.718999441764
560250016032067,0,0,0,0,6,4.2,0,3.6,7.8,276977.9026068243,1523.7065304356472
560250003002045,2,0,0,2,8,12.6,2.4,7.6,22.6,278783.4710187335,50228.928109352295
560250003002013,0,0,0,0,7,4.9,0,4.2,9.1,278539.38814549986,42928.1436480718
560250006021076,0,0,0,0,9,6.3,0,5.4,11.7,278057.01365851884,17275.601442136784
560250002002025,0,0,0,0,10,7,0,6,13,279164.99583541794,26623.73125689428
560250006023005,0,0,0,0,14,9.8,0,8.4,18.2,277975.72679134435,18596.61684690974
560250011001079,2,0,0,2,9,13.3,2.4,8.2,23.9,278798.29743229627,5906.962812050378
560250012002013,0,0,0,0,11,7.7,0,6.6,14.3,278582.10679518105,5424.796516063931
560250014011243,0,0,0,0,3,2.1,0,1.8,3.9,19645.47475240618,5.96091154553268
560250004003034,0,0,0,0,10,7,0,6,13,278041.16171704273,22389.462586405174
560250004001014,0,0,0,0,11,7.7,0,6.6,14.3,277876.66887248575,31111.045429219732
