id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
450350104001024,0,0,0,0,3,2.1,0,1.8,3.9,527232.3893707681,1075.9254228232307
450150207183007,0,0,0,0,10,7,0,6,13,1315083.586103651,1004.4065202246903
450150205033004,0,0,0,0,4,2.8,0,2.4,5.2,349751.5641660578,492.97832905767825
450350105082023,0,0,0,0,19,13.3,0,11.4,24.7,1104490.2224970395,1602.7511150144721
450350108132007,2,2,0,0,44,32.2,2.4,27.4,61.99999999999999,1002027.7870499594,2029.4722164622692
450350108143007,0,0,0,0,22,15.4,0,13.2,28.6,1494188.6063297726,4061.179988404605
450150205062002,1,0,0,1,2,4.9,1.2,2.6,8.7,434433.3556501284,8093.523861278016
450150207103049,0,0,0,0,15,10.5,0,9,19.5,974902.3841573696,591.8578298947288
450150204051031,25,4,0,21,12,84.7,30,38.6,153.3,290368.3172839694,152.99576227971906
450150207151007,0,0,0,0,50,35,0,30,65,1439771.8065138906,4691.018547355678
450150207164002,4,4,0,0,42,32.2,4.8,27.2,64.2,1711437.2059485791,1089.568095556082
450350108221015,0,0,0,0,197,137.9,0,118.2,256.1,1414689.7413274099,13847.30261417721
450150202012022,7,7,0,0,28,24.5,8.4,20.3,53.2,50075.756348152776,140.68055409263332
450150201021001,0,0,0,0,2,1.4,0,1.2,2.6,51222.26140506444,23.589069772224505
450150203043008,0,0,0,0,2,1.4,0,1.2,2.6,238531.6276938054,529.6156997278543
450350108152006,14,0,0,14,33,72.1,16.8,39.4,128.3,1629776.1600608656,5356.238724371859
450150207122017,0,0,0,0,24,16.8,0,14.4,31.2,816790.3219833053,672.9312201901521
450150206012002,124,0,0,124,8,439.6,148.8,178.4,766.8,729667.4520134348,1673.609667216937
450150206023015,0,0,0,0,22,15.4,0,13.2,28.6,1057928.6715744704,1242.775018104486
450150203042025,0,0,0,0,8,5.6,0,4.8,10.4,78535.40664974833,10.458039290774298
450150202023001,0,0,0,0,9,6.3,0,5.4,11.7,28990.66812597971,303.51230924318327
450150206022041,8,0,8,0,5,70.7,9.6,40.6,120.9,405228.10199905495,470.27843614771484
450150204012016,0,0,0,0,13,9.1,0,7.8,16.9,66236.37329586296,502.18750621072974
450150208061006,0,0,0,0,19,13.3,0,11.4,24.7,1772529.5241956753,3792.076264305399
450150204061043,1,0,0,1,5,7,1.2,4.4,12.6,1383759.0845052125,3970.543572928257
450350102002031,0,0,0,0,1,0.7,0,0.6,1.3,30485.557328383456,8079.779124941205
450150207111000,4,0,1,3,106,93.1,4.8,72.5,170.4,460869.80149002076,910.2861844245601
450350101001002,7,4,0,3,4,16.1,8.4,8.6,33.1,21782.743578687867,35.60658652987148
450350103023017,1,0,0,1,22,18.9,1.2,14.6,34.7,2981.4578832595666,33.96003944070901
450350106031002,0,0,0,0,11,7.7,0,6.6,14.3,983239.8180578855,3282.396324263527
450350106072007,0,0,0,0,1,0.7,0,0.6,1.3,1046975.5253867513,3506.933817869699
450350106071001,0,0,0,0,119,83.3,0,71.4,154.7,925566.7791547931,3099.60589864314
450350108081029,0,0,0,0,1,0.7,0,0.6,1.3,1216552.5718799166,4611.387350042393
450350102003022,0,0,0,0,2,1.4,0,1.2,2.6,33885.480283421595,11214.550785672061
450150207163004,0,0,0,0,16,11.2,0,9.6,20.8,1103952.0705151712,1842.011524325424
450150210002007,2,0,2,0,18,29.4,2.4,20.2,52,2169637.3531121523,22318.331813302422
450150202012071,0,0,0,0,30,21,0,18,39,24595.991231834858,42.7394404490915
450150205043005,0,0,0,0,6,4.2,0,3.6,7.8,402855.2423113904,2720.9447510669465
450150204061023,2,0,0,2,8,12.6,2.4,7.6,22.6,1823002.3163557125,6393.727750149923
450150208102023,0,0,0,0,21,14.7,0,12.6,27.3,1743943.0981895777,9826.132004564475
450150206023003,4,4,0,0,295,209.3,4.8,179,393.1,1029536.0877653405,1122.9883919491426
450150208121032,2,1,0,1,14,13.999999999999998,2.4,10.3,26.7,1636897.6271007084,6061.69810197007
450150210002015,0,0,0,0,17,11.9,0,10.2,22.1,2153238.449554263,20365.143308110546
450150207151017,0,0,0,0,54,37.8,0,32.4,70.2,1260794.5094942986,2987.7392510413456
450150207241072,0,0,0,0,6,4.2,0,3.6,7.8,1645800.734720673,2857.2620568270017
450150207151020,0,0,0,0,54,37.8,0,32.4,70.2,1368003.3083319962,3930.549564388879
450150207171015,0,0,0,0,73,51.1,0,43.8,94.9,1273865.6360927345,3341.436123680503
450150204051042,1,0,0,1,14,13.3,1.2,9.8,24.3,218813.1848072637,23.997478613255048
450150205031016,0,0,0,0,4,2.8,0,2.4,5.2,371273.298456443,1363.066419787585
450350108193005,0,0,0,0,32,22.4,0,19.2,41.6,1581862.029411626,2494.579499989183
450350107002032,0,0,0,0,12,8.4,0,7.2,15.6,1469269.19029679,30538.52476553983
450350105061016,0,0,0,0,1,0.7,0,0.6,1.3,641328.8641725655,1709.5644151461768
450350103021037,1,0,1,0,9,14.7,1.2,10.1,26,27729.019761008196,82.15200672613527
450350105031043,0,0,0,0,9,6.3,0,5.4,11.7,594326.611282852,1495.810552949603
