id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
371090711012037,0,0,0,0,12,8.4,0,7.2,15.6,1721564.9161740518,813.9323202199881
371190058511023,1,0,0,1,1,4.2,1.2,2,7.4,3930340.180645055,1266.2545789646897
371190063101054,0,0,0,0,15,10.5,0,9,19.5,3536900.967892331,3115.3863837496315
371190062191013,0,0,0,0,26,18.2,0,15.6,33.8,3150334.340191161,15412.544749886767
371190055252004,0,0,0,0,40,28,0,24,52,4758862.774406296,7117.852699370956
371190020083002,0,0,0,0,20,14,0,12,26,4409581.6370602595,8735.328913425876
371190062121001,8,0,7,1,2,63.7,9.6,35.5,108.8,4503601.319413176,18183.147253628616
371190060121027,14,0,0,14,16,60.2,16.8,29.2,106.2,5241102.1024123505,2839.1461231575636
371190058161004,1,0,0,1,33,26.6,1.2,21.2,49,4175881.460112968,2873.7502807153483
371190058612001,26,0,0,26,140,189,31.2,120.4,340.6,4122085.4819064583,9067.079524496286
371190057141053,0,0,0,0,11,7.7,0,6.6,14.3,3271381.5555136823,767.168649861709
371190060092006,0,0,0,0,33,23.1,0,19.8,42.9,5103940.871593646,2025.6620065309805
371190060131009,25,0,15,10,126,249.2,30,160.1,439.3,4547048.326518225,1835.157356041344
371190062211056,8,0,0,8,26,46.2,9.6,26.8,82.6,3003564.1407128097,1761.057276665357
371190030122003,0,0,0,0,10,7,0,6,13,4684899.214677572,12037.990948550463
371190014001029,2,2,0,0,2,2.8,2.4,2.2,7.4,5462308.24099116,19873.904300758302
371190035002011,2,0,0,2,19,20.3,2.4,14.2,36.9,5812028.246025711,267297.30774880253
371190032041002,0,0,0,0,19,13.3,0,11.4,24.7,5064928.66088484,22081.444837591025
371190053053017,0,0,0,0,19,13.3,0,11.4,24.7,5093580.89184666,11852.148140845322
371190038052006,1517,110,183,1224,33,5921.3,1820.4,2648.5,10390.2,5260023.681770447,10641.192997848826
371190036002013,0,0,0,0,2,1.4,0,1.2,2.6,5969882.88461228,88370.77995269456
371190007002011,0,0,0,0,31,21.7,0,18.6,40.3,5820824.233371897,81008.45096772476
371190059102002,3,0,0,3,13,19.6,3.6,12,35.2,3715343.2517766734,1604.7189548785173
371190063081072,0,0,0,0,8,5.6,0,4.8,10.4,4003095.6729530185,6481.524146935824
371190019111007,4,0,0,4,54,51.8,4.8,38,94.6,4850080.602505272,5308.228324637549
371190055312036,0,0,0,0,51,35.7,0,30.6,66.3,4723275.082090852,5520.13384823354
