id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
080410047021008,5,0,0,5,212,165.9,6,134.2,306.1,1924182.3083495882,14352.386221982864
080410046012017,0,0,0,0,39,27.3,0,23.4,50.7,274059.5689006478,49.978905272722784
080410045161043,0,0,0,0,10,7,0,6,13,155827.29900157903,36.709143936996874
080410046021076,0,0,0,0,2,1.4,0,1.2,2.6,375.5282215850903,1.9907056041426645
080410039102024,0,0,0,0,4,2.8,0,2.4,5.2,69.14508391653857,5.53502907139132
080410039122010,0,0,0,0,18,12.6,0,10.8,23.4,1567275.096182541,5781.477269204035
080410006002027,0,0,0,0,10,7,0,6,13,1953004.7910732238,19060.169658747203
080410006002028,0,0,0,0,10,7,0,6,13,1955407.7002698353,19620.694660688197
080410010002024,10,0,0,10,9,41.3,12,19.4,72.7,1981702.777387135,55349.10149688109
080410074021003,0,0,0,0,1,0.7,0,0.6,1.3,908213.1777688693,44.9923961837895
080410051251008,3,2,0,1,16,16.1,3.6,12,31.7,1763526.3204718344,3610.634063432768
080410041002011,0,0,0,0,28,19.6,0,16.8,36.4,1778505.0735120424,11369.723933300173
080410039114016,40,0,28,12,17,289.1,48,158.6,495.7,146572.57676609163,2671.6593669968893
080410045132033,0,0,0,0,33,23.1,0,19.8,42.9,1606967.3650501103,9464.24071810222
080410041001004,0,0,0,0,12,8.4,0,7.2,15.6,1847220.4320924052,11316.011610641985
080410047011016,0,0,0,0,28,19.6,0,16.8,36.4,1951411.3961760397,18431.85541612885
080410045181015,2,0,0,2,6,11.2,2.4,6.4,20,1530464.1036719661,29.60079046033583
080410015001005,0,0,0,0,15,10.5,0,9,19.5,2000727.5000241469,23460.62536083196
080410051251036,0,0,0,0,21,14.7,0,12.6,27.3,1832307.5900981019,6366.077049640436
080410008003006,0,0,0,0,13,9.1,0,7.8,16.9,1973407.526890614,73964.39727927838
080410021013016,144,0,0,144,3,506.1,172.8,203.4,882.3,1946562.9096129737,48215.124160349784
080410047033001,0,0,0,0,73,51.1,0,43.8,94.9,1939687.8173463466,17313.66524843543
080410037022017,0,0,0,0,2,1.4,0,1.2,2.6,1789125.1583789045,1643.851123549232
080410001032004,124,6,0,118,48,450.8,148.8,197,796.6,1968941.8699055621,41756.59062183907
080410047062030,5,0,0,5,17,29.4,6,17.2,52.6,1921567.6063755758,20121.253901436
