id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
483499709021021,0,0,0,0,11,7.7,0,6.6,14.3,107806.45418491546,19329.74589436695
483499707014109,0,0,0,0,6,4.2,0,3.6,7.8,108353.50793432217,14817.31304939546
483499709022013,0,0,0,0,10,7,0,6,13,107914.31584020716,21521.9949325774
483499705001003,0,0,0,0,12,8.4,0,7.2,15.6,106487.42847512396,4883.329784257652
483499710003109,0,0,0,0,4,2.8,0,2.4,5.2,54324.24376960246,762.2521939138289
483499706001053,11,10,0,1,4,13.3,13.2,8.8,35.3,90265.99265301623,2413.388946553317
483499704001029,3,3,0,0,13,11.2,3.6,9.3,24.1,7199.389719932285,24.119514190035108
483499709021029,0,0,0,0,7,4.9,0,4.2,9.1,108070.57439152151,22741.075813115585
483499707014032,0,0,0,0,2,1.4,0,1.2,2.6,108018.67346115231,7468.7057878379355
483499703022013,0,0,0,0,1,0.7,0,0.6,1.3,96620.33589013344,286.2543148306045
483499704003015,0,0,0,0,3,2.1,0,1.8,3.9,80472.03956919456,2300.263099157503
483499704003027,0,0,0,0,2,1.4,0,1.2,2.6,79717.70248940284,2310.4702919074844
483499710001060,0,0,0,0,7,4.9,0,4.2,9.1,43937.21640382689,27.831564655170517
483499710002036,0,0,0,0,2,1.4,0,1.2,2.6,31427.96422094997,6.0490976426717395
483499702003015,0,0,0,0,2,1.4,0,1.2,2.6,97035.38173591526,120.24075206728773
483499703012042,0,0,0,0,1,0.7,0,0.6,1.3,101078.38710879478,46.964937716278946
483499703012065,0,0,0,0,27,18.9,0,16.2,35.1,94825.91197202665,35.09784454829289
483499706001127,0,0,0,0,2,1.4,0,1.2,2.6,7302.798066972346,2.4795723705350725
483499702004067,0,0,0,0,13,9.1,0,7.8,16.9,108083.13792280892,18261.981003841935
483499702004052,0,0,0,0,4,2.8,0,2.4,5.2,108116.87520887253,11939.137132150345
483499707011195,0,0,0,0,1,0.7,0,0.6,1.3,7182.223029761446,0.9999979672708728
483499702002027,0,0,0,0,9,6.3,0,5.4,11.7,105135.2016621037,2960.804818299371
483499702004034,0,0,0,0,37,25.9,0,22.2,48.1,106257.85761296347,1333.4226837064398
483499702002019,0,0,0,0,60,42,0,36,78,106620.00980157242,3782.893626242614
483499706002058,0,0,0,0,2,1.4,0,1.2,2.6,100456.9225299725,121.32597535939652
483499702004008,0,0,0,0,2,1.4,0,1.2,2.6,98169.3050919192,3.4495170344609503
483499710003105,0,0,0,0,8,5.6,0,4.8,10.4,65342.94214580702,710.6450577943644
483499706001083,0,0,0,0,6,4.2,0,3.6,7.8,90408.5852813765,2235.815739999242
483499703021007,6,0,6,0,2,51.8,7.2,29.4,88.4,109076.85978606356,23221.431070455794
483499709021048,0,0,0,0,12,8.4,0,7.2,15.6,107687.14329323336,19509.80618579311
483499707013118,0,0,0,0,3,2.1,0,1.8,3.9,97870.06333045923,65.42833342882048
483499703021045,0,0,0,0,10,7,0,6,13,108023.08670594684,22709.191476026615
483499701002131,0,0,0,0,1,0.7,0,0.6,1.3,2958.2523979703556,0.999937178551905
483499710001073,0,0,0,0,2,1.4,0,1.2,2.6,97954.92807468104,188.24249281638907
483499706001231,0,0,0,0,1,0.7,0,0.6,1.3,2968.7268352485016,2.331365129489343
