id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
240010011001020,62,0,0,62,10,224,74.4,92.8,391.2,217137.75073678882,35626.79835492837
240010019001028,0,0,0,0,3,2.1,0,1.8,3.9,198229.42482539773,58.56614778893266
240010019002020,0,0,0,0,7,4.9,0,4.2,9.1,193370.9633836244,36.85660372537643
240010019002040,0,0,0,0,6,4.2,0,3.6,7.8,213331.71095602907,561.1658754162981
240010010001042,0,0,0,0,5,3.5,0,3,6.5,213100.40660019754,30459.36117684411
240010020005020,0,0,0,0,18,12.6,0,10.8,23.4,229132.98445275784,2202.8185554658317
240010017003052,0,0,0,0,9,6.3,0,5.4,11.7,210390.7564744544,5912.790456479107
240010020004027,0,0,0,0,3,2.1,0,1.8,3.9,230264.20611523147,2488.433049436126
240010016001030,0,0,0,0,19,13.3,0,11.4,24.7,175378.98683742323,1039.683920173793
240010023001019,0,0,0,0,6,4.2,0,3.6,7.8,213035.33924678658,30360.289325464226
240010011002005,21,0,0,21,70,122.5,25.2,71.4,219.1,216466.22707426033,38294.74876876478
240010021003009,89,10,27,52,4,418.6,106.8,207.1,732.5,203149.3964094674,2148.7004256529826
240010008001089,0,0,0,0,4,2.8,0,2.4,5.2,212586.39270374516,4827.534188639845
240010012001013,0,0,0,0,7,4.9,0,4.2,9.1,213814.18178019143,18023.557951609437
240010010001011,0,0,0,0,10,7,0,6,13,212402.218182052,19133.156780151014
240010014012026,32,1,19,12,5,205.8,38.4,109.6,353.8,217342.13475824086,2493.743421427826
240010023002027,5,5,0,0,12,11.9,6,9.7,27.6,210329.40761343043,6993.337115266541
240010023002036,0,0,0,0,6,4.2,0,3.6,7.8,213510.57544535398,22701.55688527626
240010006002006,0,0,0,0,5,3.5,0,3,6.5,215378.4469853906,35703.08126291982
240010008001036,0,0,0,0,7,4.9,0,4.2,9.1,213973.497351858,12114.85690315477
240010017003046,14,9,0,5,91,87.5,16.8,66.1,170.4,201904.9595648911,383.1789737748518
240010015033001,1,0,0,1,10,10.5,1.2,7.4,19.1,113246.59613921531,33.39049940908347
240010002003024,0,0,0,0,16,11.2,0,9.6,20.8,190570.8882676019,2767.2776876207768
240010010001023,0,0,0,0,6,4.2,0,3.6,7.8,214706.6545966088,29757.983832842343
240010018003008,0,0,0,0,8,5.6,0,4.8,10.4,197754.1025403477,15099.166829202642
240010023002042,0,0,0,0,3,2.1,0,1.8,3.9,208781.2686467818,2994.7820159365087
240010002003019,893,884,2,7,1,660.8,1071.6,461.8,2194.2,190397.34605973616,2734.2848191980806
240010013002027,0,0,0,0,10,7,0,6,13,224266.06699273395,1897.341284889462
240010022003058,48,21,0,27,63,153.3,57.6,86.1,297,40095.531015645705,386.82788930774655
240010010001030,0,0,0,0,6,4.2,0,3.6,7.8,213595.69755218358,29444.327252369374
240010006001028,0,0,0,0,10,7,0,6,13,213367.06420193682,31905.067132009834
240010011001015,0,0,0,0,2,1.4,0,1.2,2.6,217047.06007982595,36908.40205687289
240010006001031,0,0,0,0,1,0.7,0,0.6,1.3,212865.09306525605,23274.211318984206
240010006002017,8,0,8,0,7,72.1,9.6,41.8,123.5,214721.87894618523,25281.663690665504
240010006001010,0,0,0,0,57,39.9,0,34.2,74.1,208372.1203534083,12334.794072431698
240010023004033,0,0,0,0,4,2.8,0,2.4,5.2,208326.0789420355,7282.56929897402
240010018003000,33,0,1,32,11,128.1,39.6,56.1,223.8,203428.28847038653,14871.138379837503
240010023004001,2,2,0,0,31,23.1,2.4,19.6,45.1,172826.49545860983,49.62813924727658
240010015031003,0,0,0,0,5,3.5,0,3,6.5,182373.46347952465,43.18172592947455
240010017003051,0,0,0,0,34,23.8,0,20.4,44.2,205550.1831155433,5426.581428490921
240010022001028,0,0,0,0,1,0.7,0,0.6,1.3,74889.75374234132,25.48462615994525
240010015032004,0,0,0,0,5,3.5,0,3,6.5,115893.36211992629,332.95268678986594
240010021001016,0,0,0,0,3,2.1,0,1.8,3.9,121565.81398253469,553.8844119678032
240010015031007,0,0,0,0,6,4.2,0,3.6,7.8,193230.06020981734,133.71334732016507
240010008001059,8,3,0,5,4,22.4,9.6,10.9,42.9,213702.8116601046,7913.402170985409
240010008001030,0,0,0,0,9,6.3,0,5.4,11.7,212327.21544740532,4680.1532082714075
240010016001035,0,0,0,0,7,4.9,0,4.2,9.1,192536.04936343635,8047.750547019419
240010020001029,0,0,0,0,12,8.4,0,7.2,15.6,222731.1222382281,2753.1205484468933
240010006001037,0,0,0,0,7,4.9,0,4.2,9.1,213471.20258201318,19646.341361342424
