id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
515900009002023,0,0,0,0,3,2.1,0,1.8,3.9,242176.67769323275,3159.353766516959
515900006001017,0,0,0,0,14,9.8,0,8.4,18.2,255199.56072897982,34995.2027993917
515900010003013,1,0,0,1,7,8.4,1.2,5.6,15.2,244151.80848032658,7148.058714750994
515900010001018,0,0,0,0,22,15.4,0,13.2,28.6,242057.08672267955,2376.2967118193837
515900002003015,35,0,0,35,62,165.9,42,86.2,294.1,259845.4379416192,34501.2245394
515900008003019,0,0,0,0,9,6.3,0,5.4,11.7,249552.18087232896,12053.687154598785
515900001001007,0,0,0,0,29,20.3,0,17.4,37.7,263331.90140317474,5116.860372654026
515900006001016,0,0,0,0,20,14,0,12,26,254858.15139261718,33098.40104760492
515900001004010,0,0,0,0,12,8.4,0,7.2,15.6,266302.0759169864,9546.931285954977
511430108042043,0,0,0,0,8,5.6,0,4.8,10.4,254375.18820838138,3355.8305441237376
511430112003007,0,0,0,0,14,9.8,0,8.4,18.2,235386.34470642655,1682.6587919459305
511430109001020,0,0,0,0,3,2.1,0,1.8,3.9,53114.85267376117,129.0566248683047
511430101003038,0,0,0,0,10,7,0,6,13,20155.589518312827,15.423692973062334
511430109002027,93,0,3,90,3,342.3,111.6,141.9,595.8,266405.69418767997,3075.412418223699
511430101002040,0,0,0,0,6,4.2,0,3.6,7.8,11372.649000385289,7.460800503052357
511430114001012,0,0,0,0,3,2.1,0,1.8,3.9,271162.2576091263,1928.8588631262585
511430114003029,0,0,0,0,6,4.2,0,3.6,7.8,257764.70313488378,3277.844462374944
511430114001006,0,0,0,0,1,0.7,0,0.6,1.3,266501.6586654342,1184.8942574102566
511430105002009,19,19,0,0,25,30.8,22.8,24.5,78.1,178295.70842284596,18628.480749804665
511430113021018,0,0,0,0,20,14,0,12,26,246030.9502579037,441.8395837794778
511430108042032,0,0,0,0,8,5.6,0,4.8,10.4,246584.17043790428,369.14653342375306
511430103023068,0,0,0,0,13,9.1,0,7.8,16.9,21155.725407883034,22.020288208875048
511430108011011,5,0,0,5,5,21,6,10,37,261711.95447135664,279.8873100470462
511430110014017,0,0,0,0,12,8.4,0,7.2,15.6,12263.202258222154,41.41997168799266
511430112002046,0,0,0,0,4,2.8,0,2.4,5.2,209089.3937818798,37.610679467984816
511430103023047,0,0,0,0,1,0.7,0,0.6,1.3,30883.5947792826,3.3437023411255105
515900013011033,7,0,2,5,21,49,8.4,29,86.4,254324.67314808955,1816.352532738974
515900004003030,6,0,6,0,6,54.6,7.2,31.8,93.6,262129.0461637083,14258.338657203823
515900010001012,0,0,0,0,30,21,0,18,39,239600.87927654752,5700.981111464098
515900004003041,14,13,1,0,3,19.6,16.8,13,49.4,264628.2415142823,21906.52109919561
515900002001005,0,0,0,0,35,24.5,0,21,45.5,265665.1739517936,8317.425853690742
515900006001010,0,0,0,0,25,17.5,0,15,32.5,256198.70906402817,28520.404387975657
515900003003037,0,0,0,0,6,4.2,0,3.6,7.8,261777.31701656536,20515.509655688445
515900003001010,0,0,0,0,46,32.2,0,27.6,59.8,258982.7567391934,4145.99409302879
515900003002002,0,0,0,0,7,4.9,0,4.2,9.1,260236.81756623418,5195.510492608953
511430104003018,0,0,0,0,3,2.1,0,1.8,3.9,30327.981500583515,50.567852248246226
511430103023022,0,0,0,0,5,3.5,0,3,6.5,4133.009711678418,9.225400973787059
511430102003050,4,4,0,0,14,12.6,4.8,10.4,27.8,22219.055856557967,46.40746722900214
511430104001053,0,0,0,0,1,0.7,0,0.6,1.3,32056.24373428495,6.181114885356128
511430113021005,0,0,0,0,1,0.7,0,0.6,1.3,243384.03936265543,222.7598135438385
511430110011021,3,0,0,3,11,18.2,3.6,10.8,32.6,220400.4826688861,62.187896679220486
