id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
011030051013020,17,17,0,0,2,13.3,20.4,9.7,43.4,315169.78661837336,806.7493009872904
011030053042008,0,0,0,0,4,2.8,0,2.4,5.2,276187.87448681146,3023.9279891860847
011030054044025,0,0,0,0,73,51.1,0,43.8,94.9,314341.8388284454,806.0543181803567
011030008001039,0,0,0,0,15,10.5,0,9,19.5,336313.4980695673,13517.292163317803
011030001002011,0,0,0,0,4,2.8,0,2.4,5.2,334334.5955751595,35664.325211018266
011030056012058,0,0,0,0,13,9.1,0,7.8,16.9,2342.073384244596,17.6290306981298
011030053063016,0,0,0,0,20,14,0,12,26,312691.2883318658,345.4812841059205
011030007002023,0,0,0,0,7,4.9,0,4.2,9.1,338817.89356822864,15147.088803461475
011030009003002,1,0,0,1,2,4.9,1.2,2.6,8.7,336680.9725526075,17485.545676203725
011030007001014,15,0,0,15,8,58.1,18,25.8,101.9,335703.75835976575,2663.4797465907805
011030052021027,4,0,4,0,13,42.7,4.8,26.6,74.1,246076.32332607856,227.99127156123703
011030051011021,85,0,0,85,10,304.5,102,124.99999999999999,531.5,305865.244507008,868.4025877748885
011030009001018,0,0,0,0,10,7,0,6,13,334068.99087523896,12791.943055493579
011030004001013,3,0,3,0,6,29.4,3.6,17.7,50.7,337893.9306681977,40419.680267874464
011030004002005,0,0,0,0,15,10.5,0,9,19.5,336943.5560274034,42659.730104963775
011030007002044,1,1,0,0,13,9.8,1.2,8.3,19.3,338492.35464980424,27336.232120697518
011030006001032,0,0,0,0,14,9.8,0,8.4,18.2,336422.7432903661,4080.2045673990415
011030053041062,2,2,0,0,6,5.6,2.4,4.6,12.6,289858.7908339495,9993.086033546073
011030054053069,0,0,0,0,2,1.4,0,1.2,2.6,236312.055844786,463.76107444055333
011030053033036,0,0,0,0,6,4.2,0,3.6,7.8,291141.3136861091,8768.398963637164
011030057031026,0,0,0,0,7,4.9,0,4.2,9.1,8155.274102410926,169.32406708930387
011030054051016,1,1,0,0,2,2.1,1.2,1.7,5,49723.53950987905,40.79776888177853
011030008002044,0,0,0,0,27,18.9,0,16.2,35.1,335925.19260531536,16716.0185730542
011030053043019,0,0,0,0,15,10.5,0,9,19.5,280500.0219573921,1256.5335044406506
011030054044049,0,0,0,0,1,0.7,0,0.6,1.3,305449.837359161,1256.5346087015766
011030002003001,1,1,0,0,6,4.9,1.2,4.1,10.2,316922.0178691269,3329.801434114682
011030007002027,10,0,1,9,15,50.4,12,26.3,88.7,338646.11445006746,18249.204801690546
011030053044020,0,0,0,0,16,11.2,0,9.6,20.8,227422.51484086557,467.1531854692205
010799792011066,0,0,0,0,5,3.5,0,3,6.5,99781.99415110498,1083.839108117983
011030057011041,0,0,0,0,2,1.4,0,1.2,2.6,54055.246992831766,13.755747850432549
011030053053048,0,0,0,0,4,2.8,0,2.4,5.2,299207.6982675951,14043.82344513433
011030053041050,0,0,0,0,21,14.7,0,12.6,27.3,290699.1395725773,9613.31962012914
011030051083023,0,0,0,0,14,9.8,0,8.4,18.2,326663.1105684787,4322.391486784767
011030006001037,0,0,0,0,11,7.7,0,6.6,14.3,335085.16591578326,3667.750482514735
011030051012148,61,61,0,0,1,43.4,73.2,31.1,147.7,342700.66951015557,5344.934865762412
011030053033025,0,0,0,0,2,1.4,0,1.2,2.6,290976.9022160153,8381.281835894455
010799796004000,0,0,0,0,3,2.1,0,1.8,3.9,300055.4513020492,182.79684241534983
011030056012027,0,0,0,0,1,0.7,0,0.6,1.3,46788.49118304,46.842733967746085
010799796002024,0,0,0,0,13,9.1,0,7.8,16.9,298376.4627696015,622.5360779837872
010799792011075,0,0,0,0,31,21.7,0,18.6,40.3,94676.14246491074,1355.2072331127642
010799792023041,0,0,0,0,12,8.4,0,7.2,15.6,30429.50309626573,25.77853412694337
010799792021026,0,0,0,0,5,3.5,0,3,6.5,164742.81546632107,1353.4586653453694
011030001004001,0,0,0,0,23,16.1,0,13.8,29.9,327321.76587280043,28374.197256584837
011030054041055,0,0,0,0,2,1.4,0,1.2,2.6,284850.204636265,187.70356662217486
011030052022013,0,0,0,0,1,0.7,0,0.6,1.3,270299.0073637434,46.36220037297962
011030053053034,0,0,0,0,8,5.6,0,4.8,10.4,297139.55141434993,12765.778728306746
011030051083026,0,0,0,0,15,10.5,0,9,19.5,327347.84525548946,4548.729395039456
