id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
211239603001070,0,0,0,0,7,4.9,0,4.2,9.1,138376.8197340759,317.4397908782654
211239603003088,0,0,0,0,18,12.6,0,10.8,23.4,220826.97592191905,995.647829291311
210930014024038,12,0,0,12,1,42.7,14.4,17.4,74.5,340072.3941066068,29265.164176777784
210930016021072,3,0,3,0,4,28.000000000000004,3.6,16.5,48.1,267899.1716655645,1336.7189132471701
210930008003019,0,0,0,0,11,7.7,0,6.6,14.3,298107.73305386805,1265.2347585486646
210930009033006,0,0,0,0,1,0.7,0,0.6,1.3,304309.6549866354,1177.928217804501
210930013002031,0,0,0,0,8,5.6,0,4.8,10.4,330694.5782870429,3143.379469830924
210930012001009,0,0,0,0,14,9.8,0,8.4,18.2,323583.6780474373,1892.6981939740776
211239603001071,0,0,0,0,2,1.4,0,1.2,2.6,134847.69469358667,331.7568831273025
210930009023038,0,0,0,0,12,8.4,0,7.2,15.6,331245.9366997831,1932.0458375846517
210930001001040,0,0,0,0,1,0.7,0,0.6,1.3,179102.05350843116,695.617483035367
210930010031009,0,0,0,0,4,2.8,0,2.4,5.2,247821.93433127817,6.913584261868338
210930001001030,4,0,0,4,4,16.8,4.8,8,29.6,168491.8225535859,712.3993002128453
210930011001004,2,0,0,2,30,28,2.4,20.8,51.2,330246.4397037874,1779.5428604594865
211239601033014,0,0,0,0,5,3.5,0,3,6.5,270925.5328892901,1356.3172539751006
211239603001021,2,0,0,2,11,14.7,2.4,9.4,26.5,138168.09530011457,275.3427442000198
210930012003020,2,0,0,2,68,54.6,2.4,43.6,100.6,335597.1958574264,13911.983408114027
210930003002014,0,0,0,0,24,16.8,0,14.4,31.2,311139.68339329056,1479.5167873705425
210930013003030,0,0,0,0,22,15.4,0,13.2,28.6,329706.9553898698,4067.067721293687
210930006003013,2,0,0,2,31,28.7,2.4,21.4,52.5,326869.68081384525,4169.159973707436
211239603002029,0,0,0,0,5,3.5,0,3,6.5,131884.42118577787,303.1112268154582
210930017013001,2,0,0,2,4,9.8,2.4,5.2,17.4,304343.2112392996,326.39777901718816
210930004002017,0,0,0,0,8,5.6,0,4.8,10.4,302879.743599102,4174.442343730561
210930003001035,0,0,0,0,25,17.5,0,15,32.5,306674.16551624273,3874.2197836800233
210930009041006,0,0,0,0,1,0.7,0,0.6,1.3,332615.1616254135,173.43786090878007
210930010032007,0,0,0,0,12,8.4,0,7.2,15.6,315691.4979089488,102.48645866141649
211239603001050,0,0,0,0,2,1.4,0,1.2,2.6,37476.076841795024,22.417217546503032
210930009032002,0,0,0,0,10,7,0,6,13,312270.03549882176,1699.2911320408052
210930002012022,0,0,0,0,5,3.5,0,3,6.5,260174.14991028947,8321.794789675889
210930001001078,14,13,0,1,76,65.8,16.8,53.5,136.1,184272.4430336029,141.1572051808203
210930016011012,0,0,0,0,15,10.5,0,9,19.5,319580.5349350641,476.18841325456145
210930009032011,0,0,0,0,21,14.7,0,12.6,27.3,311264.7628364805,1622.2293965226454
210930017023023,0,0,0,0,3,2.1,0,1.8,3.9,176912.99303228752,32.958288065385815
210930014022007,53,0,1,52,3,192.5,63.6,79.3,335.4,336623.7475140209,27704.481624912776
210930016011009,0,0,0,0,1,0.7,0,0.6,1.3,334479.79304281395,2076.633890238447
210930012003007,0,0,0,0,25,17.5,0,15,32.5,338038.0545280839,37348.177741642736
211239603001048,0,0,0,0,9,6.3,0,5.4,11.7,25289.76789499695,20.801081849179567
210930009023001,0,0,0,0,10,7,0,6,13,334481.7698645282,6731.694936778471
210930004003008,0,0,0,0,15,10.5,0,9,19.5,302873.898888694,5397.996977285531
210930003001025,0,0,0,0,10,7,0,6,13,304477.05753446877,3024.5172698280803
210930002011020,0,0,0,0,9,6.3,0,5.4,11.7,217069.37001974226,3247.7159499176305
210930011001007,0,0,0,0,23,16.1,0,13.8,29.9,330600.76573485363,4871.666279180522
210930009043006,0,0,0,0,10,7,0,6,13,337364.952137167,23972.79595775537
210930009042009,17,0,0,17,18,72.1,20.4,34.6,127.1,339399.16399166046,24949.35974359801
210930010061011,3,2,0,1,3,7,3.6,4.2,14.8,311124.17404802795,2798.011113262977
210930009023046,0,0,0,0,9,6.3,0,5.4,11.7,329581.5642953084,17617.70877057036
210930009033007,0,0,0,0,13,9.1,0,7.8,16.9,297166.52576961444,1065.4725230598863
210930010042018,0,0,0,0,7,4.9,0,4.2,9.1,308819.5539896208,298.1237906834626
210930016021040,0,0,0,0,7,4.9,0,4.2,9.1,258646.74979331283,838.8423464058208
210930008001022,0,0,0,0,13,9.1,0,7.8,16.9,313774.6213507785,1625.4241352490687
210930001001056,0,0,0,0,3,2.1,0,1.8,3.9,163345.2642958791,711.3602539915282
210930017023018,14,14,0,0,17,21.7,16.8,17.2,55.7,236185.57047577915,98.45544287859573
210930009042018,0,0,0,0,6,4.2,0,3.6,7.8,335442.7276070701,17922.83225877162
211239603001054,0,0,0,0,9,6.3,0,5.4,11.7,56052.3670289141,32.890450049439245
210930003002021,0,0,0,0,14,9.8,0,8.4,18.2,311000.5361197739,1782.585190513533
210930005002003,24,0,0,24,140,182,28.8,117.6,328.4,303323.65405274736,7398.3510917020485
210930008002022,0,0,0,0,1,0.7,0,0.6,1.3,312926.8673400318,159.07006890475748
210930012001010,27,9,4,14,37,114.8,32.4,65.1,212.3,324667.07775834657,1557.2831458067874
210930004004015,1,0,0,1,32,25.9,1.2,20.6,47.7,315591.6670320827,7055.428549640604
211239601043028,10,0,10,0,40,112,12,71,195,280535.25993521756,4612.128596086586
210930016031029,0,0,0,0,6,4.2,0,3.6,7.8,282169.7484006945,454.8367054809179
210930014024034,0,0,0,0,3,2.1,0,1.8,3.9,336880.38485518045,23775.394946408676
211239601043008,12,0,0,12,1,42.7,14.4,17.4,74.5,287015.289450662,6594.060847447466
210930013002041,0,0,0,0,5,3.5,0,3,6.5,328128.2612241165,3203.396595458493
210930009042021,0,0,0,0,2,1.4,0,1.2,2.6,336921.3189682927,436.3645542858946
210930006002005,0,0,0,0,36,25.2,0,21.6,46.8,326354.041220177,3074.656402256263
210930014023000,2,0,0,2,36,32.2,2.4,24.4,59,336783.4863999303,23494.749844205668
