id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
530379752011046,0,0,0,0,4,2.8,0,2.4,5.2,6176.278433959235,4.999673371661152
530379753001128,14,14,0,0,43,39.9,16.8,32.8,89.5,74867.45685443406,97.63490534798484
530379757002011,0,0,0,0,8,5.6,0,4.8,10.4,85981.64363318244,202.58160178420053
530379751011347,7,4,0,3,60,55.3,8.4,42.2,105.9,29300.689717002202,252.63023158416678
530379754022005,737,0,1,736,8,2590,884.4,1039.9,4514.3,94877.31947469848,38092.5493899353
530379753001003,0,0,0,0,1,0.7,0,0.6,1.3,4.561243173144196,0.9966072353484777
530379751031054,18,0,10,8,12,120.4,21.6,65.4,207.4,71670.41860664543,10387.77613803994
530379752011122,0,0,0,0,2,1.4,0,1.2,2.6,39240.73043252968,31.78549894906387
530379754031006,0,0,0,0,22,15.4,0,13.2,28.6,92348.07763490567,7600.15305460179
530379753001060,0,0,0,0,2,1.4,0,1.2,2.6,67695.73151505228,35.029889884942314
530379756001030,0,0,0,0,13,9.1,0,7.8,16.9,99361.22213698566,42053.677464933324
530379755004018,0,0,0,0,20,14,0,12,26,94305.51943276613,16865.176884469292
530379757002036,4,0,2,2,5,27.3,4.8,15.2,47.3,91158.40198807727,1877.121804983423
530379754021015,0,0,0,0,20,14,0,12,26,92385.64936812902,5088.829335292425
530379752011053,0,0,0,0,2,1.4,0,1.2,2.6,35877.021787844846,90.21370856268669
530379752011124,0,0,0,0,4,2.8,0,2.4,5.2,45708.40026859957,23.11908620272326
530379751031023,0,0,0,0,7,4.9,0,4.2,9.1,65337.14850533013,6647.125356220886
530379757002009,0,0,0,0,3,2.1,0,1.8,3.9,84862.48197341399,13.444602576260783
530379756002074,19,0,17,2,6,154,22.8,86.3,263.1,97578.66052293456,47728.30158145354
530379754022012,29,0,0,29,135,196,34.8,121.6,352.4,94882.36108664767,38992.25251436827
530379753003083,7,2,0,5,3,21,8.4,9.8,39.2,100075.50269010736,42.898510591506835
530379751021034,0,0,0,0,9,6.3,0,5.4,11.7,53756.24377096628,910.2675092600365
530379751031008,0,0,0,0,1,0.7,0,0.6,1.3,41395.70110238648,2953.6887639268966
530379751021026,1,0,0,1,46,35.7,1.2,28.999999999999996,65.9,55144.07789290905,1684.9259175366283
530379751031003,3,0,0,3,19,23.8,3.6,15.6,43,54411.25996266748,8894.669181004541
530379751041038,0,0,0,0,3,2.1,0,1.8,3.9,31294.627949832706,2897.1811460075683
530379751021088,0,0,0,0,5,3.5,0,3,6.5,31414.261708154747,99.24875396286146
530379753003023,0,0,0,0,1,0.7,0,0.6,1.3,10408.100120318191,5.262232778616234
530379752021096,0,0,0,0,4,2.8,0,2.4,5.2,87116.95127864374,4.9999068423951885
530379751041020,0,0,0,0,1,0.7,0,0.6,1.3,30151.421736725955,2131.610625824033
530379754021033,202,0,84,118,2,1120,242.4,561.2,1923.6,98942.42877051931,19063.00264659335
530379755001041,29,21,0,8,88,104.3,34.8,74.5,213.6,98810.6732192014,791.891288835033
530379757001040,0,0,0,0,3,2.1,0,1.8,3.9,91408.67105753443,159.44663378599228
530379752031035,2,2,0,0,7,6.3,2.4,5.2,13.9,104186.45006878364,430.54792744562127
530379751011355,0,0,0,0,10,7,0,6,13,60715.06711668665,26.08436975482017
530379751031063,0,0,0,0,7,4.9,0,4.2,9.1,65638.97811872108,10158.758229590012
530379754042004,0,0,0,0,2,1.4,0,1.2,2.6,89324.67616208864,5308.016683594054
