id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
050879601003037,0,0,0,0,3,2.1,0,1.8,3.9,38441.159961789366,5.024983651773862
050879603001018,0,0,0,0,2,1.4,0,1.2,2.6,490944.57091118215,81.68973913691602
050879602001042,0,0,0,0,7,4.9,0,4.2,9.1,33972.03750696181,8217.211694692172
050070211013020,0,0,0,0,8,5.6,0,4.8,10.4,198194.41686945653,4668.819863003353
050070202032027,0,0,0,0,17,11.9,0,10.2,22.1,1187318.9795858539,25663.892442579036
050070203023006,0,0,0,0,9,6.3,0,5.4,11.7,1306251.3405747286,12700.191347050088
050070203023003,0,0,0,0,5,3.5,0,3,6.5,1322132.5544997365,14863.574555403218
050070206073006,3,0,0,3,9,16.8,3.6,9.6,29.999999999999996,1211588.208795842,5390.31833741584
050879604001085,0,0,0,0,1,0.7,0,0.6,1.3,12531.570203973593,7.907403282954499
050879603003046,0,0,0,0,2,1.4,0,1.2,2.6,11343.57107314237,7.395863478929413
050879603002006,0,0,0,0,4,2.8,0,2.4,5.2,17834.873109037027,6.138352514441609
050070204013018,0,0,0,0,11,7.7,0,6.6,14.3,1272232.1426891426,12831.886390664315
050070201041062,2,2,0,0,11,9.1,2.4,7.6,19.1,446712.8151115077,340.5956369081436
050070209032031,7,0,0,7,122,109.9,8.4,83,201.3,1039055.799539864,5018.437752493024
050070201041046,0,0,0,0,7,4.9,0,4.2,9.1,50152.65725469442,13.599265930539808
050070214063013,7,7,0,0,22,20.3,8.4,16.7,45.4,1419108.551067082,7208.825177072339
050070203022003,0,0,0,0,116,81.2,0,69.6,150.8,1232951.6025948962,19242.015105098435
050070214083020,0,0,0,0,15,10.5,0,9,19.5,1380707.5492955258,2283.515702292033
050070210032044,1,0,0,1,7,8.4,1.2,5.6,15.2,264418.9281777026,9547.742719980393
050070203023015,1,1,0,0,11,8.4,1.2,7.1,16.7,1350913.04323403,26553.371451620507
050070213082028,0,0,0,0,20,14,0,12,26,1339169.325543738,1557.7758583610992
050070213151017,0,0,0,0,13,9.1,0,7.8,16.9,1337462.2923403017,1968.238114303048
050070210011048,29,29,0,0,63,64.4,34.8,52.3,151.5,374925.0751326203,1255.9715959609762
050070207011001,0,0,0,0,13,9.1,0,7.8,16.9,667411.976027019,600.537629014328
050070210011029,0,0,0,0,5,3.5,0,3,6.5,179562.62083259106,280.77520907020204
051430105172015,0,0,0,0,22,15.4,0,13.2,28.6,1111739.4406770784,1311.890123892863
051430110032076,1,1,0,0,1,1.4,1.2,1.1,3.7,797416.1636555996,2343.672166669099
051430110032100,0,0,0,0,4,2.8,0,2.4,5.2,778238.9581626962,2006.2815676751998
050070210011030,0,0,0,0,6,4.2,0,3.6,7.8,187506.67095513066,280.0557207312468
051430104022006,0,0,0,0,16,11.2,0,9.6,20.8,1407103.9036815157,26656.404010835537
050070210041010,1,0,0,1,6,7.7,1.2,5,13.9,179437.66520820986,288.8508320230952
050070213161002,1,0,0,1,60,45.5,1.2,37.4,84.1,1332220.3330596124,1548.319572332775
050070206051024,0,0,0,0,21,14.7,0,12.6,27.3,1142087.4197106902,96126.66222324426
050070209061002,0,0,0,0,17,11.9,0,10.2,22.1,639931.1252049514,169.62642693412266
050070214083019,1,1,0,0,12,9.1,1.2,7.7,17.999999999999996,1404573.900375998,6119.51907143465
050070213043088,0,0,0,0,15,10.5,0,9,19.5,1030253.4711076788,1326.998920948513
050070213043071,1,0,1,0,18,21,1.2,15.5,37.7,1162710.7428517188,2798.69705889589
051430107052001,0,0,0,0,121,84.7,0,72.6,157.3,1237685.0210886921,37861.56073238613
051430105122006,0,0,0,0,12,8.4,0,7.2,15.6,1459678.3258050322,25921.836187421064
050070202052018,0,0,0,0,27,18.9,0,16.2,35.1,1287789.865444163,1412.0733732504527
050070212021001,0,0,0,0,10,7,0,6,13,211187.80398487835,21294.866468184337
050070211022025,0,0,0,0,10,7,0,6,13,234831.54276846023,20023.602461839186
050070212021016,6,0,0,6,24,37.8,7.2,22.8,67.8,191029.72942671468,21243.68716597139
050070201023045,0,0,0,0,2,1.4,0,1.2,2.6,959094.2011967303,525.1114879497103
050070208062024,0,0,0,0,4,2.8,0,2.4,5.2,735492.2377895309,192.64888467599508
050070210011049,2,2,0,0,8,7,2.4,5.8,15.2,16783.772357494487,15.991051184206327
050070210012067,0,0,0,0,6,4.2,0,3.6,7.8,94801.5098500675,15.543945732131856
