id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
051310103011022,0,0,0,0,4,2.8,0,2.4,5.2,517540.9075090972,760.3832249945826
051310101024007,0,0,0,0,1,0.7,0,0.6,1.3,347466.02870705427,797.7634228698442
051310010012006,0,0,0,0,4,2.8,0,2.4,5.2,545577.9253254336,31790.645189128583
051310004004040,0,0,0,0,18,12.6,0,10.8,23.4,556059.072583741,54752.51385012906
051310013062033,0,0,0,0,2,1.4,0,1.2,2.6,547153.2902295588,2142.4460816004134
051310012023024,0,0,0,0,14,9.8,0,8.4,18.2,558310.1856646338,22404.247764581887
051310010013029,0,0,0,0,17,11.9,0,10.2,22.1,548165.845735631,17946.905669130916
051310005023002,0,0,0,0,10,7,0,6,13,564089.246173889,9677.227045181131
051310005023020,0,0,0,0,11,7.7,0,6.6,14.3,567386.7311890624,12336.555506539373
051310101021076,0,0,0,0,1,0.7,0,0.6,1.3,254343.45319724412,376.74165373589955
051310103042102,0,0,0,0,1,0.7,0,0.6,1.3,8791.064850863335,424.3238508112869
051310004001001,0,0,0,0,1,0.7,0,0.6,1.3,564504.3595958365,9193.480735726685
051310013101006,1,0,0,1,26,21.7,1.2,17,39.9,532293.022754019,2988.5610714041645
050330205011002,0,0,0,0,17,11.9,0,10.2,22.1,536702.1270710666,967.8291002130911
050330201013028,0,0,0,0,8,5.6,0,4.8,10.4,79307.20579865995,13.43992560822208
050330202051024,0,0,0,0,22,15.4,0,13.2,28.6,1178.1434490105905,28
051310003002157,0,0,0,0,1,0.7,0,0.6,1.3,552992.809310905,27447.95410403133
051310013013006,0,0,0,0,2,1.4,0,1.2,2.6,548811.5009215951,2765.873690102161
051310008002020,8,0,0,8,8,33.6,9.6,16,59.2,554279.3611171608,39561.7341270759
050330202041007,97,91,0,6,34,108.5,116.4,74.3,299.2,401353.8786475565,391.05375439579495
051310013101008,0,0,0,0,13,9.1,0,7.8,16.9,538307.3807152874,8478.730602709406
050330204022056,2,0,0,2,11,14.7,2.4,9.4,26.5,316874.9216758118,195.19103920446886
050330204022052,0,0,0,0,4,2.8,0,2.4,5.2,314683.1108240189,352.85101715782105
050330201011076,0,0,0,0,5,3.5,0,3,6.5,197472.68658136402,1037.308658540803
050330201013052,0,0,0,0,1,0.7,0,0.6,1.3,184161.97683201273,586.1905407999003
051310101011096,0,0,0,0,14,9.8,0,8.4,18.2,517954.87733773765,94.97477362116238
050330202041025,5,0,0,5,6,21.7,6,10.6,38.3,501894.01886389585,3470.5057166430097
050330202052025,0,0,0,0,7,4.9,0,4.2,9.1,82628.11245100677,75.06924803839541
051310006001006,6,2,4,0,33,58.1,7.2,39.6,104.9,570363.3829524111,1552.8545873216738
051310008004008,5,0,0,5,9,23.8,6,12.4,42.2,555148.0360076613,59271.22564851049
051310102012055,0,0,0,0,4,2.8,0,2.4,5.2,352996.0262281396,5943.307014650707
050330203013021,0,0,0,0,9,6.3,0,5.4,11.7,564201.8541967846,18783.875344636977
051310013052008,3,0,1,2,27,34.3,3.6,23.7,61.6,555750.3539745557,2300.3010972910324
051310010021015,1,0,0,1,10,10.5,1.2,7.4,19.1,543321.3940253308,12262.529015648448
050330202081029,0,0,0,0,9,6.3,0,5.4,11.7,527344.9619817808,492.6227858913539
