id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
560050001011042,0,0,0,0,3,2.1,0,1.8,3.9,10242.24120410195,2.999084985837594
560050007024016,0,0,0,0,7,4.9,0,4.2,9.1,135835.9290841448,157.9806639475846
560050007025020,0,0,0,0,8,5.6,0,4.8,10.4,135757.3929581714,2466.0846249707483
560050007024012,0,0,0,0,13,9.1,0,7.8,16.9,133057.3977593753,61.51039195403082
560050001011124,0,0,0,0,1,0.7,0,0.6,1.3,3274.5910291345635,0.9999985869684951
560050001031337,6,6,0,0,1,4.9,7.2,3.6,15.7,0,0
560050007022013,0,0,0,0,4,2.8,0,2.4,5.2,134778.5633430155,808.6226318893854
560050001031232,0,0,0,0,1,0.7,0,0.6,1.3,4811.314843111143,30.560269279177447
560050004002027,0,0,0,0,4,2.8,0,2.4,5.2,137029.65755559856,35257.414437761625
560050007024014,0,0,0,0,2,1.4,0,1.2,2.6,126282.29751421043,87.01432746279039
560050001011019,0,0,0,0,1,0.7,0,0.6,1.3,34026.05513308473,0.9997551422183157
560050002004025,0,0,0,0,5,3.5,0,3,6.5,136768.20963334155,8803.087550375798
560050001022028,0,0,0,0,7,4.9,0,4.2,9.1,135913.18020969068,672.7928636678191
560050007023108,0,0,0,0,81,56.7,0,48.6,105.3,0,0
560050006002010,0,0,0,0,22,15.4,0,13.2,28.6,136549.6981143523,5386.412442726419
560050002003035,3,3,0,0,16,13.3,3.6,11.1,28,131746.5533184554,1076.4097362465488
560050002003032,0,0,0,0,18,12.6,0,10.8,23.4,132638.88208420534,1111.781834337369
560050007011209,0,0,0,0,5,3.5,0,3,6.5,135389.66757419409,94.12876850891358
560050004004026,131,10,11,110,71,534.1,157.2,253.3,944.6,136694.43524262853,40480.532798700806
560050005003029,0,0,0,0,17,11.9,0,10.2,22.1,136431.94219293285,22109.35342532409
560050002004030,0,0,0,0,9,6.3,0,5.4,11.7,136280.39099624584,4403.3626528162
560050004002051,0,0,0,0,3,2.1,0,1.8,3.9,136936.49403185284,35368.54178233598
560050004003029,0,0,0,0,11,7.7,0,6.6,14.3,136636.43758218427,30232.354590519157
560050007025006,1,0,0,1,31,25.2,1.2,19.999999999999996,46.4,135401.2309475836,1881.2535877845996
560050003002005,1,1,0,0,27,19.6,1.2,16.7,37.5,136529.39617797802,32173.67898805773
560050003002012,0,0,0,0,23,16.1,0,13.8,29.9,136385.16051079126,27170.782812456495
560050007011070,3,3,0,0,5,5.6,3.6,4.5,13.7,73.59583345418582,12.99992172718732
560050005003022,0,0,0,0,12,8.4,0,7.2,15.6,135862.49399970242,3829.7131161089615
560050001021001,1,0,0,1,13,12.6,1.2,9.2,23,135414.2457295373,675.8035846427064
560050004001022,0,0,0,0,27,18.9,0,16.2,35.1,136626.75378026732,17013.633565076878
560050005002025,0,0,0,0,9,6.3,0,5.4,11.7,131123.9870272434,37.12210047349704
560050007024035,0,0,0,0,8,5.6,0,4.8,10.4,134261.04034931428,2107.2320483896647
560050002003039,6,6,0,0,64,49,7.2,41.4,97.6,134273.2565198712,1063.3985918146639
560050002001007,0,0,0,0,15,10.5,0,9,19.5,135754.93268013344,1380.7158645685638
560050002003034,0,0,0,0,6,4.2,0,3.6,7.8,131274.38837250366,1114.798878884948
560050007011140,0,0,0,0,11,7.7,0,6.6,14.3,29401.475666872357,13.99987108111085
560050007011100,0,0,0,0,3,2.1,0,1.8,3.9,3.774160311122471,2.998986361530948
560050006001061,3,0,0,3,6,14.7,3.6,7.8,26.1,136463.70428188745,8334.687158403845
560050004003031,0,0,0,0,17,11.9,0,10.2,22.1,136595.5083024494,27254.00395130561
560050006002024,0,0,0,0,10,7,0,6,13,136350.12628331248,5961.201089558547
560050004003022,1,0,0,1,1,4.2,1.2,2,7.4,136669.52928820363,33878.94637638155
560050001011153,0,0,0,0,2,1.4,0,1.2,2.6,99.9676770661441,1.9963491614242148
560050007011123,0,0,0,0,7,4.9,0,4.2,9.1,115949.99167572976,35.615389680733735
560050001011005,0,0,0,0,4,2.8,0,2.4,5.2,60803.63073067048,4.994473330850758
560050007011063,0,0,0,0,3,2.1,0,1.8,3.9,4.907702082883529,2.8608609033208867
560050003004013,0,0,0,0,33,23.1,0,19.8,42.9,136168.8458478077,10536.433851759577
560050007023060,0,0,0,0,10,7,0,6,13,406.0394322474625,11.571710977437245
560050007011102,0,0,0,0,7,4.9,0,4.2,9.1,0,0
560050001021025,0,0,0,0,1,0.7,0,0.6,1.3,131361.90596321336,20.993006341904575
560050005004001,0,0,0,0,5,3.5,0,3,6.5,136146.5810520037,5426.177213668579
560050005003004,3,0,3,0,1,25.9,3.6,14.7,44.2,136541.85929466595,15224.162749132543
560050003003015,6,6,0,0,17,16.1,7.2,13.2,36.5,135222.09132045467,542.5139625884339
560050007024020,0,0,0,0,2,1.4,0,1.2,2.6,136148.56170832476,196.37530769861547
560050004001010,10,10,0,0,3,9.1,12,6.8,27.9,136550.65681393063,14070.87271052074
560050006003045,0,0,0,0,13,9.1,0,7.8,16.9,136493.97905257807,31538.43622892285
560050004002037,19,0,0,19,3,68.6,22.8,28.4,119.8,136966.12125899078,38167.243991814335
560050001021047,0,0,0,0,5,3.5,0,3,6.5,108810.4799610051,6.7318050413197295
560050007023022,0,0,0,0,1,0.7,0,0.6,1.3,62.77292411329107,0.9998949422189602
560050006003011,4,4,0,0,21,17.5,4.8,14.6,36.9,136268.05170533631,2218.9068156156673
560050005003036,0,0,0,0,11,7.7,0,6.6,14.3,135966.76851423582,11923.553847159586
560050006003042,47,0,1,46,7,174.3,56.4,73.3,304,136769.08585997575,37690.218149275584
560050004003017,0,0,0,0,5,3.5,0,3,6.5,136636.13230775818,31942.341080619994
560050003002006,0,0,0,0,29,20.3,0,17.4,37.7,136446.02144457886,30478.496081025034
560050004001029,0,0,0,0,30,21,0,18,39,136533.14096547733,18285.025900146466
560050007011125,0,0,0,0,9,6.3,0,5.4,11.7,111544.36099372417,35.069711305850625
560050006001083,0,0,0,0,5,3.5,0,3,6.5,136831.4196214491,27904.508334712296
560050006003010,0,0,0,0,6,4.2,0,3.6,7.8,136399.19757497386,2671.6764989468975
560050007011006,0,0,0,0,1,0.7,0,0.6,1.3,0,0
560050007022004,0,0,0,0,8,5.6,0,4.8,10.4,135060.81456141552,96.71715142028194
560050004004007,0,0,0,0,5,3.5,0,3,6.5,136844.1756562938,31876.941885245586
560050007011157,3,2,0,1,5,8.4,3.6,5.4,17.4,4693.663326395118,16.791960548202418
560050002002003,2,2,0,0,1,2.1,2.4,1.6,6.1,135706.08998916362,2854.344229197449
560050003003030,0,0,0,0,4,2.8,0,2.4,5.2,136187.65540592786,430.3362032412937
560050001022019,32,7,0,25,66,138.6,38.4,78.1,255.1,133699.63613998936,351.9604258531747
560050003004003,0,0,0,0,15,10.5,0,9,19.5,136382.89068844164,8073.38700612711
560050001011256,0,0,0,0,2,1.4,0,1.2,2.6,0,0
560050003003026,11,0,0,11,13,47.6,13.2,23.2,84,135732.24834240068,227.27191547769232
560050007011085,0,0,0,0,2,1.4,0,1.2,2.6,4.978092569592308,1.9998902967000902
560050001031220,2,2,0,0,4,4.2,2.4,3.4,10,37.8051595195636,9.96939436193826
560050007022005,0,0,0,0,19,13.3,0,11.4,24.7,134219.8788065599,60.26369645093001
560050006001048,0,0,0,0,17,11.9,0,10.2,22.1,136850.11088003972,24397.450471868393
560050004003028,0,0,0,0,10,7,0,6,13,136818.53123201092,35719.19498612486
560050002001001,0,0,0,0,15,10.5,0,9,19.5,136177.13256613797,2082.2384748767718
560050007011003,0,0,0,0,2,1.4,0,1.2,2.6,2.2666442724096703,1.9375448348611535
560050001011087,499,499,0,0,18,361.9,598.8,260.3,1221,0,0
560050004003038,0,0,0,0,2,1.4,0,1.2,2.6,136702.898758527,35358.155873241376
560050004003042,0,0,0,0,5,3.5,0,3,6.5,136629.46853964764,32298.725398455685
560050003004005,0,0,0,0,25,17.5,0,15,32.5,136601.1633488706,3787.553708521512
560050003003019,0,0,0,0,20,14,0,12,26,135430.6966465279,638.5333954980815
560050006003008,136,93,0,43,5,219.1,163.2,109.7,491.99999999999994,135962.709524334,6716.106575954976
560050004003040,0,0,0,0,6,4.2,0,3.6,7.8,136644.43529932646,33029.005815885
560050007024025,7,7,0,0,1,5.6,8.4,4.1,18.1,136132.20491246652,227.0553822309846
560050001021027,0,0,0,0,6,4.2,0,3.6,7.8,130996.20601427076,17.66121177090123
560050007011171,0,0,0,0,6,4.2,0,3.6,7.8,93901.70436567276,12.29887998940471
560050005004002,0,0,0,0,23,16.1,0,13.8,29.9,136319.6869336135,1872.6680490077647
560050005002008,4,4,0,0,7,7.7,4.8,6.2,18.7,135821.67424742418,3419.471502588302
560050001022023,0,0,0,0,32,22.4,0,19.2,41.6,135562.26746552813,982.7593895136399
560050006001004,181,176,0,5,1,141.4,217.2,95.6,454.2,135312.76834878398,1765.9774295301008
560050002001023,0,0,0,0,7,4.9,0,4.2,9.1,136347.7495745684,5831.164353972959
560050001011395,0,0,0,0,1,0.7,0,0.6,1.3,4225.262244276989,11.059552471245677
560050002003001,0,0,0,0,1,0.7,0,0.6,1.3,133440.4157125709,26.855110265920562
560050004002038,0,0,0,0,18,12.6,0,10.8,23.4,136927.27857629803,35381.401414986765
560050007023139,0,0,0,0,2,1.4,0,1.2,2.6,39346.61475986905,3.2462493887904627
560050002004017,50,42,0,8,13,66.5,60,40,166.5,136485.65845639491,11950.183118702802
560050004003008,0,0,0,0,4,2.8,0,2.4,5.2,136801.86673278362,34294.24855265295
560050004002049,0,0,0,0,11,7.7,0,6.6,14.3,136929.68668509985,35800.02350834827
560050007024024,5,0,0,5,2,18.9,6,8.2,33.1,136294.55105319677,319.36688033202347
560050001011081,2,2,0,0,11,9.1,2.4,7.6,19.1,121032.15887044102,34.71655685107149
560050007023107,0,0,0,0,10,7,0,6,13,114762.87739020883,19.1907995750937
560050001011268,0,0,0,0,11,7.7,0,6.6,14.3,113.52801772360004,13.998745093015158
560050002003044,0,0,0,0,12,8.4,0,7.2,15.6,136643.99616733612,1372.8569585968437
560050002001009,0,0,0,0,7,4.9,0,4.2,9.1,136098.2520957754,1379.2541112095955
560050001011041,0,0,0,0,1,0.7,0,0.6,1.3,8905.815896645268,1.3796328360692653
560050006003039,3,3,0,0,6,6.3,3.6,5.1,14.999999999999998,136750.03166877694,36184.979719002156
560050004003024,30,0,0,30,2,106.4,36,43.2,185.6,136716.28905058157,36438.90972259268
560050007011161,0,0,0,0,9,6.3,0,5.4,11.7,82502.33151714767,10.993407114668729
560050005004010,3,3,0,0,17,13.999999999999998,3.6,11.7,29.3,135501.20952301146,680.0209460527985
560050001011297,0,0,0,0,4,2.8,0,2.4,5.2,2651.542167273184,4.999799531994852
560050001011394,0,0,0,0,1,0.7,0,0.6,1.3,3575.6106563479884,0.9989476864054809
560050005004009,17,17,0,0,20,25.9,20.4,20.5,66.8,135645.67611304426,3430.2036530491164
560050007023000,1,1,0,0,4,3.5,1.2,2.9,7.6,0,0
560050001031100,2,2,0,0,1,2.1,2.4,1.6,6.1,9983.432293071255,6.797460202423961
560050003004008,10,0,0,10,8,40.6,12,18.8,71.4,136463.6374263397,6955.693933545752
560050004002047,0,0,0,0,5,3.5,0,3,6.5,136880.27362731294,36232.12553880443
560050007023117,0,0,0,0,2,1.4,0,1.2,2.6,99.82786735179775,1.995314015560049
560050007022011,0,0,0,0,8,5.6,0,4.8,10.4,136037.86811395895,814.5106833453121
560050001021006,0,0,0,0,4,2.8,0,2.4,5.2,135120.56686936834,416.3356108602218
560050001022004,5,2,0,3,106,86.1,6,68.8,160.9,135909.38778835055,3428.412031055303
560050004002017,0,0,0,0,1,0.7,0,0.6,1.3,136719.47074866362,34635.50738168687
560050007011176,0,0,0,0,1,0.7,0,0.6,1.3,0.9990463497100167,0.9990463497100167
560050001031030,0,0,0,0,2,1.4,0,1.2,2.6,4016.4367029971972,1.999970451796963
560050004002056,7,0,0,7,13,33.6,8.4,17.6,59.6,136914.02326517692,37306.387928730364
560050007021010,0,0,0,0,30,21,0,18,39,135553.63607462595,2953.797338740339
560050005002010,14,4,0,10,36,63,16.8,37.6,117.4,136311.66652674048,3694.4691837559567
560050002002016,47,11,0,36,54,171.5,56.4,88.3,316.2,134820.8090492822,1592.2827422259202
560050004002048,0,0,0,0,7,4.9,0,4.2,9.1,136891.82297019745,36269.4619226078
560050004003014,0,0,0,0,15,10.5,0,9,19.5,136507.7323576295,22871.50847521891
560050003003021,3,3,0,0,30,23.1,3.6,19.5,46.2,135511.68947739105,795.2386884566487
