id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
210099504023012,19,0,0,19,1,67.2,22.8,27.2,117.2,136814.38838416035,26700.322147289517
210099504021015,3,0,0,3,2,11.9,3.6,5.4,20.9,137093.11190156324,21153.842414247178
210099504024005,0,0,0,0,13,9.1,0,7.8,16.9,135753.27787597675,21586.23433098249
210099504021019,0,0,0,0,4,2.8,0,2.4,5.2,136984.669208338,20830.530078282663
210099506011002,0,0,0,0,96,67.2,0,57.6,124.8,136243.94386962935,1818.5154923051257
210099503001057,0,0,0,0,5,3.5,0,3,6.5,114607.65648578346,1333.3340812143929
210099504021005,0,0,0,0,13,9.1,0,7.8,16.9,136849.01640067433,17151.904715742712
210099507011019,20,0,0,20,6,74.2,24,31.6,129.8,132814.63237513215,286.9936442115778
210099502002036,0,0,0,0,12,8.4,0,7.2,15.6,119854.2267907642,3110.545884372655
211699602002073,0,0,0,0,2,1.4,0,1.2,2.6,96767.91081027874,113.78657941274906
210099502003030,0,0,0,0,8,5.6,0,4.8,10.4,117593.50977191037,3458.1705561527474
211699603001010,0,0,0,0,2,1.4,0,1.2,2.6,65639.91404337413,3.99531853468644
210099502003014,0,0,0,0,3,2.1,0,1.8,3.9,114351.19442613947,699.7626633833961
211699603004080,0,0,0,0,7,4.9,0,4.2,9.1,6587.7881714031455,8.994605821092597
211699602001005,0,0,0,0,1,0.7,0,0.6,1.3,110460.132139199,17.598963527589657
210099504021007,0,0,0,0,18,12.6,0,10.8,23.4,137226.04681499038,21719.987713643077
211699603003026,0,0,0,0,6,4.2,0,3.6,7.8,110169.57257701692,3167.866930159831
210099504022008,0,0,0,0,6,4.2,0,3.6,7.8,135502.4397154274,12067.399891367282
210099503002042,0,0,0,0,1,0.7,0,0.6,1.3,129743.53505717787,52.88629451204586
210099505002022,2,0,0,2,26,25.2,2.4,18.4,46,135286.14324228765,32460.08889872068
210099502001023,0,0,0,0,33,23.1,0,19.8,42.9,118410.13242158653,2844.5636260025954
210099502002011,7,1,0,6,2,23.1,8.4,10.1,41.6,120350.77161302263,4245.5843670279455
210099503001044,0,0,0,0,3,2.1,0,1.8,3.9,114720.347996853,1345.299360266745
210099504021029,57,57,0,0,3,42,68.4,30.3,140.7,136799.72933840237,20516.15909447324
210099504025005,0,0,0,0,10,7,0,6,13,135961.73458408585,10073.572125056231
210099507011007,0,0,0,0,1,0.7,0,0.6,1.3,134158.9223704526,125.52848840334566
210099504023004,56,0,0,56,98,264.6,67.2,137.2,469,134383.3267795314,15195.499758749787
211699602002026,0,0,0,0,5,3.5,0,3,6.5,41629.04392561303,17.090142707986224
211699603002037,50,0,0,50,24,191.8,60,84.4,336.2,87715.90891725555,2320.630036587304
210099508002047,0,0,0,0,5,3.5,0,3,6.5,111062.35873328688,39.99895342328144
210099506013006,18,0,0,18,45,94.5,21.6,52.2,168.3,136549.77841583613,32039.178438755487
210099501003018,0,0,0,0,5,3.5,0,3,6.5,129689.17330498312,120.49120687032134
210099502003040,0,0,0,0,23,16.1,0,13.8,29.9,120289.05184400121,3242.0123146163783
211699603003031,0,0,0,0,5,3.5,0,3,6.5,52710.52239115294,73.97576307152167
210099506023004,3,0,0,3,3,12.6,3.6,5.999999999999999,22.2,134301.3424076284,1918.024732622749
210099501002006,2,0,0,2,8,12.6,2.4,7.6,22.6,127615.24779446094,56.315636795404785
210099505002000,128,37,0,91,42,373.8,153.6,171.1,698.5,134263.92161516738,15663.209766178206
210099506023011,0,0,0,0,3,2.1,0,1.8,3.9,129174.05334345179,397.8257491305306
210099505002046,6,4,0,2,3,11.9,7.2,6.6,25.7,136880.92421756606,31325.701065752706
210099505001019,0,0,0,0,1,0.7,0,0.6,1.3,135230.94629487145,2021.5710658002415
211699603004099,0,0,0,0,1,0.7,0,0.6,1.3,16716.711551596425,6.6636850782545185
211699601003040,0,0,0,0,1,0.7,0,0.6,1.3,7241.099168738831,3.2776151376541973
210099509001047,0,0,0,0,2,1.4,0,1.2,2.6,101464.38938210612,22.39031158239161
210099507021019,5,0,5,0,19,55.3,6,34.9,96.2,132530.3279689115,324.58525053733445
210099501001019,0,0,0,0,5,3.5,0,3,6.5,114632.33281378562,553.54534941596
210099510002012,0,0,0,0,1,0.7,0,0.6,1.3,90040.40939837894,6.907713721049089
210099509001042,0,0,0,0,2,1.4,0,1.2,2.6,78974.06740188257,18.4398676307027
