id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
410333606023003,0,0,0,0,4,2.8,0,2.4,5.2,189005.18567239703,691.1488606566489
410333604001025,0,0,0,0,3,2.1,0,1.8,3.9,170964.04605096913,53.737345600628224
410333608002002,17,14,2,1,46,62.3,20.4,45.4,128.1,190579.20274604295,333.9126585434074
410333612012004,3,0,0,3,40,38.5,3.6,28.2,70.3,194968.89750622737,2139.512266656611
410333606011036,76,2,57,17,2,541.1,91.2,293.9,926.2,197564.57074790084,52775.868163792875
410333607042029,0,0,0,0,13,9.1,0,7.8,16.9,197922.31637029015,11822.705068700205
410333614002065,0,0,0,0,19,13.3,0,11.4,24.7,3263.663979765399,45.57846999253555
410333607041007,136,88,0,48,1,230.3,163.2,111.8,505.3,198988.48193197415,34103.51703687446
410333606023023,2,2,0,0,3,3.5,2.4,2.8,8.7,195319.0564120627,4834.037139240641
410333611011006,3,2,1,0,26,28,3.6,21.3,52.9,196112.26303480595,1925.3318651120667
410333613011054,7,1,0,6,14,31.5,8.4,17.3,57.2,197397.7412519991,1452.4595638680141
410333614002053,0,0,0,0,3,2.1,0,1.8,3.9,4715.442433501329,65.20776630030947
410333603003001,0,0,0,0,1,0.7,0,0.6,1.3,170505.30655177185,90.90324274476015
410333613012015,0,0,0,0,55,38.5,0,33,71.5,186787.36231741382,197.43542418576897
410333616023021,59,6,7,46,69,272.3,70.8,141.7,484.8,2977.8749335881243,592.3025139830597
410333612011011,3,0,0,3,84,69.3,3.6,54.6,127.5,197248.69282055952,9605.001116892146
410333607032003,0,0,0,0,51,35.7,0,30.6,66.3,199270.31752989293,25904.04871811224
410333607014000,0,0,0,0,3,2.1,0,1.8,3.9,193921.24330945814,523.5617480285089
410333607042009,0,0,0,0,22,15.4,0,13.2,28.6,198284.1622517743,19530.992719680093
410333616011027,0,0,0,0,60,42,0,36,78,15936.348828432725,3009.765547370288
410333613011057,1,1,0,0,20,14.7,1.2,12.5,28.4,192340.99261746524,685.7405710868876
410333611013007,105,23,37,45,167,601.3,126,348.6,1075.9,196129.7647227496,7456.697076013359
410333607014012,0,0,0,0,6,4.2,0,3.6,7.8,197090.57505720656,3576.472328781628
410333614002012,0,0,0,0,11,7.7,0,6.6,14.3,32354.916985980708,74.55368160109006
410333612021022,0,0,0,0,12,8.4,0,7.2,15.6,198651.57084697243,20918.059210380296
410333609001011,16,9,0,7,121,115.5,19.2,86.9,221.6,163630.5650614739,244.3413900293878
410333604002004,1,0,1,0,8,14,1.2,9.5,24.7,70967.89420855176,23.999715235086995
410333605001010,78,7,0,71,10,260.4,93.6,108.9,462.9,198654.94284283678,58884.76571356997
410333604003013,0,0,0,0,50,35,0,30,65,191497.65153772608,712.871655109324
410333601001055,12,12,0,0,38,35,14.4,28.8,78.2,7669.8597745047055,77.99655693748831
410333616014071,0,0,0,0,5,3.5,0,3,6.5,1733.8647043822264,6.787561559171784
410333607013011,0,0,0,0,8,5.6,0,4.8,10.4,198842.3142673959,35221.19317072662
410333613012037,0,0,0,0,4,2.8,0,2.4,5.2,193809.14338613555,2540.068021085965
410333601002092,0,0,0,0,1,0.7,0,0.6,1.3,1782.6789464105939,2.366903935123287
410333607041003,2,0,0,2,59,48.3,2.4,38.2,88.9,199533.4692061002,30962.36378302059
410333614002033,0,0,0,0,9,6.3,0,5.4,11.7,5245.975850775776,26.761231127740277
410333611022004,0,0,0,0,36,25.2,0,21.6,46.8,195650.15729003315,8242.221200504313
410333612021007,13,0,4,9,30,86.1,15.6,49.4,151.1,199260.30532605742,21615.141155804387
410333608003012,16,16,0,0,8,16.8,19.2,12.8,48.8,196058.11364600758,1308.1185835257138
410333611021007,16,2,0,14,30,71.4,19.2,38.6,129.2,182954.42865022353,307.4854983972168
410333616022003,0,0,0,0,1,0.7,0,0.6,1.3,6422.063677852708,46.21480384067949
410333601001026,1,1,0,0,10,7.7,1.2,6.5,15.4,146175.9961051213,67.68301059364188
410333615001067,0,0,0,0,2,1.4,0,1.2,2.6,20886.051727257913,2.046563398986436
410333612021011,2,0,0,2,1,7.7,2.4,3.4,13.5,198967.22491248065,31872.530446065826
410333615002052,0,0,0,0,9,6.3,0,5.4,11.7,82597.08737055481,195.64414264980067
410333606022009,24,0,0,24,49,118.3,28.8,62.99999999999999,210.1,197109.95782302396,28910.997703747355
410333615001046,0,0,0,0,5,3.5,0,3,6.5,21348.783411146844,20.932694323191413
410333613011011,0,0,0,0,1,0.7,0,0.6,1.3,195290.71014925485,2864.283757318378
410333604002026,0,0,0,0,1,0.7,0,0.6,1.3,195647.43701626378,5317.333970526579
410333611023022,0,0,0,0,32,22.4,0,19.2,41.6,193388.3386948591,5916.660655330956
410333611013017,6,6,0,0,28,23.8,7.2,19.8,50.8,190071.4488258096,1660.346295900945
410333607013021,0,0,0,0,20,14,0,12,26,198223.22724626292,21701.57884647424
410333604002048,106,49,3,54,3,250.6,127.2,116,493.8,195497.220771353,6657.856916299564
410333606021006,10,0,0,10,29,55.3,12,31.4,98.7,194193.41301772365,1499.7342615241637
410333603004009,0,0,0,0,39,27.3,0,23.4,50.7,176356.47158595265,127.68656323259529
410333616012039,0,0,0,0,8,5.6,0,4.8,10.4,15982.857558678157,4277.844355688582
410333616012054,0,0,0,0,17,11.9,0,10.2,22.1,17406.347021663234,4175.252329659038
410333607011016,0,0,0,0,21,14.7,0,12.6,27.3,199543.99172978458,40232.14603816896
410333613022027,0,0,0,0,3,2.1,0,1.8,3.9,171185.67070395383,64.63389388271816
410333612022018,61,0,4,57,121,317.8,73.2,171.2,562.2,197608.9672581891,7005.802873143376
410333611022003,0,0,0,0,20,14,0,12,26,195861.27512973707,9021.488870077694
410333607011026,0,0,0,0,9,6.3,0,5.4,11.7,199786.82795569874,40634.99927533555
410333606012012,0,0,0,0,21,14.7,0,12.6,27.3,198318.2171171131,51763.40195920124
410333606011041,4,0,0,4,18,26.6,4.8,16.4,47.8,198392.38699151776,45717.14486554383
410333614002054,0,0,0,0,2,1.4,0,1.2,2.6,1897.604608919666,2.039829092319559
410333606013021,0,0,0,0,11,7.7,0,6.6,14.3,199785.2674385009,56469.63640483618
410333604001003,0,0,0,0,12,8.4,0,7.2,15.6,126621.73102635721,25.965889227126624
410333616011012,0,0,0,0,3,2.1,0,1.8,3.9,23138.397139855308,3551.828319523286
410333614002041,6,6,0,0,6,8.4,7.2,6.6,22.2,1368.380033651244,22.014122029074027
410333610004024,1,1,0,0,53,37.8,1.2,32.3,71.3,190052.15659453126,203.71583771847284
410333616011022,0,0,0,0,5,3.5,0,3,6.5,18288.537237736808,5265.73926684133
410333612022020,3,0,0,3,88,72.1,3.6,57,132.7,197492.33303576568,2317.6510954290097
410333607042004,61,61,0,0,16,53.9,73.2,40.1,167.2,196182.39162619747,12149.340035540432
410333607013005,0,0,0,0,3,2.1,0,1.8,3.9,198751.19122417268,32592.36045638925
410333612011010,0,0,0,0,6,4.2,0,3.6,7.8,195444.41250932217,5713.090822647184
410333603002000,0,0,0,0,56,39.2,0,33.6,72.8,87056.15229446506,75.02493878481503
410333607012036,3,3,0,0,21,16.8,3.6,14.1,34.5,199943.82471904487,57328.080541760304
410333611011012,0,0,0,0,1,0.7,0,0.6,1.3,198868.34204523396,36329.55064995126
410333612012005,0,0,0,0,27,18.9,0,16.2,35.1,195839.42174784685,3535.305212576684
410333607012024,15,2,1,12,3,53.9,18,24.3,96.2,200444.2378464303,68690.03502421951
410333615001063,1,0,0,1,38,30.1,1.2,24.2,55.5,4178.166081545158,54.974335253391025
410333616011050,2,0,0,2,5,10.5,2.4,5.8,18.7,18373.891015014844,5338.675913367437
410333601001104,0,0,0,0,2,1.4,0,1.2,2.6,109804.98722391452,1.9999751478511212
410333608003015,0,0,0,0,19,13.3,0,11.4,24.7,191148.4566464847,423.11356152170185
410333606022000,10,1,0,9,71,81.9,12,55.7,149.6,195965.83497837608,17283.07604099436
410333611021020,0,0,0,0,9,6.3,0,5.4,11.7,197511.75192164734,6906.343611549575
410333616012003,45,0,0,45,22,172.9,54,76.2,303.1,20482.742816326216,3952.1593515013246
410333606012019,10,0,0,10,10,42,12,20,74,197715.69785514477,38934.67926568011
410333601001047,0,0,0,0,4,2.8,0,2.4,5.2,122064.19818037,307.2366071621632
410333616021041,0,0,0,0,3,2.1,0,1.8,3.9,12129.592312354034,18.960590883859343
410333607041016,36,0,3,33,8,146.3,43.2,65.1,254.6,198800.66238853292,38038.866938185274
410333616014041,0,0,0,0,1,0.7,0,0.6,1.3,10615.16275584786,2.997073499192874
410333609001013,0,0,0,0,15,10.5,0,9,19.5,162765.90365335194,219.83278109525878
410333610001015,0,0,0,0,20,14,0,12,26,185357.64574845356,303.58690071158594
410333606022006,10,0,8,2,64,119,12,78.8,209.8,196292.5305406081,17721.61898748932
410333613011024,15,0,3,12,40,95.2,18,54.9,168.1,194487.24017106093,1411.7997711825585
410333607014014,4,4,0,0,11,10.5,4.8,8.6,23.9,197573.99975179517,3736.89664844856
410333616012074,0,0,0,0,13,9.1,0,7.8,16.9,20353.793178795284,3809.936594712069
410333614001028,1,0,0,1,39,30.8,1.2,24.8,56.8,181991.86738100543,193.92440903679662
410333601001069,0,0,0,0,4,2.8,0,2.4,5.2,90667.03923437423,18.56675477529107
410333610002015,5,0,0,5,14,27.3,6,15.4,48.7,195036.26776671284,504.96960639968273
410333611021013,7,3,0,4,27,35,8.4,23.3,66.7,192507.7972057984,2791.6371048492288
410333603004003,0,0,0,0,18,12.6,0,10.8,23.4,187139.7111747019,1536.1524081324947
410333616014082,0,0,0,0,9,6.3,0,5.4,11.7,7257.950609336454,11.069848587396564
410333606023024,0,0,0,0,15,10.5,0,9,19.5,194170.77692741982,4398.307358439509
410333612021036,0,0,0,0,13,9.1,0,7.8,16.9,197264.24271599067,9387.36505103076
410333606021013,2,0,0,2,117,88.9,2.4,73,164.3,197319.72817292027,12536.285678090448
410333605005011,2,0,0,2,23,23.1,2.4,16.6,42.1,197848.8405634127,36972.76216655517
410333608002008,11,0,0,11,65,84,13.2,54.4,151.6,190747.76509423973,157.91252513343468
410333616021001,14,14,0,0,71,59.5,16.8,49.6,125.9,346.34792952054374,124.98570311740922
410333607012041,0,0,0,0,12,8.4,0,7.2,15.6,199601.60180455114,59365.6012338074
410333613022038,0,0,0,0,7,4.9,0,4.2,9.1,81496.77923847082,92.16036835314974
410333605004020,138,20,14,104,1,496.3,165.6,222,883.9,198650.65716835237,67842.63954403212
410333607031003,2,0,0,2,131,98.7,2.4,81.4,182.5,196432.22770199616,3370.0485167159604
410333612022014,0,0,0,0,19,13.3,0,11.4,24.7,199378.06938191393,27804.285530996367
410333616012044,0,0,0,0,18,12.6,0,10.8,23.4,15519.012186436266,409.41045107494864
410333606013034,36,19,0,17,5,76.3,43.2,36.3,155.8,200190.24389313563,72769.07755613145
410333614002029,1,0,0,1,3,5.6,1.2,3.2,10,4028.0664108884766,26.814900579746038
410333606021017,0,0,0,0,5,3.5,0,3,6.5,196742.067598019,4398.468955083396
410333611014005,0,0,0,0,53,37.1,0,31.8,68.9,196301.33283114343,10277.25101472469
410333616011019,0,0,0,0,28,19.6,0,16.8,36.4,16453.7157801849,1972.1558698617996
410333613021016,0,0,0,0,12,8.4,0,7.2,15.6,195034.0277956423,1033.940221328136
410333611013024,0,0,0,0,5,3.5,0,3,6.5,193795.84509830712,2235.4185418990382
410333607012026,0,0,0,0,8,5.6,0,4.8,10.4,200206.0467383479,67120.670248155
410333607013007,0,0,0,0,56,39.2,0,33.6,72.8,196873.19082545268,11220.719295031837
410333616012041,0,0,0,0,1,0.7,0,0.6,1.3,17144.577356740723,4704.863706351836
410333612011005,1,1,0,0,36,25.9,1.2,22.1,49.2,195588.66584869372,5278.394814791728
410333604001011,0,0,0,0,9,6.3,0,5.4,11.7,163950.11559502076,35.072443540815414
410333604001043,0,0,0,0,1,0.7,0,0.6,1.3,55917.04429610085,0.9999049917098496
410333608002003,17,14,0,3,171,140,20.4,113.8,274.2,135862.06831124137,283.6425818131653
410333606013012,0,0,0,0,15,10.5,0,9,19.5,199021.22722781062,55071.29098549713
410333606023005,0,0,0,0,1,0.7,0,0.6,1.3,195128.3832511585,2534.2046954596794
410333606022008,0,0,0,0,17,11.9,0,10.2,22.1,195782.55289746227,11729.252166211732
410333607013008,6,0,0,6,58,61.6,7.2,43.2,112,197913.22098959069,22265.38528472972
410333607041002,0,0,0,0,31,21.7,0,18.6,40.3,199299.38865338778,53199.54841349051
410333615001018,0,0,0,0,6,4.2,0,3.6,7.8,186354.43479229292,28.38245978913071
410333616012060,0,0,0,0,13,9.1,0,7.8,16.9,18273.878836956836,4329.776454302775
410333615002057,0,0,0,0,4,2.8,0,2.4,5.2,52639.65345315931,16.33631513130837
