id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
160639501004076,0,0,0,0,1,0.7,0,0.6,1.3,6586.632306298468,0.9992867089689247
160139602023028,3,0,0,3,19,23.8,3.6,15.6,43,74903.45984770294,405.96726810169935
160139601023041,0,0,0,0,6,4.2,0,3.6,7.8,75510.87880814499,17782.921814032063
160139602012034,2,1,0,1,17,16.1,2.4,12.1,30.6,73785.78120429919,12675.711057677036
160139602023052,1,1,0,0,8,6.3,1.2,5.3,12.8,76372.10329935467,1192.2498739010932
160139602012032,2,2,0,0,12,9.8,2.4,8.2,20.4,74545.88970598667,16600.113693224692
160139603013059,72,39,15,18,1,217,86.4,115.8,419.2,73712.39474639764,26996.13455156506
160639501001277,0,0,0,0,4,2.8,0,2.4,5.2,3764.750665245964,175.27285226663957
160139603022007,0,0,0,0,6,4.2,0,3.6,7.8,69586.07062386889,8739.942979885314
160639501002183,0,0,0,0,6,4.2,0,3.6,7.8,9303.800340344173,4031.4739131160827
160139602022053,19,5,0,14,17,64.4,22.8,32.3,119.5,70197.36059574776,4589.691103829632
160139601012012,13,0,13,0,2,110.6,15.6,62.3,188.5,42267.83649035534,266.53547453526875
160139602013003,2,2,0,0,15,11.9,2.4,10,24.3,69319.41343500277,2636.3873110253776
160139602011002,4,0,0,4,32,36.4,4.8,24.8,66,75661.66541277661,4143.682136914953
160139602021045,0,0,0,0,8,5.6,0,4.8,10.4,67045.88278744678,3687.228175792246
160139602011065,0,0,0,0,5,3.5,0,3,6.5,75710.7989731014,16888.309882600817
160139601023029,0,0,0,0,1,0.7,0,0.6,1.3,75498.22386100798,17607.665845390333
160139603012019,39,5,10,24,5,175,46.8,86.1,307.9,73660.79876163008,27032.79498042844
160139603013033,0,0,0,0,1,0.7,0,0.6,1.3,176.6579206891113,7.73450672825115
160139602011103,0,0,0,0,4,2.8,0,2.4,5.2,74793.90894934867,13561.548087114314
160639501002194,0,0,0,0,5,3.5,0,3,6.5,9323.86384828486,4838.649651154936
160639501001282,0,0,0,0,5,3.5,0,3,6.5,6309.738922247176,777.697130201522
160139601023012,4,4,0,0,2,4.2,4.8,3.2,12.2,75329.54329056351,17730.707990376413
160639501004074,0,0,0,0,26,18.2,0,15.6,33.8,6904.761732537694,32.76609303813649
160139601023039,0,0,0,0,5,3.5,0,3,6.5,74562.03042252552,16549.313945430982
160639501003044,7,0,1,6,1,30.1,8.4,13.7,52.2,9376.134386159929,5153.893855728939
160139601021091,123,98,0,25,18,168.7,147.6,94.8,411.1,61197.32174669273,1815.0938812657116
160139602021042,0,0,0,0,10,7,0,6,13,65473.83388686929,3145.336840728787
160259701001319,0,0,0,0,3,2.1,0,1.8,3.9,1962.425449702587,895.1597952831022
160639501004208,0,0,0,0,3,2.1,0,1.8,3.9,88.81267337228493,3.5153526269573194
160139601021058,36,27,0,9,7,55.3,43.2,30.3,128.8,71632.37725074419,2792.1898601399193
160139603013038,47,1,0,46,24,178.5,56.4,79.3,314.2,70636.21447773464,2442.9270571821835
160639501003126,0,0,0,0,7,4.9,0,4.2,9.1,9337.149135004864,4993.909261517438
160139603021150,0,0,0,0,5,3.5,0,3,6.5,66322.74453878362,1340.665056652671
160139602011061,0,0,0,0,3,2.1,0,1.8,3.9,75564.25193535429,16703.50856079034
160139601012094,0,0,0,0,2,1.4,0,1.2,2.6,18865.10697759473,3.33407018456774
160139601021011,5,5,0,0,10,10.5,6,8.5,25,50017.12357306572,45.67222741121733
160139603022015,0,0,0,0,6,4.2,0,3.6,7.8,67236.00034774501,1338.717727627892
160639501002120,0,0,0,0,1,0.7,0,0.6,1.3,7038.808959237875,6.181717148817891
160139605011001,1,0,0,1,29,23.8,1.2,18.8,43.8,73602.45408501306,202.0272794589332
160139603021063,3,1,0,2,12,16.1,3.6,10.5,30.2,66427.99880874413,107.64179004952092
160139602021006,0,0,0,0,8,5.6,0,4.8,10.4,69384.79326867308,4445.901110907284
160139603011003,22,17,0,5,37,55.3,26.4,37.7,119.4,73085.83194053527,24141.24740897179
160259701001317,0,0,0,0,1,0.7,0,0.6,1.3,1364.7880444301325,1.0051129826774319
160639501001307,70,70,0,0,4,51.8,84,37.4,173.2,6838.024391918832,574.6652377251663
160639501001333,0,0,0,0,1,0.7,0,0.6,1.3,6898.023218571047,851.607346731135
160639501003119,0,0,0,0,11,7.7,0,6.6,14.3,9422.707936142677,5116.90149870563
160639501001313,0,0,0,0,4,2.8,0,2.4,5.2,6639.339776752927,825.5482019960891
160139603013082,2,0,0,2,11,14.7,2.4,9.4,26.5,52736.749272283654,64.38043600930874
160139603013045,0,0,0,0,1,0.7,0,0.6,1.3,69840.40595661843,14840.09585318817
160639501001259,0,0,0,0,1,0.7,0,0.6,1.3,2088.4188732538496,2.631917707478454
160639501004230,0,0,0,0,7,4.9,0,4.2,9.1,6657.03043479237,11.968303973515106
160139601012136,0,0,0,0,5,3.5,0,3,6.5,159.5653562041048,95.74908076752065
160139602021003,6,6,0,0,10,11.2,7.2,9,27.4,69573.82204671488,4378.501284378407
