id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
291279605003014,0,0,0,0,32,22.4,0,19.2,41.6,15493.860609701665,2151.1639452572626
291279601003079,0,0,0,0,4,2.8,0,2.4,5.2,15567.024792855362,168.29844542340524
291279609001016,0,0,0,0,15,10.5,0,9,19.5,15562.561200298189,2166.7343719567816
291279601003147,0,0,0,0,3,2.1,0,1.8,3.9,15303.342290628976,55.83894175880243
291279603002013,0,0,0,0,1,0.7,0,0.6,1.3,11365.647934083301,25.180461901696937
291279604001045,0,0,0,0,3,2.1,0,1.8,3.9,15192.275009892508,1214.645996880721
291279601003140,0,0,0,0,13,9.1,0,7.8,16.9,14436.968015119362,36.75562984334697
291279601002073,0,0,0,0,4,2.8,0,2.4,5.2,14096.23599152599,480.628788315468
291279608002043,0,0,0,0,1,0.7,0,0.6,1.3,15534.038755875417,2428.059293792984
291279602002019,0,0,0,0,5,3.5,0,3,6.5,2659.273448403829,6.010477221531793
291279601003116,0,0,0,0,1,0.7,0,0.6,1.3,15740.086938323751,685.2638601389172
291279601003188,0,0,0,0,1,0.7,0,0.6,1.3,14810.054411844205,9.977540455418158
291279603001018,0,0,0,0,5,3.5,0,3,6.5,14211.215939547179,1404.8828935327033
291279603001010,0,0,0,0,12,8.4,0,7.2,15.6,9631.725751448277,15.566509908768126
291279601002061,0,0,0,0,2,1.4,0,1.2,2.6,14841.165321203229,576.863635607916
291734701003017,0,0,0,0,18,12.6,0,10.8,23.4,11929.072515673508,23.81583553289713
291734701002051,0,0,0,0,1,0.7,0,0.6,1.3,14830.711563019486,497.0425216741572
291734702003083,0,0,0,0,5,3.5,0,3,6.5,10052.25135281087,214.54926517530853
291279605003000,0,0,0,0,9,6.3,0,5.4,11.7,15533.908237513917,1920.8223679930625
291279603003052,0,0,0,0,18,12.6,0,10.8,23.4,14502.861207197378,1027.7485498259355
291279603004019,0,0,0,0,9,6.3,0,5.4,11.7,14381.806859201488,1375.5567378454016
291279605003029,0,0,0,0,19,13.3,0,11.4,24.7,15378.12819103476,2611.9288127628884
291279609003011,0,0,0,0,18,12.6,0,10.8,23.4,15393.334718384725,669.0978317139433
291279602004048,0,0,0,0,8,5.6,0,4.8,10.4,493.3260950209791,10.034044913002981
291279608005021,0,0,0,0,1,0.7,0,0.6,1.3,14558.825040873971,111.33053083180404
291279602001031,0,0,0,0,1,0.7,0,0.6,1.3,645.1118503690062,1.016208495008387
291279609003003,0,0,0,0,1,0.7,0,0.6,1.3,15452.488085953548,649.752567664379
291279602004055,0,0,0,0,19,13.3,0,11.4,24.7,1396.633147839962,23.966513708296766
291279605001032,0,0,0,0,16,11.2,0,9.6,20.8,15410.423927530761,2678.666943784706
291279602002002,0,0,0,0,1,0.7,0,0.6,1.3,3557.520023190512,4.15186057505563
291279605002013,0,0,0,0,7,4.9,0,4.2,9.1,15453.084585491604,2670.1439520015656
