id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
350250010033007,14,0,0,14,11,56.7,16.8,26.2,99.7,120720.51584350914,8097.588032073417
350250008003017,0,0,0,0,10,7,0,6,13,39569.598904334336,6339.097854705979
350250008001015,34,33,0,1,3,28.7,40.8,19.7,89.2,42902.81627131925,5309.6130395025775
350250003001016,0,0,0,0,5,3.5,0,3,6.5,163441.1724305397,11329.752385141082
350250003001029,0,0,0,0,39,27.3,0,23.4,50.7,161398.4943478536,3918.1336319450675
350250007032038,1,1,0,0,6,4.9,1.2,4.1,10.2,171767.28049808642,483.8286264781045
350250005031020,0,0,0,0,2,1.4,0,1.2,2.6,168549.06926241794,14889.870314120159
350250005042009,0,0,0,0,24,16.8,0,14.4,31.2,174716.81946104538,29728.092459159103
350250011002016,0,0,0,0,6,4.2,0,3.6,7.8,21106.895639262304,1952.096474064731
350250010034017,0,0,0,0,16,11.2,0,9.6,20.8,130815.51557036623,2294.3161075422563
350250010033025,0,0,0,0,6,4.2,0,3.6,7.8,114389.9780135623,7817.789094090819
350250010032076,0,0,0,0,7,4.9,0,4.2,9.1,134402.9136589898,12811.77339600431
350250007022096,0,0,0,0,2,1.4,0,1.2,2.6,176342.62644815174,135.2564912999265
350250005022015,0,0,0,0,17,11.9,0,10.2,22.1,166412.07351976144,16815.793606301373
350250003001026,0,0,0,0,13,9.1,0,7.8,16.9,163195.50702758695,6476.900347205176
350250004001003,4,2,0,2,162,121.8,4.8,101,227.6,159549.85263590093,226.99994814320794
350250010041048,2,0,2,0,1,17.5,2.4,10,29.9,119929.68317765412,14928.171893654582
350250011002115,0,0,0,0,3,2.1,0,1.8,3.9,20315.602175145035,1974.3327713461535
350250011001374,0,0,0,0,1,0.7,0,0.6,1.3,2.2369932728412425,0.9999646842405945
350250007031006,0,0,0,0,3,2.1,0,1.8,3.9,179143.06272872654,272.8937997547334
350250011004045,70,70,0,0,63,93.1,84,72.8,249.9,35100.45295354738,248.89756895085145
350250010032054,0,0,0,0,4,2.8,0,2.4,5.2,135515.57509560022,17491.127947563804
350250005041030,0,0,0,0,6,4.2,0,3.6,7.8,173614.00665894584,24379.08167283048
350250011003102,0,0,0,0,1,0.7,0,0.6,1.3,137550.07367925622,11.227768207776426
350250011001466,0,0,0,0,3,2.1,0,1.8,3.9,5056.866308970812,530.454167213319
350250010053131,0,0,0,0,2,1.4,0,1.2,2.6,126076.71171818185,18226.609692485395
350250007021037,0,0,0,0,1,0.7,0,0.6,1.3,0,0
350250005024008,0,0,0,0,10,7,0,6,13,165218.82055082655,4981.4517466858015
350250005025006,2,0,0,2,13,16.1,2.4,10.6,29.1,169888.84838785126,13718.730888657627
350250011002021,0,0,0,0,4,2.8,0,2.4,5.2,20245.471025851668,1928.5562767192278
350250007032021,0,0,0,0,3,2.1,0,1.8,3.9,170638.64334166882,519.2987187393561
350250008001039,6,6,0,0,1,4.9,7.2,3.6,15.7,43701.95480352793,7027.082237029359
350250010053084,0,0,0,0,4,2.8,0,2.4,5.2,120849.16824800114,18630.798041056783
350250003004019,0,0,0,0,32,22.4,0,19.2,41.6,165838.9241996063,6319.154322199069
350250010041011,0,0,0,0,6,4.2,0,3.6,7.8,102259.3155495526,3457.142159427023
350250002003044,0,0,0,0,11,7.7,0,6.6,14.3,168027.85883131332,22716.544458263867
350250010033022,0,0,0,0,4,2.8,0,2.4,5.2,122559.09607000141,12274.490185909732
350250010032084,6,3,0,3,5,16.1,7.2,8.7,32,141234.08406637274,13106.824966638824
350250005042001,60,0,0,60,69,258.3,72,125.4,455.7,175303.90937689162,30510.22259867153
350250011004033,9,9,0,0,1,7,10.8,5.1,22.9,18896.232471213352,22.001937763752565
350250010031008,0,0,0,0,6,4.2,0,3.6,7.8,142848.47090444452,11788.9816865212
350250004001011,0,0,0,0,6,4.2,0,3.6,7.8,162713.3807503083,18252.33410821321
350250010053086,0,0,0,0,8,5.6,0,4.8,10.4,118757.34138122728,18231.56301911353
350250007041015,0,0,0,0,11,7.7,0,6.6,14.3,161413.80927021656,400.67238492192314
350250010042037,0,0,0,0,1,0.7,0,0.6,1.3,123286.65707386858,16215.829884543504
350250010032088,0,0,0,0,2,1.4,0,1.2,2.6,143161.07662451337,12420.093498228256
350250002003050,0,0,0,0,10,7,0,6,13,168545.58861319185,12457.415502137841
350250001002005,0,0,0,0,22,15.4,0,13.2,28.6,171118.6731613751,32452.26422988108
350250003001027,0,0,0,0,4,2.8,0,2.4,5.2,162212.56389796422,7324.72278202733
350250004001006,0,0,0,0,32,22.4,0,19.2,41.6,159756.46263261186,12695.986084757547
350250002002005,0,0,0,0,19,13.3,0,11.4,24.7,163721.08518657906,10308.08767710519
350250009003004,0,0,0,0,3,2.1,0,1.8,3.9,9334.040894931204,3617.639883217142
350250011002048,0,0,0,0,1,0.7,0,0.6,1.3,20005.927350583952,2001.2892848171768
350250001002026,0,0,0,0,12,8.4,0,7.2,15.6,169820.10449811627,32142.73635677823
350250007031009,0,0,0,0,4,2.8,0,2.4,5.2,177372.80739725564,226.39097678376262
350250007042041,3,3,0,0,8,7.7,3.6,6.3,17.6,170713.33479580918,8952.433870950937
350250011001265,0,0,0,0,3,2.1,0,1.8,3.9,3995.9567476027346,6.2539298382053845
350250010042024,0,0,0,0,9,6.3,0,5.4,11.7,109968.57577070655,12159.24256625819
350250009002086,0,0,0,0,14,9.8,0,8.4,18.2,8587.991289377525,3793.7518882056797
350250011001230,0,0,0,0,1,0.7,0,0.6,1.3,468.73553829525446,0.9987503621283856
350250009002005,0,0,0,0,4,2.8,0,2.4,5.2,9286.375309059278,3859.1418378530525
350250010033023,0,0,0,0,5,3.5,0,3,6.5,119467.34389020456,9775.271542188057
350250006002005,0,0,0,0,23,16.1,0,13.8,29.9,171160.11245723476,33858.09951970196
350250006002007,0,0,0,0,17,11.9,0,10.2,22.1,173649.24495132407,34190.2785508554
350250005032007,5,5,0,0,3,5.6,6,4.3,15.9,172275.15421155182,15607.259805507609
350250007022077,1,0,0,1,23,19.6,1.2,15.2,36,157868.48927239148,107.51126238988522
350250005024016,0,0,0,0,11,7.7,0,6.6,14.3,166354.00351705033,6929.12976013587
350250004003020,0,0,0,0,8,5.6,0,4.8,10.4,163124.20414860416,17097.194114982594
350250005023039,0,0,0,0,1,0.7,0,0.6,1.3,156637.9229542366,504.1710657346202
350250005033029,0,0,0,0,36,25.2,0,21.6,46.8,169492.98110790062,20356.392470629366
350250010053068,0,0,0,0,1,0.7,0,0.6,1.3,129018.73717680179,19500.48045023595
350250010053070,0,0,0,0,6,4.2,0,3.6,7.8,128971.77111436643,19312.339134160808
350250010052020,0,0,0,0,5,3.5,0,3,6.5,85786.62125133231,5790.493740807744
350250010051038,0,0,0,0,2,1.4,0,1.2,2.6,120352.38707271527,14111.321977402298
350250008002240,0,0,0,0,3,2.1,0,1.8,3.9,48117.09022114707,6722.301338842055
350250010051039,0,0,0,0,2,1.4,0,1.2,2.6,126268.51661577624,13743.71186475829
350250010051005,0,0,0,0,7,4.9,0,4.2,9.1,106464.3163240064,9597.678920051645
350250006003010,52,0,25,27,16,315.7,62.4,164.9,543,173543.16807104615,36542.94248120556
350250010051035,2,2,0,0,8,7,2.4,5.8,15.2,107123.06264725445,10995.119485687908
350250011002109,0,0,0,0,4,2.8,0,2.4,5.2,21822.487609352815,1939.9118355246876
350250009003019,0,0,0,0,10,7,0,6,13,8349.562275533794,3338.7801871379356
350250007031020,138,15,23,100,61,596.4,165.6,292.2,1054.2,175591.23538141188,5183.137006936372
350250009002054,0,0,0,0,1,0.7,0,0.6,1.3,8828.57721483217,3684.643054323468
350250008002147,24,24,0,0,3,18.9,28.8,13.8,61.5,28566.451415278236,2673.3135825451604
350250009002068,0,0,0,0,8,5.6,0,4.8,10.4,8349.822313520042,3753.759242858726
350250010051003,99,99,0,0,7,74.2,118.8,53.7,246.7,78473.16969506822,1520.8122699914386
350250010051018,0,0,0,0,5,3.5,0,3,6.5,122800.25497205781,15515.144948601865
350250010031001,66,4,0,62,2,221.2,79.2,90,390.4,133313.7839040024,10289.9249207995
350250010032064,0,0,0,0,6,4.2,0,3.6,7.8,131895.99567632368,14894.77841581831
350250010032081,0,0,0,0,5,3.5,0,3,6.5,138608.90685404383,13526.511803266758
350250010033019,0,0,0,0,6,4.2,0,3.6,7.8,117495.6330420351,11511.548777196293
350250003003042,0,0,0,0,4,2.8,0,2.4,5.2,166408.6477291369,13370.969932343121
350250008003043,0,0,0,0,8,5.6,0,4.8,10.4,44603.17575877983,6516.733482778176
350250010041025,212,0,3,209,57,796.6,254.4,340.9,1391.9,119712.15155219076,5695.69870688804
350250009003013,0,0,0,0,5,3.5,0,3,6.5,8408.72121120232,3504.41377261339
350250008003030,0,0,0,0,2,1.4,0,1.2,2.6,40586.11369225916,6658.589154857003
350250010053118,0,0,0,0,3,2.1,0,1.8,3.9,128570.81979174267,18826.11328857105
350250004001023,0,0,0,0,1,0.7,0,0.6,1.3,158841.08242606051,8827.591807343704
350250005032016,2,0,0,2,47,39.9,2.4,31,73.3,173342.19939289248,27339.410235832365
350250005032000,6,6,0,0,90,67.2,7.2,57,131.4,166927.40045036687,11347.495993561806
