id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
010830208061047,2,0,0,2,62,50.4,2.4,39.99999999999999,92.8,575308.6579168185,117.72329768867787
010830201032024,9,9,0,0,3,8.4,10.8,6.3,25.5,210529.36378339585,527.4329664561773
010830208031030,0,0,0,0,8,5.6,0,4.8,10.4,1092745.68019687,1450.1101238022407
010830202013006,0,0,0,0,4,2.8,0,2.4,5.2,131186.21355970172,234.74350779918052
010830212031009,0,0,0,0,20,14,0,12,26,1199232.58864016,1538.2161710619755
010830212031016,0,0,0,0,8,5.6,0,4.8,10.4,1252649.5143054207,1233.6990881738911
010830209001021,0,0,0,0,13,9.1,0,7.8,16.9,667952.1883500909,1856.0225444669436
010830206002066,0,0,0,0,7,4.9,0,4.2,9.1,525685.9429245658,38592.87658020762
010830206002002,0,0,0,0,8,5.6,0,4.8,10.4,483163.11509687395,32781.60196050534
010830206001018,25,0,1,24,12,100.8,30,45.5,176.3,425874.65089146723,3601.8378219977094
010830208032017,0,0,0,0,12,8.4,0,7.2,15.6,1017636.6909503018,1160.8330157339717
010830201042057,0,0,0,0,2,1.4,0,1.2,2.6,187637.4890588269,51.30313371629585
010830211011032,0,0,0,0,17,11.9,0,10.2,22.1,564841.9066932098,149.01929995863324
010830204042054,0,0,0,0,1,0.7,0,0.6,1.3,80015.81634907081,9.36880990109077
010830204021042,0,0,0,0,11,7.7,0,6.6,14.3,372176.3198304461,153.2616154416253
010830208032050,0,0,0,0,7,4.9,0,4.2,9.1,1168015.5872991045,991.6812397625185
010830208032049,1,1,0,0,18,13.3,1.2,11.3,25.8,1137918.3755624217,836.7729617720346
010890025011012,135,1,4,130,4,492.1,162,203.7,857.8,1371707.5724604528,53290.27309068775
010830212013058,0,0,0,0,4,2.8,0,2.4,5.2,1075155.5323877872,1062.4689605713213
010890029232000,2,0,0,2,9,13.3,2.4,8.2,23.9,1112773.88454226,2334.3772762793224
010890107063017,0,0,0,0,20,14,0,12,26,1158407.762095234,933.973493206717
010830202023009,0,0,0,0,14,9.8,0,8.4,18.2,238092.23318264395,78.80864872487739
010890107032004,25,0,0,25,283,285.6,30,204.8,520.4,671724.6721000011,530.3079981781981
010890103032012,2,0,0,2,7,11.9,2.4,7,21.3,758809.4706060521,598.1199395513589
010890006021012,13,0,0,13,29,65.8,15.6,35.6,116.99999999999999,1388339.6248166168,7031.824767109896
010890113021079,0,0,0,0,9,6.3,0,5.4,11.7,589980.5921688906,40.03206926869333
010890111001023,0,0,0,0,3,2.1,0,1.8,3.9,745.9923076554213,297.733506419348
010890106311005,0,0,0,0,33,23.1,0,19.8,42.9,1209043.2278533997,392.1956389717663
010890113011028,0,0,0,0,1,0.7,0,0.6,1.3,774096.2758802163,45.32385083236212
010890112012049,0,0,0,0,8,5.6,0,4.8,10.4,1155991.7978574121,2430.302000907887
010890104062017,0,0,0,0,32,22.4,0,19.2,41.6,433179.13511582377,93.81634603056362
010890113011006,0,0,0,0,1,0.7,0,0.6,1.3,839302.3402690284,74.34667165198101
010890110271013,0,0,0,0,14,9.8,0,8.4,18.2,1345154.5376527645,5952.930788803897
010890023001001,12,12,0,0,51,44.1,14.4,36.6,95.1,1356295.3684815983,35352.88599956029
010890101013001,0,0,0,0,5,3.5,0,3,6.5,188359.44098118343,29.895005999346033
010890022002006,0,0,0,0,42,29.4,0,25.2,54.6,1405244.4778359067,15364.977990146785
010890106231014,0,0,0,0,22,15.4,0,13.2,28.6,1269143.6939366732,1370.0440650349174
010890009014010,1,0,0,1,99,72.8,1.2,60.8,134.8,1276906.4109771783,1087.5681844441394
010890104052009,0,0,0,0,5,3.5,0,3,6.5,576914.6798445736,74.36917621141926
010890110133009,25,0,0,25,131,179.2,30,113.6,322.8,1358882.8931219564,3770.5922771642317
010890114003025,0,0,0,0,5,3.5,0,3,6.5,68441.8379914126,80.55572985726488
010890112032018,0,0,0,0,16,11.2,0,9.6,20.8,911015.09482788,591.8104164607137
010890028012034,0,0,0,0,26,18.2,0,15.6,33.8,1242202.0061261237,12083.325073916265
010890113012078,2,0,0,2,12,15.4,2.4,10,27.8,745066.65617573,799.7238279315786
