id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
191030103082028,1,0,0,1,7,8.4,1.2,5.6,15.2,600832.4769287172,5117.598654923091
191030003061005,1,0,0,1,80,59.5,1.2,49.4,110.1,621231.6576494555,3801.5195592144955
191030018014014,0,0,0,0,36,25.2,0,21.6,46.8,620525.3980241711,12680.57450620191
191030105022090,0,0,0,0,6,4.2,0,3.6,7.8,12257.513611445569,8.916059840447048
191030002001019,0,0,0,0,20,14,0,12,26,636323.5264880055,36603.32006301919
191030005021019,0,0,0,0,16,11.2,0,9.6,20.8,640605.5371632829,177104.6870683825
191030021001032,379,58,0,321,44,1194.9,454.8,504.8,2154.5,639917.794198776,157962.87984898218
191030011001002,0,0,0,0,15,10.5,0,9,19.5,637658.4495847765,47055.61043072439
191030023001010,1,0,0,1,21,18.2,1.2,14,33.4,634059.5225018994,102940.772781433
191030016022006,0,0,0,0,29,20.3,0,17.4,37.7,636405.1263002492,78288.73480198627
191030004024021,0,0,0,0,1,0.7,0,0.6,1.3,494134.06537026254,33.49296103609089
191030003052038,0,0,0,0,18,12.6,0,10.8,23.4,622973.6542837726,8489.040738624042
191030014003013,5,0,0,5,69,65.8,6,48.4,120.2,610345.6250934758,11027.087506778542
191030018012006,0,0,0,0,7,4.9,0,4.2,9.1,616435.0103531437,17347.32661126469
191030002002001,0,0,0,0,10,7,0,6,13,631137.8845755913,21021.534878903778
191030004021002,16,0,0,16,26,74.2,19.2,38,131.4,641424.9603348312,5090.6303250081855
191030003051000,4,2,0,2,59,49.7,4.8,39.2,93.7,619501.376313195,8287.421034777124
191030023001005,0,0,0,0,18,12.6,0,10.8,23.4,634645.6887211378,42118.231089941866
191839605001046,8,8,0,0,10,12.6,9.6,10,32.2,28622.53541854781,32.367120654227584
191839602003028,1,0,0,1,5,7,1.2,4.4,12.6,4824.979249623639,12.234169137677917
191839605001027,2,2,0,0,5,4.9,2.4,4,11.3,39648.43672136268,10.999279627448587
191839605001116,0,0,0,0,8,5.6,0,4.8,10.4,46642.502018626,64.00670112957737
191030005012008,4,0,0,4,12,22.4,4.8,12.8,40,642590.0958565988,70776.69232240309
191030016013009,37,0,0,37,134,223.3,44.4,132.2,399.9,639737.3663809735,113431.80390918137
191030104023048,5,0,5,0,8,47.6,6,28.3,81.9,575620.2285644958,98.85073496869552
191839603001024,1,0,1,0,6,12.6,1.2,8.3,22.1,58697.398674308926,13842.93442453373
191839602003035,0,0,0,0,1,0.7,0,0.6,1.3,21301.992552577824,11.316290456830522
191030103033033,12,0,1,11,11,54.6,14.4,26.7,95.7,594789.5757882867,399.69222203527124
191839602003141,0,0,0,0,2,1.4,0,1.2,2.6,1982.437282072614,45.82439324773168
191839603003003,1,1,0,0,6,4.9,1.2,4.1,10.2,62186.74956293232,12842.8187224117
191839605001007,0,0,0,0,4,2.8,0,2.4,5.2,76120.71951695865,5.605621248373809
191839601021025,3,3,0,0,3,4.2,3.6,3.3,11.1,591295.6300456784,1285.698428698352
191030103072012,16,15,0,1,37,39.9,19.2,31.1,90.2,594240.288538294,4257.58516530733
191030105022000,0,0,0,0,1,0.7,0,0.6,1.3,269607.9462520127,0.9998066979734119
191030023002024,9998,126,0,9872,9,34646.5,11997.6,13889.2,60533.3,635351.5539934905,186227.67360962267
191030001002028,3,0,0,3,30,31.5,3.6,22.2,57.3,624461.1356014665,4317.519303544486
191030105022029,0,0,0,0,3,2.1,0,1.8,3.9,175361.76890270092,11.287096920787155
191839603001071,0,0,0,0,16,11.2,0,9.6,20.8,59549.15303665075,18953.472358890664
191839603003008,0,0,0,0,5,3.5,0,3,6.5,64341.59319610534,14725.596346372675
191839603001007,2,0,0,2,15,17.5,2.4,11.8,31.7,64097.937248265174,7257.213087574806
191839605001002,0,0,0,0,8,5.6,0,4.8,10.4,213718.54386617793,31.590015962031742
191839604003019,0,0,0,0,18,12.6,0,10.8,23.4,53024.92373842304,16534.876541755933
191839603001070,79,14,0,65,10,244.3,94.8,104,443.1,59191.44909450022,19217.684931127416
191839605002065,2,0,0,2,3,9.1,2.4,4.6,16.1,17236.12120842529,16.044940859795485
191030021001030,72,23,3,46,103,274.4,86.4,151.8,512.6,640446.2646566026,139179.23918075857
191030021001031,97,1,22,74,50,479.5,116.4,237.5,833.4,640373.6353711161,140155.04156243787
191030003041008,7,0,0,7,4,27.3,8.4,12.2,47.9,633250.9472263122,47709.9397321681
191839602003039,0,0,0,0,2,1.4,0,1.2,2.6,29430.22985755844,5.122381389276294
191839605003049,0,0,0,0,1,0.7,0,0.6,1.3,23513.599014846302,4.654966847283938
191839605002105,0,0,0,0,2,1.4,0,1.2,2.6,16082.90030286408,2.950722146317002
191839604002006,0,0,0,0,4,2.8,0,2.4,5.2,61727.90026214511,19292.188003037867
191030001004003,0,0,0,0,1,0.7,0,0.6,1.3,619759.6976100162,42.78401131820912
191030103034063,20,7,12,1,98,177.8,24,120.1,321.9,615419.7513689294,3313.3048868666074
191030105021041,2,2,0,0,10,8.4,2.4,7,17.8,429806.5442218124,122.88725658347317
191030001004006,0,0,0,0,1,0.7,0,0.6,1.3,625713.0146115063,2114.567145994128
191030102001022,0,0,0,0,1,0.7,0,0.6,1.3,472701.4233387848,905.2298384849086
191030015001017,2,2,0,0,14,11.2,2.4,9.4,23,626838.9292363924,25212.43455275142
191030014001008,0,0,0,0,11,7.7,0,6.6,14.3,615527.7050892365,20348.592666210014
191030105022071,0,0,0,0,4,2.8,0,2.4,5.2,59517.68661403053,11.384385984744453
191030104022022,0,0,0,0,2,1.4,0,1.2,2.6,292425.393231508,5.197881039311644
191030103032009,1,1,0,0,8,6.3,1.2,5.3,12.8,505798.6991279003,1247.5170756907937
191030003061008,7,2,1,4,30,44.8,8.4,29.3,82.5,625020.6789185633,3453.193919772714
191030104023034,0,0,0,0,6,4.2,0,3.6,7.8,552614.8333104176,97.13123531451264
191030101003002,0,0,0,0,2,1.4,0,1.2,2.6,178121.91209710517,15.168443335133464
191030105022054,0,0,0,0,4,2.8,0,2.4,5.2,29580.065676479364,5.019794189600335
191030103031033,0,0,0,0,7,4.9,0,4.2,9.1,414329.3532063929,9.13108254838348
191030104023040,7,7,0,0,8,10.5,8.4,8.3,27.2,365276.8558467597,26.958456129888805
191030011002004,0,0,0,0,40,28,0,24,52,639816.5720329268,108293.10945263613
191839605001020,4,4,0,0,7,7.7,4.8,6.2,18.7,46088.24000308526,17.991025906596985
191839603001017,10,0,0,10,5,38.5,12,17,67.5,62679.825453387,10357.67243981637
191839605001172,0,0,0,0,5,3.5,0,3,6.5,63789.191211672085,262.83330729816925
191030011002003,46,0,3,43,33,198.8,55.2,94.1,348.1,639967.966352492,95001.40173505573
191030104023027,0,0,0,0,10,7,0,6,13,433185.5023967595,12.999440857837879
191030104011021,138,86,4,48,1,262.5,165.6,129.6,557.7,629626.3479099476,1620.06651765621
191030104023038,0,0,0,0,6,4.2,0,3.6,7.8,576539.3725126297,20.7050864591041
