id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
131570107012018,0,0,0,0,4,2.8,0,2.4,5.2,132138.20595647808,6.629817588818731
131570104002029,0,0,0,0,2,1.4,0,1.2,2.6,115881.8355282913,1305.7328810566796
131570105001006,0,0,0,0,1,0.7,0,0.6,1.3,87585.75978068316,304.85834121342975
131570101042002,0,0,0,0,51,35.7,0,30.6,66.3,62466.49586127828,102.87773197701382
131570104002006,0,0,0,0,17,11.9,0,10.2,22.1,126880.99790300408,5387.575717854753
131570105005006,0,0,0,0,4,2.8,0,2.4,5.2,68041.08436588042,98.1202559366978
131570107063019,0,0,0,0,1,0.7,0,0.6,1.3,171412.04508619756,7685.70196676487
131570101062028,0,0,0,0,21,14.7,0,12.6,27.3,134019.81097798186,518.2232147547509
131570104001023,6,0,4,2,7,45.5,7.2,25.8,78.5,125390.05704118125,2469.729641178334
131570103001078,0,0,0,0,1,0.7,0,0.6,1.3,150932.97140583437,2104.0467262664356
131570107031025,1,0,0,1,11,11.2,1.2,8,20.4,107391.80917995557,501.8772212574982
131570101062036,3,0,1,2,6,19.6,3.6,11.1,34.3,153431.65492022297,7607.859661935449
131570106022050,0,0,0,0,21,14.7,0,12.6,27.3,31565.380314320497,84.73479334691072
131570105004032,0,0,0,0,4,2.8,0,2.4,5.2,99847.52846740457,197.7930763081433
131570106022013,0,0,0,0,3,2.1,0,1.8,3.9,102366.8549130181,95.64157959593538
131570107041034,0,0,0,0,2,1.4,0,1.2,2.6,169145.80396293238,11393.206819341409
131570104004024,0,0,0,0,8,5.6,0,4.8,10.4,134761.79886118972,13065.382963004762
131570107061024,4,4,0,0,12,11.2,4.8,9.2,25.2,150259.76759198782,84.19123927148794
131570107041005,410,55,344,11,30,2987.6,492,1677.7,5157.3,105697.11974012795,5175.72446707362
131570107052004,0,0,0,0,45,31.5,0,27,58.5,167577.04851973327,1263.9943786314113
131570107063041,4,4,0,0,11,10.5,4.8,8.6,23.9,170519.5187220806,4099.075753819393
131570101091017,0,0,0,0,10,7,0,6,13,134208.61169814577,335.67461482746234
131570101062010,0,0,0,0,1,0.7,0,0.6,1.3,145380.86628015913,403.3576343949658
131570104004040,0,0,0,0,17,11.9,0,10.2,22.1,127106.83906961267,4489.850141480442
131570106012047,135,14,0,121,3,435.4,162,178.2,775.6,129381.84569687981,1577.246332417529
