id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
300290003022003,0,0,0,0,2,1.4,0,1.2,2.6,200345.1785937884,1946.964850324071
300290002032027,0,0,0,0,11,7.7,0,6.6,14.3,251086.2126154476,12941.093669737498
300290008023006,0,0,0,0,18,12.6,0,10.8,23.4,267184.9758890092,424.2216224628792
300290011023007,0,0,0,0,13,9.1,0,7.8,16.9,291199.2785672808,45270.79913486013
300290002012008,0,0,0,0,12,8.4,0,7.2,15.6,255584.81327980978,6070.90003825985
300290001011076,0,0,0,0,5,3.5,0,3,6.5,5904.707048704957,22.793602397090424
300290002012011,3,3,0,0,20,16.1,3.6,13.5,33.2,238149.99329993757,3821.904778519286
300290002034049,0,0,0,0,9,6.3,0,5.4,11.7,258539.87401890664,15071.475522318902
300290002011008,0,0,0,0,12,8.4,0,7.2,15.6,232448.24815874716,241.98292588553792
300290011021020,1,0,0,1,13,12.6,1.2,9.2,23,290386.9228451927,38961.96522292412
300290006022041,0,0,0,0,1,0.7,0,0.6,1.3,274918.156355222,14.6830700575203
300290001021228,0,0,0,0,3,2.1,0,1.8,3.9,31456.308070897096,194.00693648675136
300290017033040,0,0,0,0,2,1.4,0,1.2,2.6,38.994036418825935,1.999981920404461
300290001021170,0,0,0,0,9,6.3,0,5.4,11.7,708.3185487070325,11.310409679323897
300290009031015,2,0,0,2,11,14.7,2.4,9.4,26.5,286514.3865871427,26122.333138047474
300290004021053,0,0,0,0,4,2.8,0,2.4,5.2,228671.13718622422,126.40285661480699
300290001021294,0,0,0,0,8,5.6,0,4.8,10.4,117373.85214534734,625.2501884188789
300290011022025,0,0,0,0,8,5.6,0,4.8,10.4,294248.5649338599,51227.19971037425
300290004041026,53,39,0,14,77,130.2,63.6,85.3,279.1,253564.50717360276,335.2281598964008
300290014021025,14,2,0,12,26,61.6,16.8,33.4,111.8,189181.6848849666,1953.1500666143882
