id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
202090441021005,0,0,0,0,31,21.7,0,18.6,40.3,3086291.4385698405,12492.18604332708
202090452005004,8,0,0,8,30,49,9.6,29.2,87.8,3218449.072734551,97883.81875765709
202090426003032,0,0,0,0,7,4.9,0,4.2,9.1,3160285.57607734,14176.64552370601
202090426002025,10,0,0,10,10,42,12,20,74,3233774.8362417785,19800.219042686706
202090441022024,0,0,0,0,29,20.3,0,17.4,37.7,2955453.068387402,12089.17888006593
202090447032011,3,0,0,3,27,29.4,3.6,20.4,53.4,2713900.114377297,19690.677315365097
202090406002012,0,0,0,0,10,7,0,6,13,3038945.6703617745,5005.377982883654
202090439041022,1,0,0,1,11,11.2,1.2,8,20.4,2894116.3749129875,3516.3154805880445
202090444002004,3,0,0,3,21,25.2,3.6,16.8,45.6,2717875.8969581746,3093.799845945539
202090421001005,313,0,5,308,26,1138.2,375.6,470.3,1984.1,3230995.8296625395,26904.26178701888
202090429001021,16,14,0,2,26,35,19.2,25.4,79.6,3102781.0093536316,44232.0929921017
202090448034017,0,0,0,0,24,16.8,0,14.4,31.2,2180303.905377205,1907.8906131199856
202090442022023,2,0,0,2,28,26.6,2.4,19.6,48.6,2561356.992287092,4448.095988323466
202090448032008,0,0,0,0,2,1.4,0,1.2,2.6,1128468.1495026636,145.49682398404258
202090451001006,0,0,0,0,31,21.7,0,18.6,40.3,3138473.910285553,105469.50116949163
202090440013002,0,0,0,0,134,93.8,0,80.4,174.2,2860406.5212986595,1708.522844674772
202090429002007,0,0,0,0,6,4.2,0,3.6,7.8,3150812.299971512,30986.586829733715
202090414002007,0,0,0,0,1,0.7,0,0.6,1.3,2872425.600501743,5791.6566934764905
202090434001001,0,0,0,0,26,18.2,0,15.6,33.8,3186605.571453896,3746.948331881066
202090439042010,0,0,0,0,2,1.4,0,1.2,2.6,2905146.702668362,1188.4174392356745
202090430001026,0,0,0,0,13,9.1,0,7.8,16.9,3326117.432393455,4708.441079212517
202090430001027,0,0,0,0,21,14.7,0,12.6,27.3,3313617.58520143,5545.457541782816
202090421002000,0,0,0,0,24,16.8,0,14.4,31.2,3014969.6988498727,71875.7535578685
202090402001025,0,0,0,0,16,11.2,0,9.6,20.8,2848241.278445788,3964.2139086882953
