id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
370559702001030,0,0,0,0,4,2.8,0,2.4,5.2,112149.84736480787,9658.839198389122
370559706014052,7,0,0,7,2,25.9,8.4,10.999999999999998,45.3,87947.18836708282,12854.006028773128
370559705021149,0,0,0,0,3,2.1,0,1.8,3.9,12549.932823012436,2837.9419600050633
370559701013003,7,2,0,5,7,23.8,8.4,12.2,44.4,94186.06907633164,590.773997072973
370559701021028,0,0,0,0,3,2.1,0,1.8,3.9,104831.3881770878,1231.91350438993
370559702001044,0,0,0,0,6,4.2,0,3.6,7.8,110631.67608400967,8041.264815305489
370559702002019,2,0,2,0,26,35,2.4,25,62.4,112274.88795344038,8981.48080240146
370559702001034,0,0,0,0,8,5.6,0,4.8,10.4,112557.51346838729,9695.85247053854
370559702003000,1,0,0,1,60,45.5,1.2,37.4,84.1,112432.48237347149,8348.293548087604
370559706014050,2,0,0,2,13,16.1,2.4,10.6,29.1,88051.52629839045,13327.732939315236
370559703022026,1,1,0,0,11,8.4,1.2,7.1,16.7,113501.20638773068,6965.562115926617
370559701012001,16,2,0,14,45,81.9,19.2,47.6,148.7,93404.1624128338,463.8575957382061
370559704001037,0,0,0,0,4,2.8,0,2.4,5.2,115857.42463954104,7931.673297529417
370559705021080,0,0,0,0,6,4.2,0,3.6,7.8,10447.970800023608,828.076017572311
370559704001025,2,2,0,0,8,7,2.4,5.8,15.2,115238.14998526985,7182.7034403736125
370559701013014,1,0,0,1,15,14,1.2,10.4,25.6,95399.10211489021,1112.3103550218636
370559704001048,0,0,0,0,19,13.3,0,11.4,24.7,98351.31074579647,31.110904723995166
370559702001005,0,0,0,0,3,2.1,0,1.8,3.9,109859.48364691428,7540.10188268307
370559706011012,0,0,0,0,17,11.9,0,10.2,22.1,72071.8726482031,383.6917019994191
370559703021074,0,0,0,0,1,0.7,0,0.6,1.3,115528.90056004794,11012.598880558902
370559702001053,0,0,0,0,12,8.4,0,7.2,15.6,113112.21531944716,9410.886290777811
370559702004009,0,0,0,0,7,4.9,0,4.2,9.1,110093.66672331048,1508.5595487325352
370559706021040,0,0,0,0,2,1.4,0,1.2,2.6,71404.73305483213,274.9869060676267
370559702003001,2,0,0,2,52,43.4,2.4,34,79.8,111040.60666665749,6894.987638077067
370559705011187,0,0,0,0,17,11.9,0,10.2,22.1,11833.552823429261,44.81388398867872
370559706013033,2,0,0,2,12,15.4,2.4,10,27.8,88806.70157824793,13171.35037451242
370559705024001,19,0,0,19,11,74.2,22.8,33.2,130.2,12253.828282316948,969.650558332443
370559701012002,0,0,0,0,3,2.1,0,1.8,3.9,92616.77103928511,581.2170590391072
370559706013015,0,0,0,0,12,8.4,0,7.2,15.6,79656.1876656898,12874.213487474877
370559702002008,0,0,0,0,16,11.2,0,9.6,20.8,109045.73609491158,4709.538650829497
370559702002029,0,0,0,0,4,2.8,0,2.4,5.2,110315.67687230914,7203.1117899385235
370559701011034,0,0,0,0,5,3.5,0,3,6.5,91433.83612046519,542.596230047363
370559701021004,0,0,0,0,29,20.3,0,17.4,37.7,96081.5828019922,488.1786566630673
370559704003010,0,0,0,0,4,2.8,0,2.4,5.2,86621.84810527822,77.21808683664801
370559702001041,0,0,0,0,7,4.9,0,4.2,9.1,112648.55659506969,9538.474841898533
370559706014017,1,1,0,0,9,7,1.2,5.9,14.1,84213.52165265779,12092.586137624518
370559705022019,2,0,0,2,1,7.7,2.4,3.4,13.5,6277.302339464327,58.289954359820626
370559703022007,0,0,0,0,2,1.4,0,1.2,2.6,114867.84713533841,7029.631879798723
370559705021077,0,0,0,0,8,5.6,0,4.8,10.4,11519.455743734929,842.7629965469779
370559701022048,0,0,0,0,6,4.2,0,3.6,7.8,105087.45561696096,4632.336872281567
370559701022055,0,0,0,0,5,3.5,0,3,6.5,109102.99530279115,8189.483312444995
370559705021076,10,0,0,10,10,42,12,20,74,10799.113863579827,843.5273030901028
370559701011004,28,1,1,26,5,103.6,33.6,44.6,181.8,72110.30891781568,1208.4753843391693
370559702004002,3,1,0,2,23,23.8,3.6,17.1,44.5,113428.74290058862,2974.800278387594
370559703021057,4,0,4,0,4,36.4,4.8,21.2,62.4,116215.70140698669,13080.689740351105
370559703011016,3,1,0,2,3,9.8,3.6,5.1,18.5,110279.88760094364,1087.1737074540742
370559703022045,0,0,0,0,4,2.8,0,2.4,5.2,115411.20262503708,9715.763241220871
370559701021013,1,0,0,1,10,10.5,1.2,7.4,19.1,98866.39610649447,1200.4338148212028
370559706021026,7,3,0,4,57,56,8.4,41.3,105.7,66588.58406607897,2091.8761916759167
370559702004018,1,1,0,0,17,12.6,1.2,10.7,24.5,114258.15684549665,9041.712749136434
370559706012005,3,0,3,0,12,33.6,3.6,21.3,58.5,85614.36406185919,7979.244595811748
