id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
010179540012013,0,0,0,0,3,2.1,0,1.8,3.9,13796.840430527262,16.30865008156003
010179547001009,0,0,0,0,7,4.9,0,4.2,9.1,188467.81826006834,1152.3807038008836
010179543002033,0,0,0,0,92,64.4,0,55.2,119.6,77333.83958354729,123.55508800741697
010179540012005,0,0,0,0,1,0.7,0,0.6,1.3,19359.20041936052,229.3921940407168
010179547002008,403,20,290,93,13,2784.6,483.6,1511,4779.2,140678.46120024796,6152.49000262961
010179540023014,0,0,0,0,5,3.5,0,3,6.5,65202.53747226277,4634.4247592708325
010179540012045,0,0,0,0,1,0.7,0,0.6,1.3,10315.872130091388,0.9997370177552153
010179540024033,7,7,0,0,9,11.2,8.4,8.9,28.5,14831.594940495675,27.86310270764791
010179543003022,0,0,0,0,36,25.2,0,21.6,46.8,78001.43788132726,73.70056617555355
010179538002066,0,0,0,0,3,2.1,0,1.8,3.9,495.89931606239577,2.996273994586959
010179548001023,0,0,0,0,2,1.4,0,1.2,2.6,217729.07034409922,9458.432671036991
010179548003012,0,0,0,0,11,7.7,0,6.6,14.3,234365.10645517556,9657.750001302495
010179538003042,0,0,0,0,9,6.3,0,5.4,11.7,4217.415773275937,10.993198561950127
010179538002094,0,0,0,0,1,0.7,0,0.6,1.3,8049.234670466781,24.20985563604215
010179543003004,0,0,0,0,9,6.3,0,5.4,11.7,211470.65121058043,3041.4232711113436
010179539002020,0,0,0,0,16,11.2,0,9.6,20.8,180100.76854745744,2533.06949819388
010179540022024,0,0,0,0,7,4.9,0,4.2,9.1,53629.962851873686,2381.051150562933
010179546003056,11,0,1,10,4,46.2,13.2,21.1,80.5,237530.3267838102,5015.324531943849
010179548003028,0,0,0,0,5,3.5,0,3,6.5,236627.18778948995,8791.01109417941
010179547001006,0,0,0,0,2,1.4,0,1.2,2.6,177994.85116053873,1120.2530336739599
010179538003017,0,0,0,0,5,3.5,0,3,6.5,13606.979278381517,150.98170125531607
010179539003023,0,0,0,0,16,11.2,0,9.6,20.8,228182.34240032465,9948.029332947304
010179548002029,0,0,0,0,8,5.6,0,4.8,10.4,201280.70649778628,5905.966675451312
010179543004010,0,0,0,0,58,40.6,0,34.8,75.4,208369.8167563539,4237.882797220606
010179538002135,0,0,0,0,1,0.7,0,0.6,1.3,10793.517718728293,3.5946775823333654
010179548004001,0,0,0,0,7,4.9,0,4.2,9.1,218521.70734070905,2194.216417453212
010179538002002,0,0,0,0,4,2.8,0,2.4,5.2,7629.0293116378825,29.24338775229441
010179548004026,2,1,0,1,30,25.2,2.4,19.9,47.5,171379.54593914046,1678.0142247542578
010179548002054,0,0,0,0,8,5.6,0,4.8,10.4,229032.03479807812,10528.26459789921
010179547001035,0,0,0,0,12,8.4,0,7.2,15.6,174660.79032324825,2724.323167101098
010179542002006,0,0,0,0,1,0.7,0,0.6,1.3,152990.4245003431,513.6240893492022
010179540011026,0,0,0,0,8,5.6,0,4.8,10.4,10798.304001626928,14.23521607915081
010179547002071,0,0,0,0,5,3.5,0,3,6.5,64377.34358865087,93.7808889165986
010179547002040,0,0,0,0,5,3.5,0,3,6.5,148779.3546352685,1228.7458310803345
010179539001024,0,0,0,0,2,1.4,0,1.2,2.6,69596.55175358597,15.405407483327433
010179540011038,0,0,0,0,1,0.7,0,0.6,1.3,5590.9445723762165,0.9986956006232771
010179540011031,0,0,0,0,3,2.1,0,1.8,3.9,3510.819843200404,4.013363108771124
010179548005070,0,0,0,0,5,3.5,0,3,6.5,201216.21343010498,1548.6784609445028
010179547002011,0,0,0,0,12,8.4,0,7.2,15.6,116863.17299511367,5398.683405462079
010179538003013,0,0,0,0,3,2.1,0,1.8,3.9,7360.097389043966,5.065950436172816
010179543003010,25,25,0,0,1,18.2,30,13.1,61.3,233322.5717833391,3101.6517728059316
010179548003024,0,0,0,0,1,0.7,0,0.6,1.3,236785.38008479532,8626.314644194972
010179540024013,28,15,1,12,57,100.8,33.6,63.2,197.6,53059.86456820439,2448.1440020022224
010179542002023,0,0,0,0,4,2.8,0,2.4,5.2,143302.7831185796,208.4857125529804
010179542001016,0,0,0,0,31,21.7,0,18.6,40.3,23676.96466276269,40.24541114607145
010179542001010,0,0,0,0,27,18.9,0,16.2,35.1,31689.25370203031,34.95349950699865
010179547003036,0,0,0,0,2,1.4,0,1.2,2.6,163788.4847431666,5257.638951457255
010179546002033,0,0,0,0,6,4.2,0,3.6,7.8,248482.92550248493,3756.751227658916
010179546003048,0,0,0,0,9,6.3,0,5.4,11.7,207777.61623120977,1764.6937195937312
010179540012094,0,0,0,0,3,2.1,0,1.8,3.9,13387.419984677657,3.0391428911985496
010179546002024,0,0,0,0,10,7,0,6,13,228525.99981703493,2188.280730489262
010179542002004,0,0,0,0,23,16.1,0,13.8,29.9,147039.05587193975,344.35338635149
010179548003035,10,8,2,0,1,23.1,12,14,49.1,243535.0899332495,6898.984312826733
010179540022037,1,0,0,1,6,7.7,1.2,5,13.9,59275.5771482886,4140.135752406861
010179538002029,3,0,3,0,4,28.000000000000004,3.6,16.5,48.1,1316.036531983742,69.08373058479243
010179538002108,0,0,0,0,2,1.4,0,1.2,2.6,7301.561180850679,13.790512753436696
010179539002007,73,0,0,73,3,257.6,87.6,103.99999999999999,449.2,170695.60481386154,1267.626820790248
010179538001022,0,0,0,0,8,5.6,0,4.8,10.4,77201.36294664195,13.32251484135269
010179540021015,0,0,0,0,2,1.4,0,1.2,2.6,14490.038144903376,4.24882695166073
010179542002036,0,0,0,0,8,5.6,0,4.8,10.4,182785.7065800427,785.7171484154874
010179538001013,0,0,0,0,1,0.7,0,0.6,1.3,8032.788249362936,13.054489815931912
010179540012023,0,0,0,0,3,2.1,0,1.8,3.9,16773.28498774402,12.806591482351717
010179543004049,0,0,0,0,54,37.8,0,32.4,70.2,201882.30451830433,4393.0209503783035
010179540021047,0,0,0,0,5,3.5,0,3,6.5,71112.19875452392,2723.340979180399
010179539003051,0,0,0,0,7,4.9,0,4.2,9.1,207259.63343653196,7053.664806038317
010179547003029,0,0,0,0,10,7,0,6,13,171586.3975780409,2438.4043114652704
010179540011090,0,0,0,0,2,1.4,0,1.2,2.6,6429.981167055297,17.432012448066196
010179538002092,1,0,1,0,2,9.8,1.2,5.9,16.9,8026.533442274543,31.808247746810746
010179546002021,0,0,0,0,12,8.4,0,7.2,15.6,241382.2618185953,3234.9071270709087
010179546003025,0,0,0,0,7,4.9,0,4.2,9.1,224811.50549287608,4869.067960181989
010179539003028,0,0,0,0,2,1.4,0,1.2,2.6,208840.24990903953,8360.528121712458
010179548002041,0,0,0,0,11,7.7,0,6.6,14.3,225016.65688885935,11184.299669703001
