id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
240098604031013,0,0,0,0,13,9.1,0,7.8,16.9,112084.26338076983,1235.9658761155918
240098610033023,0,0,0,0,9,6.3,0,5.4,11.7,232002.07196802285,527.1687854745197
240098609021007,0,0,0,0,7,4.9,0,4.2,9.1,227908.68516056682,724.7031451629413
240098603001011,0,0,0,0,4,2.8,0,2.4,5.2,131009.09201887947,1024.4756336193418
240378761022007,18,6,11,1,6,104.3,21.6,59.7,185.6,260994.9267624326,1139.8402041522522
240378753001050,0,0,0,0,5,3.5,0,3,6.5,62230.06698967312,33.17926885956659
240098604031005,0,0,0,0,5,3.5,0,3,6.5,119455.48571349125,547.2413043998433
240378756023035,0,0,0,0,6,4.2,0,3.6,7.8,265590.9144255601,4546.930919521099
240378761011009,0,0,0,0,3,2.1,0,1.8,3.9,151029.02730010296,43.930456748698816
240098611002031,0,0,0,0,3,2.1,0,1.8,3.9,225397.11590069576,256.91180117292805
240098610031009,0,0,0,0,3,2.1,0,1.8,3.9,204211.2708558163,1620.3423069728233
240378756011002,0,0,0,0,13,9.1,0,7.8,16.9,252731.56477596975,246.48005134470444
240378750002013,0,0,0,0,12,8.4,0,7.2,15.6,32507.732315259902,598.8747036056609
240378755012032,0,0,0,0,44,30.8,0,26.4,57.2,272295.7585536694,4580.001704361154
240378762001024,2,0,2,0,29,37.1,2.4,26.8,66.3,91754.45545289232,79.69944817282763
240378755021039,5,0,0,5,26,35.7,6,22.6,64.3,243467.845754084,2650.685236568276
240098604042019,10,0,0,10,62,78.4,12,51.2,141.6,116280.67482318584,4728.8826391739085
240098608012008,3,0,0,3,14,20.3,3.6,12.6,36.5,234349.46168376238,179.87465922536103
240098610032003,0,0,0,0,5,3.5,0,3,6.5,212468.5836073125,1212.624815116622
240378762004053,7,3,0,4,1,16.8,8.4,7.7,32.9,145747.03301143707,254.8827889246337
240378759042004,104,6,4,94,13,375.9,124.8,161.2,661.9,261351.38203812443,5277.064137935039
240098605021046,0,0,0,0,2,1.4,0,1.2,2.6,136614.49795869697,602.9183497367296
240098607011024,0,0,0,0,5,3.5,0,3,6.5,131438.78775306608,17.929724880259364
240098610032037,0,0,0,0,16,11.2,0,9.6,20.8,212761.69176850218,1686.4489072032416
240378758033011,4,0,0,4,13,23.1,4.8,13.4,41.3,311182.61920126417,155.49907848607052
240378758032006,0,0,0,0,6,4.2,0,3.6,7.8,263224.3944421354,280.7375731436449
240378752011009,0,0,0,0,28,19.6,0,16.8,36.4,110058.7963213357,73.77291978367603
240098608011014,4,4,0,0,62,46.2,4.8,39.2,90.2,178471.44979293045,190.63631498835434
240098605011012,5,2,0,3,106,86.1,6,68.8,160.9,127145.16345741309,222.61227434049783
240098603001020,3,0,0,3,72,60.9,3.6,47.4,111.9,126610.44796232528,116.05123065927965
240098602001018,0,0,0,0,3,2.1,0,1.8,3.9,100559.20384452981,439.4966121897008
240378761021011,1,1,0,0,49,35,1.2,29.9,66.1,199374.1195269565,71.86963841471905
240378759031002,263,13,45,205,313,1323.7,315.6,692.8,2332.1,237608.8066208887,11474.231252566758
240378757003006,2,2,0,0,16,12.6,2.4,10.6,25.6,222380.84832070276,114.0589991506188
240378757002026,0,0,0,0,5,3.5,0,3,6.5,248541.46000095512,121.06016749784473
240098607011013,0,0,0,0,3,2.1,0,1.8,3.9,164039.36934285893,891.9279113273853
240098601031003,582,20,264,298,206,3418.8,698.4,1791.6,5908.8,113678.35417362578,5940.810499220247
240098610033019,0,0,0,0,16,11.2,0,9.6,20.8,226357.65952740182,382.7023069793859
240378755022003,0,0,0,0,5,3.5,0,3,6.5,185536.3333132119,10.393743061556894
240378757002022,82,22,4,56,228,404.6,98.4,245,748,275605.9863999227,1293.1407451072334
240378752023013,0,0,0,0,65,45.5,0,39,84.5,99074.48987725202,334.1215537174953
240378761011015,0,0,0,0,6,4.2,0,3.6,7.8,168455.53638475595,19.177515628172024
240378762002032,86,0,0,86,92,365.4,103.2,175.6,644.2,145473.66883615288,664.6804030580121
240098611001032,64,14,3,47,65,245,76.8,125.9,447.7,240189.33006403004,818.9599713513751
240378755012041,0,0,0,0,6,4.2,0,3.6,7.8,259666.22254049106,2830.751744655491
240378755021019,0,0,0,0,5,3.5,0,3,6.5,271106.91834499285,23840.70673897315
240378761021000,10,0,0,10,16,46.2,12,23.6,81.8,249312.01902207217,203.8298022079022
240378759062015,0,0,0,0,2,1.4,0,1.2,2.6,244913.15252059445,1137.8263962527053
240098604042018,2,0,0,2,2,8.4,2.4,4,14.8,116584.23634970341,4892.578917653457
240378762003019,0,0,0,0,5,3.5,0,3,6.5,140379.57601818675,18.648543739919784
240378761011041,0,0,0,0,6,4.2,0,3.6,7.8,204063.9374679533,109.14960211946374
240378755011038,3,3,0,0,6,6.3,3.6,5.1,14.999999999999998,265787.13886907627,172.18715996127543
240378753001006,6,6,0,0,14,13.999999999999998,7.2,11.4,32.6,82545.17525455657,42.57481914130046
240098604021002,220,0,11,209,118,906.5,264,415.1,1585.6,126057.39499324057,5598.096507048944
240098611002038,0,0,0,0,2,1.4,0,1.2,2.6,173838.3712604144,713.116106712397
240098606002005,0,0,0,0,1,0.7,0,0.6,1.3,116704.0841702979,2.0591175737870353
240098606003011,2,2,0,0,21,16.1,2.4,13.6,32.1,137649.8139273925,103.26567358193475
240098606002021,0,0,0,0,2,1.4,0,1.2,2.6,112166.44574453647,8.107080977804973
240378757002006,0,0,0,0,4,2.8,0,2.4,5.2,151725.48080366422,24.8361493550133
240098608013023,0,0,0,0,26,18.2,0,15.6,33.8,95142.33979461568,149.42901804995145
240098611001020,0,0,0,0,7,4.9,0,4.2,9.1,119515.36698896966,439.18847695077767
