id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
530150009022001,0,0,0,0,27,18.9,0,16.2,35.1,188903.17174824458,59.11334636885762
530150017005000,0,0,0,0,37,25.9,0,22.2,48.1,180606.45614546118,48.928991138429424
530150020013012,0,0,0,0,2,1.4,0,1.2,2.6,227807.96531024858,199.13961350498735
530150010001021,0,0,0,0,7,4.9,0,4.2,9.1,249745.74852952507,54828.40330848001
530150017004018,0,0,0,0,27,18.9,0,16.2,35.1,176978.30143490768,36.02407465568992
530150021003005,230,0,0,230,201,945.7,276,442.6,1664.3,245789.75955128515,52921.77456918882
530150020032011,0,0,0,0,20,14,0,12,26,223543.4278576919,2727.652962576338
530150018001008,0,0,0,0,7,4.9,0,4.2,9.1,53496.11034873779,491.51710466656
530150019004017,0,0,0,0,76,53.2,0,45.6,98.8,71435.31778746897,98.98301072982574
530150015031013,0,0,0,0,3,2.1,0,1.8,3.9,193880.0194555231,7019.011281336766
530150015032031,13,5,0,8,84,90.3,15.6,64.1,170,203442.63568317148,3474.37323387053
530150017002013,0,0,0,0,20,14,0,12,26,163528.4134230868,25.999719888316783
530150007021000,1,0,0,1,64,48.3,1.2,39.8,89.3,229919.42330962524,6050.033348205971
530150004005007,0,0,0,0,57,39.9,0,34.2,74.1,248452.32984025104,74946.87568504084
530150020011012,0,0,0,0,1,0.7,0,0.6,1.3,107265.2934760407,18.019686209063128
530150016011002,0,0,0,0,3,2.1,0,1.8,3.9,234537.59092788253,60.32000671547379
530150019004039,0,0,0,0,29,20.3,0,17.4,37.7,212334.9907304638,65.70690703024417
530150020011052,3,0,0,3,86,70.7,3.6,55.8,130.1,138851.43522951103,153.8954402655263
530159800001106,16,0,5,11,39,107.8,19.2,62.3,189.3,250607.58064646006,66603.78405825744
530150020041005,22,22,0,0,15,25.9,26.4,20,72.3,15576.832973439843,71.98348359905516
530150006023007,2,2,0,0,44,32.2,2.4,27.4,61.99999999999999,245762.5836461516,19092.522130206846
530150015011043,0,0,0,0,18,12.6,0,10.8,23.4,4139.7617280036575,24.680304468120276
530150013001018,0,0,0,0,6,4.2,0,3.6,7.8,245300.49027087243,259.39846901871346
530150004006001,6,0,0,6,23,37.1,7.2,22.2,66.5,245016.0279872309,36600.173466082204
530150006014000,2,0,0,2,95,73.5,2.4,59.8,135.7,239712.77939417347,11530.621219179971
530150021002040,59,5,3,51,8,212.8,70.8,92.8,376.4,248179.32328859545,88110.41283733226
530150011006005,0,0,0,0,28,19.6,0,16.8,36.4,246792.6759855314,20743.56592403304
530150012001012,0,0,0,0,11,7.7,0,6.6,14.3,245532.61518872378,2581.6616743079103
530150021002041,64,1,0,63,1,221.9,76.8,89.3,388,248012.5339896517,86486.03125359473
530150021002014,133,6,4,123,17,480.2,159.6,204.2,844,246419.2085526308,59672.59860260488
530150007051016,2,2,0,0,28,20.999999999999996,2.4,17.8,41.2,221769.97028943905,2284.531870159223
530150019002027,0,0,0,0,8,5.6,0,4.8,10.4,146629.96759358753,56.13490738565759
530150012001007,161,0,48,113,32,821.1,193.2,403,1417.3,249279.38051732976,13006.761431695415
530150015032026,0,0,0,0,23,16.1,0,13.8,29.9,188407.75683428664,1509.9604465370448
530150020033016,0,0,0,0,32,22.4,0,19.2,41.6,167970.94135809742,45.331334947304484
530150020011015,0,0,0,0,10,7,0,6,13,62548.15845366355,13.090610320812363
530150020031007,0,0,0,0,26,18.2,0,15.6,33.8,223374.39381912875,3877.9978478638272
530150020031001,1,0,0,1,12,11.9,1.2,8.6,21.7,227282.61618357338,5363.768389304684
530150016022007,0,0,0,0,35,24.5,0,21,45.5,229297.5169817816,261.12140023901725
530150018002089,0,0,0,0,9,6.3,0,5.4,11.7,14534.597488474203,12.435582597956508
530150021002045,60,0,6,54,5,242.9,72,106.8,421.7,246315.57973471427,96526.53391255808
530150006022007,2,2,0,0,37,27.3,2.4,23.2,52.9,245371.02531117122,18630.57091918672
530150008022010,0,0,0,0,21,14.7,0,12.6,27.3,232849.80509472804,3218.2321614716275
530150019001006,0,0,0,0,11,7.7,0,6.6,14.3,192265.46526450728,14.050613299939235
530150020041022,0,0,0,0,7,4.9,0,4.2,9.1,44229.35932489885,8.998317107379375
530150011004004,5,0,5,0,3,44.1,6,25.3,75.4,249060.1382270606,36638.122023444106
530150020011073,0,0,0,0,3,2.1,0,1.8,3.9,1041.9036269341427,297.9903089903885
530150020011007,12,0,0,12,20,56,14.4,28.8,99.2,35178.80272866118,98.99898600650998
530150016011033,1,0,0,1,21,18.2,1.2,14,33.4,244750.34675014677,3535.3816671116715
530150015042003,0,0,0,0,14,9.8,0,8.4,18.2,195647.9388394807,12884.285958042494
530150009012015,1,0,0,1,7,8.4,1.2,5.6,15.2,244489.39882344333,2365.2388321276517
530150010002000,0,0,0,0,8,5.6,0,4.8,10.4,250655.08400555942,45025.45661462677
530150008012014,0,0,0,0,9,6.3,0,5.4,11.7,243847.32980583122,9388.08314845285
530150019003025,0,0,0,0,8,5.6,0,4.8,10.4,189001.77033072247,46.79720540264011
530150006014005,0,0,0,0,32,22.4,0,19.2,41.6,238946.45656598656,14062.786236395461
530150010001002,1,0,0,1,46,35.7,1.2,28.999999999999996,65.9,249660.0734579856,33560.28971081924
530150005012015,0,0,0,0,25,17.5,0,15,32.5,246168.60993839338,15145.057027259869
530150016012083,15,15,0,0,11,18.2,18,14.1,50.3,241400.4933886718,262.0432737919325
530150013002033,0,0,0,0,20,14,0,12,26,247179.83497714374,5756.379849660851
530150015031006,113,27,42,44,3,527.8,135.6,274.3,937.7,211078.467392892,3881.384261944207
530150015012023,0,0,0,0,21,14.7,0,12.6,27.3,64584.807571419835,93.77364002864933
530150020011020,0,0,0,0,9,6.3,0,5.4,11.7,1038.587289569973,298.14934677540907
530150007062001,0,0,0,0,10,7,0,6,13,229678.86220421395,10499.634076664372
530150021004008,5,0,0,5,16,28.7,6,16.6,51.3,248060.32477461707,81894.39693404804
530150011005008,0,0,0,0,16,11.2,0,9.6,20.8,248049.01944939207,24536.53379243053
530150020011047,2,2,0,0,32,23.8,2.4,20.2,46.4,56640.17674838444,46.02539688776569
530150020011053,0,0,0,0,18,12.6,0,10.8,23.4,163448.10316546354,175.40551096634454
530150017004017,0,0,0,0,12,8.4,0,7.2,15.6,31311.02490538194,15.959472648417922
530150013002005,0,0,0,0,4,2.8,0,2.4,5.2,243286.60787867315,645.5083860457455
530150017002016,1,0,0,1,4,6.3,1.2,3.8,11.3,204483.8520308462,22.099383227342024
530150010002005,7,0,3,4,16,50.4,8.4,29.3,88.1,250554.79321964565,57887.48986531273
530150013002012,0,0,0,0,15,10.5,0,9,19.5,241538.2391329593,665.8730815372296
530150020033019,9,9,0,0,68,53.9,10.8,45.3,109.99999999999999,169233.88528661433,151.1757442056324
530150020034006,100,23,21,56,19,401.8,120,200,721.8,223287.33688589706,2197.7308804210697
530150015011077,0,0,0,0,2,1.4,0,1.2,2.6,28804.910869368712,77.5979795355191
530150005012010,0,0,0,0,21,14.7,0,12.6,27.3,246357.75502593408,20007.935370395564
530150007021002,3,3,0,0,92,66.5,3.6,56.7,126.8,231323.13827955507,10829.198306824166
530150016021013,0,0,0,0,1,0.7,0,0.6,1.3,187196.19263286298,19.86836564632268
530150005011012,0,0,0,0,26,18.2,0,15.6,33.8,249083.73969304588,44170.970282833136
530150020011085,0,0,0,0,8,5.6,0,4.8,10.4,1111.4179736711023,297.2396998070371
530150009021001,1,0,0,1,140,101.5,1.2,85.4,188.1,234595.86752944725,528.0820451122395
530150009022003,79,15,3,61,200,389.2,94.8,227,711,238350.6719385817,1053.190593421765
530150011002006,0,0,0,0,6,4.2,0,3.6,7.8,249293.712385178,27101.073461300868
530150020032025,0,0,0,0,5,3.5,0,3,6.5,233379.0685722088,20.868407047317316
530150011007029,4,4,0,0,20,16.8,4.8,14,35.6,235156.63196725017,1885.076878072753
530150011006007,0,0,0,0,14,9.8,0,8.4,18.2,245689.35522527675,19929.254038346833
530150006014004,7,0,0,7,18,37.1,8.4,20.6,66.1,239702.6685981675,14644.946606349595
530150020033027,0,0,0,0,11,7.7,0,6.6,14.3,136123.89326760895,21.59172241735488
530150017005002,35,35,0,0,136,119.7,42,99.1,260.8,202030.9490568388,261.8534882836831
530150011006009,2,0,0,2,37,32.9,2.4,25,60.3,246929.43894365669,16216.298185730624
530150012002004,0,0,0,0,48,33.6,0,28.8,62.4,244770.5973643161,1798.5517832320159
530150015012025,2,0,0,2,18,19.6,2.4,13.6,35.6,80358.77877154277,224.76165053683408
530150006023012,0,0,0,0,29,20.3,0,17.4,37.7,246821.2327682239,28227.970964927244
530150007031020,0,0,0,0,2,1.4,0,1.2,2.6,227154.40622598396,577.3249481757083
530150007031017,7,7,0,0,1,5.6,8.4,4.1,18.1,236249.45514752803,154.8174374600067
530150007061012,0,0,0,0,28,19.6,0,16.8,36.4,227246.5010274637,3317.617470187121
530150004001007,15,0,0,15,91,116.2,18,75.6,209.8,244165.64097477,54236.754180372955
530150007031008,0,0,0,0,2,1.4,0,1.2,2.6,226990.79889702002,7947.486538494092
530150004002008,3,0,0,3,13,19.6,3.6,12,35.2,245730.40545425058,47851.24742336443
530150005022013,3,0,0,3,40,38.5,3.6,28.2,70.3,247687.7597661312,39320.4993093884
530150012004010,7,3,0,4,113,95.2,8.4,74.9,178.5,249656.64134527522,4606.442477047804
530150016012046,0,0,0,0,3,2.1,0,1.8,3.9,226395.12838136076,44.17023090279011
530150015011079,0,0,0,0,7,4.9,0,4.2,9.1,27567.722866914733,45.596500361185335
530150021002026,0,0,0,0,35,24.5,0,21,45.5,247050.71692187517,69630.82148913134
530150009021008,0,0,0,0,102,71.4,0,61.2,132.6,238681.91215232792,793.5870835766112
530150016011015,0,0,0,0,4,2.8,0,2.4,5.2,242883.28827443483,3000.8168146817334
530150011003006,0,0,0,0,8,5.6,0,4.8,10.4,251448.94948287235,35066.01966271827
530150007021003,1,1,0,0,28,20.3,1.2,17.3,38.8,232553.80331135762,13388.138031434646
530150020032012,198,0,0,198,77,746.9,237.6,323.4,1307.9,223798.5276749193,4417.650566116732
530150013002032,0,0,0,0,13,9.1,0,7.8,16.9,245817.07102613224,5952.193991633486
530150021002007,5,0,0,5,1,18.2,6,7.6,31.8,248653.4092645556,67850.86935509712
530150020034030,0,0,0,0,4,2.8,0,2.4,5.2,229869.94511517836,5067.871335581243
530150020034028,0,0,0,0,5,3.5,0,3,6.5,230633.53597911008,5144.562847308646
530150009022013,0,0,0,0,10,7,0,6,13,244987.05817525985,1266.239130185214
530150012003034,37,0,37,0,1,311.5,44.4,174.5,530.4,250760.03154070937,666.7556407037308
530150012001011,0,0,0,0,1,0.7,0,0.6,1.3,243525.32787542065,1560.5355733742256
530150020041019,0,0,0,0,41,28.7,0,24.6,53.3,148636.75446635627,54.520734714930306
