id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
481830010002001,12,0,12,0,16,112.00000000000001,14.4,66,192.4,566930.628065801,9167.109888919022
481830006021003,2,0,0,2,36,32.2,2.4,24.4,59,542420.755810425,10942.33996285505
481830015003001,0,0,0,0,1,0.7,0,0.6,1.3,575684.6972324834,6021.710770388391
481830005011016,6,0,0,6,82,78.4,7.2,57.6,143.2,556244.7557958339,10185.246626148488
481830003004014,0,0,0,0,15,10.5,0,9,19.5,552049.4973975153,7199.082625349729
481830102014076,0,0,0,0,3,2.1,0,1.8,3.9,531343.2767963432,74.9373708926902
481830008004009,0,0,0,0,22,15.4,0,13.2,28.6,553064.0052807976,11787.459057862477
481830004011018,9,0,9,0,1,76.3,10.8,42.9,130,548000.484785124,1896.5916680886255
481830006022004,0,0,0,0,83,58.1,0,49.8,107.9,525335.2618591847,620.6826991684746
481830004012001,4,0,0,4,32,36.4,4.8,24.8,66,563669.2540178479,40417.58387005743
481830015004039,0,0,0,0,9,6.3,0,5.4,11.7,587681.8820532786,5196.508220505052
481830103023020,278,268,0,10,75,275.1,333.6,193,801.7,545031.0096159858,2395.4251859185674
481830102024001,20,0,6,14,140,197.4,24,131.8,353.2,538633.7605377191,2857.8522573776636
481830107001022,0,0,0,0,6,4.2,0,3.6,7.8,562036.5964724574,18499.134522523625
481830013004003,0,0,0,0,22,15.4,0,13.2,28.6,578383.9953185677,7339.112926569096
481830014003009,11,0,11,0,6,96.6,13.2,55.3,165.1,580492.2091713939,7819.667788589395
481830007005013,0,0,0,0,17,11.9,0,10.2,22.1,551791.5816512706,8234.782548241415
481830007003007,0,0,0,0,12,8.4,0,7.2,15.6,550615.9335700372,8401.196658408348
481830106001021,122,109,2,11,42,161,146.4,104.5,411.9,524308.3607019002,540.4753608980695
481830102013018,0,0,0,0,20,14,0,12,26,500483.10992674873,8042.759913174848
481830102011014,20,0,0,20,1,70.7,24,28.6,123.3,507171.12932084914,8247.926696309827
481830102023041,13,0,0,13,17,57.4,15.6,28.4,101.4,531914.9982079695,1943.8092236102236
481830005013012,2,2,0,0,14,11.2,2.4,9.4,23,559136.5491454905,8397.476947596713
481830104022033,0,0,0,0,7,4.9,0,4.2,9.1,465948.8202858969,2703.5565470043543
481830006012002,4,4,0,0,19,16.1,4.8,13.4,34.3,551313.4678931962,9595.815173103987
481830015004025,1049,1008,0,41,27,867.9999999999999,1258.8,577.6,2704.4,589312.4337090264,6010.112850785938
481830015004018,0,0,0,0,6,4.2,0,3.6,7.8,587543.0149649857,5943.174263812336
484599501013080,0,0,0,0,15,10.5,0,9,19.5,173523.50351461335,261.68656494205345
481830102024005,16,0,0,16,20,70,19.2,34.4,123.6,551839.25072066125,3297.491524134464
484019505014029,0,0,0,0,2,1.4,0,1.2,2.6,189023.0451456622,349.8544323120315
484019508004023,0,0,0,0,6,4.2,0,3.6,7.8,114267.11346641615,3496.1846703281844
484019505022028,3,3,0,0,75,54.6,3.6,46.5,104.7,102209.00073561576,104.02127884721597
484019502003017,0,0,0,0,16,11.2,0,9.6,20.8,160435.35364544348,20.76838395709892
484019502003025,0,0,0,0,1,0.7,0,0.6,1.3,355842.1302671933,53.50842320639903
484019511003044,0,0,0,0,1,0.7,0,0.6,1.3,8879.610940150707,1.1303100863601698
481830015001014,0,0,0,0,17,11.9,0,10.2,22.1,559600.6794288259,7331.520468915772
481830102022007,0,0,0,0,5,3.5,0,3,6.5,485643.6242653677,173.17633836646817
481830010001041,21,21,0,0,2,16.1,25.2,11.7,53,578861.1376001856,39924.56285193354
484019512001004,0,0,0,0,1,0.7,0,0.6,1.3,33890.733340690145,17.578993156343664
482030202012027,0,0,0,0,2,1.4,0,1.2,2.6,259360.89723201565,25.638798048318954
482030204013011,0,0,0,0,1,0.7,0,0.6,1.3,409909.2187998509,786.6895883406104
482030206052006,6,6,0,0,15,14.7,7.2,12,33.9,532709.7583423748,79.78652522306254
481830011004066,2443,480,0,1963,3,7208.6,2931.6,2990,13130.2,532728.8327346202,15335.058965996643
481830011004059,0,0,0,0,15,10.5,0,9,19.5,581620.88596226,5203.977639120578
481830009003028,0,0,0,0,41,28.7,0,24.6,53.3,574596.3967517797,5242.339481097155
484019512001038,0,0,0,0,1,0.7,0,0.6,1.3,33682.136996279696,16.47277716200037
484019503001019,0,0,0,0,6,4.2,0,3.6,7.8,378585.3821600796,71.9835585502334
484019504002055,0,0,0,0,3,2.1,0,1.8,3.9,143515.5435142406,254.78889003667803
484019505021020,1,1,0,0,8,6.3,1.2,5.3,12.8,127706.55543185513,70.96098955678102
484019510002003,0,0,0,0,4,2.8,0,2.4,5.2,61310.50918581463,4.999993543379555
482030203013018,0,0,0,0,6,4.2,0,3.6,7.8,213108.44784037914,2421.0958315112384
482030205023010,13,13,0,0,3,11.2,15.6,8.3,35.1,112602.64449970343,187.12886881463177
484599501022030,0,0,0,0,2,1.4,0,1.2,2.6,170269.33143807383,12.382489431906706
482030205025005,0,0,0,0,26,18.2,0,15.6,33.8,260371.91882731995,16638.460731815536
482030202021064,0,0,0,0,33,23.1,0,19.8,42.9,236291.90698147652,86.256528625949
484599504003049,0,0,0,0,15,10.5,0,9,19.5,290220.943739235,16439.54871893075
484019506001084,0,0,0,0,4,2.8,0,2.4,5.2,27790.161037441765,24.45217098452035
484019505022012,0,0,0,0,1,0.7,0,0.6,1.3,124334.36496292296,3.2862179535215947
484019507001032,0,0,0,0,12,8.4,0,7.2,15.6,167259.61022157688,11869.71833709309
484019508004000,0,0,0,0,6,4.2,0,3.6,7.8,134927.29082055422,10477.410221020522
484019510001032,0,0,0,0,2,1.4,0,1.2,2.6,90676.73019073771,13.989314867607863
484599504002018,0,0,0,0,6,4.2,0,3.6,7.8,195264.44110741347,5962.744427901512
484599504002011,0,0,0,0,2,1.4,0,1.2,2.6,236295.3855324364,14550.926662970853
482030202012047,0,0,0,0,28,19.6,0,16.8,36.4,81324.27577677392,37.26051356616566
482030201043000,0,0,0,0,7,4.9,0,4.2,9.1,86780.94184920621,10.056057187424381
482030202021054,0,0,0,0,5,3.5,0,3,6.5,208957.8941401938,87.22935130151184
482030205013006,1,0,0,1,11,11.2,1.2,8,20.4,216122.26967996938,19153.47550673808
482030205011001,10,0,6,4,2,65.8,12,35,112.8,279548.83239248383,19856.085738013517
482030205022012,0,0,0,0,23,16.1,0,13.8,29.9,240425.02544759886,4135.219261560729
482030205022025,3,3,0,0,17,13.999999999999998,3.6,11.7,29.3,209090.01004810556,3530.3100407976954
482030202021038,1,0,1,0,9,14.7,1.2,10.1,26,149329.2707068652,84.44272865823001
482030202011060,0,0,0,0,1,0.7,0,0.6,1.3,178086.21752576213,23.607625975083902
482030203013004,0,0,0,0,30,21,0,18,39,167690.87805246626,1463.7354588173703
482030206041031,0,0,0,0,2,1.4,0,1.2,2.6,136861.86382470556,3.3411281205898034
482030204025012,0,0,0,0,24,16.8,0,14.4,31.2,280115.49742480577,5129.458048100555
482030204014035,0,0,0,0,5,3.5,0,3,6.5,296804.42152228986,22909.40915922519
482030204024013,0,0,0,0,6,4.2,0,3.6,7.8,266182.4576360702,17169.606040908373
482030202021046,0,0,0,0,3,2.1,0,1.8,3.9,89361.06601460106,10.969632347968261
482030205014018,1,0,0,1,14,13.3,1.2,9.8,24.3,150268.47786491868,3856.2328956316196
482030201041048,0,0,0,0,10,7,0,6,13,82091.36092038517,12.999176888682365
482030201063041,0,0,0,0,5,3.5,0,3,6.5,78700.98316429406,1918.2926582526072
482030206032027,0,0,0,0,43,30.1,0,25.8,55.9,566686.3203836252,1776.5334779569453
482030204012013,0,0,0,0,10,7,0,6,13,260260.26517754688,4751.322930777766
484019501011053,0,0,0,0,28,19.6,0,16.8,36.4,193633.81590603603,411.5436450209694
484019506002131,0,0,0,0,5,3.5,0,3,6.5,3238.880738849306,6.000820525462536
484019508002043,0,0,0,0,1,0.7,0,0.6,1.3,148151.00961115916,1177.5872721422197
484019504003024,0,0,0,0,7,4.9,0,4.2,9.1,131781.61307704702,3538.632017671288
484599507003028,0,0,0,0,3,2.1,0,1.8,3.9,442740.4096132218,62.69480953118344
484599506002023,0,0,0,0,9,6.3,0,5.4,11.7,443620.36253222177,1219.4061148664434
482030206042049,16,0,0,16,40,84,19.2,46.4,149.6,426633.0120174789,148.98532347390744
482030202022062,0,0,0,0,3,2.1,0,1.8,3.9,82971.08292311608,3.0586194695374416
482030201041061,0,0,0,0,3,2.1,0,1.8,3.9,98583.76937185743,232.16554881704505
482030201062063,0,0,0,0,87,60.9,0,52.2,113.1,73121.50566225623,1323.9989234674479
482030206052043,0,0,0,0,2,1.4,0,1.2,2.6,570762.1083964241,3566.937993718418
484599506003028,0,0,0,0,4,2.8,0,2.4,5.2,432159.66225009446,1057.1684827631198
484599507005017,0,0,0,0,11,7.7,0,6.6,14.3,474144.2767629994,111.54973631571713
484599505022026,0,0,0,0,2,1.4,0,1.2,2.6,108756.43809097802,576.583384017078
484599507004014,17,17,0,0,8,17.5,20.4,13.3,51.2,314217.6430674637,198.9159123506853
484599503022004,10,0,0,10,1,35.7,12,14.6,62.3,269601.2072235293,4078.9618866570154
