id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
480050010021029,0,0,0,0,13,9.1,0,7.8,16.9,236397.21967798957,4830.590698069972
480050007003004,0,0,0,0,7,4.9,0,4.2,9.1,252255.54872377156,17665.01609154053
480050004004054,0,0,0,0,6,4.2,0,3.6,7.8,251780.59431282635,30773.59952791099
480050005002064,0,0,0,0,7,4.9,0,4.2,9.1,251224.6568683952,4146.28157246984
480050003012003,0,0,0,0,4,2.8,0,2.4,5.2,248830.82375060464,325.83350461622723
480050005004016,0,0,0,0,4,2.8,0,2.4,5.2,250533.83685154413,3887.9037885522507
480050006002028,0,0,0,0,6,4.2,0,3.6,7.8,252190.08688269526,26828.48024703218
480050010021032,0,0,0,0,1,0.7,0,0.6,1.3,238078.77839270196,4526.7515649498855
480050005002075,0,0,0,0,3,2.1,0,1.8,3.9,249387.82103161665,1850.0517974937593
480050002012008,0,0,0,0,1,0.7,0,0.6,1.3,247968.02073294044,375.5422688146932
480050001032005,0,0,0,0,3,2.1,0,1.8,3.9,241811.65519132264,168.25577340126367
480050012004010,0,0,0,0,4,2.8,0,2.4,5.2,7446.758282801611,156.14439050650319
480050012003017,0,0,0,0,9,6.3,0,5.4,11.7,17465.86120243714,44.37565712000679
480050009042027,13,2,0,11,7,44.8,15.6,20.6,81,251948.38874728928,6416.368514979733
480050006002004,0,0,0,0,26,18.2,0,15.6,33.8,250411.85794644768,6818.902787166793
480050003011013,0,0,0,0,6,4.2,0,3.6,7.8,246721.78406415659,572.7751914180401
480050009022005,0,0,0,0,28,19.6,0,16.8,36.4,249098.8817402887,8846.987793999178
480050010023018,0,0,0,0,12,8.4,0,7.2,15.6,243516.46481485292,109.90442257236384
480050006001048,0,0,0,0,17,11.9,0,10.2,22.1,251554.18226689624,10394.886299215304
480050007003041,9,0,0,9,1,32.2,10.8,13.2,56.2,252564.177978273,42588.33590287561
480050005003038,0,0,0,0,9,6.3,0,5.4,11.7,251047.4690499712,13291.491408268186
