id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
050279503012045,0,0,0,0,2,1.4,0,1.2,2.6,1678.9917763965277,2.0115402874257313
050279501002056,0,0,0,0,2,1.4,0,1.2,2.6,45934.96086553719,37.236170887012534
050279503022019,0,0,0,0,4,2.8,0,2.4,5.2,35529.2711622999,26.6424242461215
050279502001022,0,0,0,0,11,7.7,0,6.6,14.3,50558.52696363582,787.6384937685175
050279503021017,0,0,0,0,9,6.3,0,5.4,11.7,40036.354058353136,10.99689412411991
050279502003087,0,0,0,0,13,9.1,0,7.8,16.9,47110.912640374634,1023.7723196474677
050279502002078,0,0,0,0,19,13.3,0,11.4,24.7,46445.70234402427,453.6921612020376
050279502001043,0,0,0,0,1,0.7,0,0.6,1.3,48445.296050236495,148.03810221460714
050279505001019,31,22,0,9,7,51.8,37.2,27.8,116.8,51066.8967679834,8935.187764183449
050279505001060,0,0,0,0,6,4.2,0,3.6,7.8,51396.96323437219,15118.856584528305
050279503012002,0,0,0,0,8,5.6,0,4.8,10.4,20762.403482915764,10.024173735966569
050279505002024,0,0,0,0,31,21.7,0,18.6,40.3,50760.2547683245,2154.7699519822972
050279501003010,0,0,0,0,1,0.7,0,0.6,1.3,41861.03097603781,4.766017411477225
050279502004013,0,0,0,0,3,2.1,0,1.8,3.9,26446.77022833756,35.6189188730334
050279502003036,0,0,0,0,44,30.8,0,26.4,57.2,46669.427694118174,871.163646199955
050279503021070,0,0,0,0,1,0.7,0,0.6,1.3,46943.739507625294,630.5479777157709
050279503022078,0,0,0,0,1,0.7,0,0.6,1.3,661.489030511006,0.9986795251929188
050279502002092,0,0,0,0,1,0.7,0,0.6,1.3,49826.33798362464,19.450112680542208
050279502002068,0,0,0,0,8,5.6,0,4.8,10.4,47577.415341502914,1133.9308638090486
050279501002013,10,8,0,2,89,74.9,12,60.2,147.1,47956.644301362496,218.81021520900947
050279504011012,0,0,0,0,6,4.2,0,3.6,7.8,50493.38025782482,10243.73286550903
050279503021044,0,0,0,0,5,3.5,0,3,6.5,49673.26513024087,82.84003487083724
050279501004022,0,0,0,0,4,2.8,0,2.4,5.2,50702.66887330002,484.4115503850824
050279501001030,3,3,0,0,8,7.7,3.6,6.3,17.6,3477.3156287746874,25.835633587797695
050279504021000,5,0,0,5,27,36.4,6,23.2,65.6,50739.785671581616,1533.390646852932
050279503022104,0,0,0,0,1,0.7,0,0.6,1.3,19155.097331826164,1253.682404808007
050279502001046,10,0,10,0,8,89.6,12,51.8,153.4,50373.9658098549,1208.7804144079241
050279504011024,1,0,0,1,17,15.4,1.2,11.6,28.2,50501.21410502037,7761.899467602973
050279501003041,0,0,0,0,39,27.3,0,23.4,50.7,16766.899575484018,49.99891548038113
050279501003062,0,0,0,0,2,1.4,0,1.2,2.6,334.36164073209676,1.985390773526402
050279501004051,0,0,0,0,3,2.1,0,1.8,3.9,26950.71597527285,4.617608212452633
050279504011054,0,0,0,0,6,4.2,0,3.6,7.8,50752.45999999248,16128.37488631974
050279501002022,30,1,29,0,11,252.00000000000003,36,143.4,431.4,48243.47909570475,438.05213595447583
050279504022042,0,0,0,0,2,1.4,0,1.2,2.6,51352.52312663812,16972.291107291327
050279501001051,0,0,0,0,4,2.8,0,2.4,5.2,2459.123312256314,5.08121405939904
050279502002003,0,0,0,0,1,0.7,0,0.6,1.3,46838.08658067201,78.89418215206335
050279502002111,0,0,0,0,3,2.1,0,1.8,3.9,48961.34350964739,316.6149732687857
050279502003053,0,0,0,0,3,2.1,0,1.8,3.9,9908.934547650393,2.9939995961881305
050279503021005,0,0,0,0,16,11.2,0,9.6,20.8,28872.33979800738,19.9186310540123
050279502002034,0,0,0,0,6,4.2,0,3.6,7.8,48165.263282100284,1240.090668841424
050279505001028,0,0,0,0,7,4.9,0,4.2,9.1,50649.166325162885,6554.87871681456
050279501003067,2,2,0,0,7,6.3,2.4,5.2,13.9,88.22614116057466,12.999668085083973
050279505001027,0,0,0,0,13,9.1,0,7.8,16.9,50945.0091111607,15221.37733193294
050279502001048,48,4,43,1,4,370.3,57.6,207.9,635.8,49632.85015093741,1017.217579065883
050279503022076,0,0,0,0,3,2.1,0,1.8,3.9,23645.968920604653,5.588160569206618
050279501001043,0,0,0,0,13,9.1,0,7.8,16.9,16759.91224024841,16.27354943109712
050279501002014,2,0,0,2,22,22.4,2.4,16,40.8,49255.013588602436,272.2738156783679
050279505001014,0,0,0,0,10,7,0,6,13,50998.68913697568,9105.162067537454
050279505001030,0,0,0,0,13,9.1,0,7.8,16.9,50884.45759646492,15978.198310935783
050279504012026,0,0,0,0,9,6.3,0,5.4,11.7,50579.831177492735,4818.9808569089555
