id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
280750011023007,0,0,0,0,17,11.9,0,10.2,22.1,245517.4766077685,4472.081855702925
280750106013042,0,0,0,0,15,10.5,0,9,19.5,26758.16618798376,18.999982318870895
280750010002011,0,0,0,0,9,6.3,0,5.4,11.7,248269.9214600785,10539.031195343752
280750011014003,0,0,0,0,9,6.3,0,5.4,11.7,247666.73118504198,4968.769930748438
280750102031045,11,11,0,0,15,18.2,13.2,14.5,45.9,159285.6279002266,97.24542451055096
280750105021011,16,0,15,1,16,140.7,19.2,81.5,241.4,247067.48489580574,1858.871981962797
280750106013026,0,0,0,0,16,11.2,0,9.6,20.8,128304.86900005212,25.973257294963567
280750006002005,0,0,0,0,3,2.1,0,1.8,3.9,253336.63403787278,33862.488026763356
280750107001062,0,0,0,0,7,4.9,0,4.2,9.1,255198.54728812198,75642.87535888805
280750007004046,0,0,0,0,15,10.5,0,9,19.5,250886.8589902016,14745.324232033689
280750009002014,0,0,0,0,10,7,0,6,13,247813.57644268803,4407.802506037042
280750004011035,3,0,0,3,5,14,3.6,7.2,24.8,252904.33926670474,75013.59721815225
280750004011036,19,0,0,19,4,69.3,22.8,28.999999999999996,121.1,253580.73230415443,75152.24419677506
280750106022044,6,6,0,0,21,18.9,7.2,15.6,41.7,217536.68332328857,55.13086531043581
280750002001005,0,0,0,0,8,5.6,0,4.8,10.4,251177.48091696037,38631.09795723569
280750106021000,0,0,0,0,3,2.1,0,1.8,3.9,89330.43088884617,3.5343112648333377
280750106011000,582,0,107,475,33,2584.4,698.4,1187.7,4470.5,241584.12060116985,4479.3824921996
280239503003040,0,0,0,0,1,0.7,0,0.6,1.3,16140.246845639243,443.80083324924084
280239503003039,0,0,0,0,2,1.4,0,1.2,2.6,15287.886538832092,464.2532919804527
280239502012067,12,12,0,0,15,18.9,14.4,15,48.3,148412.85647540528,55.20304723903694
280239502012006,0,0,0,0,5,3.5,0,3,6.5,195271.7681011603,19.019047892640067
280750002003059,3,0,3,0,1,25.9,3.6,14.7,44.2,254197.08903832745,62964.60587619705
280750007002011,154,150,0,4,24,135.8,184.8,95,415.6,244759.92935936604,10352.977328545256
