id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
401155742001022,0,0,0,0,4,2.8,0,2.4,5.2,67071.84480520397,4844.60551856181
401155749001004,0,0,0,0,10,7,0,6,13,7382.571138375362,17.259118959531914
401155747001123,0,0,0,0,6,4.2,0,3.6,7.8,61625.45855170204,28.210995202901287
401155748003047,3,0,0,3,3,12.6,3.6,5.999999999999999,22.2,60073.20742352895,1852.0651960443768
401155743001029,0,0,0,0,14,9.8,0,8.4,18.2,66411.88378431073,8382.122645596488
401155746002016,0,0,0,0,5,3.5,0,3,6.5,67472.71896570666,17711.835360881625
401155741004039,0,0,0,0,2,1.4,0,1.2,2.6,70408.23055869066,1336.6059438849024
401155742001047,0,0,0,0,2,1.4,0,1.2,2.6,67316.67554733614,6260.479584084782
401155742003040,0,0,0,0,5,3.5,0,3,6.5,68953.70340681655,2764.694208335462
401155745002009,22,0,12,10,2,137.2,26.4,71.6,235.2,67993.96449440907,20192.38558446722
401155748002041,0,0,0,0,6,4.2,0,3.6,7.8,47247.19288172288,919.4834953800275
401155748002079,0,0,0,0,5,3.5,0,3,6.5,46575.987559529385,852.3639556373914
401155741004024,0,0,0,0,9,6.3,0,5.4,11.7,71505.58077632425,1449.06761155251
401155742001062,0,0,0,0,2,1.4,0,1.2,2.6,67308.71389375416,7249.722649384376
401155741004046,0,0,0,0,25,17.5,0,15,32.5,71894.78911460661,1469.3197836471163
401155747003004,0,0,0,0,6,4.2,0,3.6,7.8,75470.87744081923,76.453364762936
401155747003070,0,0,0,0,7,4.9,0,4.2,9.1,51462.652861702176,42.45665410736355
401155749002029,0,0,0,0,2,1.4,0,1.2,2.6,55579.41536770454,5.0120539397429535
401155742003025,0,0,0,0,5,3.5,0,3,6.5,68563.11868795418,2412.2446517804015
401155742001058,0,0,0,0,3,2.1,0,1.8,3.9,68103.97440779384,7715.301524073155
401155741003022,0,0,0,0,3,2.1,0,1.8,3.9,56943.536287518924,6.0615085617352324
401155741005050,0,0,0,0,1,0.7,0,0.6,1.3,63805.45105210923,137.8457442560211
401155749003031,0,0,0,0,10,7,0,6,13,45029.86499184371,46.990613585133
401155742001004,0,0,0,0,9,6.3,0,5.4,11.7,57439.006539675385,11.353542028637293
401155747001129,0,0,0,0,3,2.1,0,1.8,3.9,66193.98259155275,10.575000835840708
401155749002025,0,0,0,0,9,6.3,0,5.4,11.7,31780.296959373136,22.11213859033098
401155743001005,0,0,0,0,4,2.8,0,2.4,5.2,62071.80055085634,71.96728307578441
401155748002073,0,0,0,0,6,4.2,0,3.6,7.8,47676.298167397836,958.4080267901159
401155743001071,0,0,0,0,10,7,0,6,13,65843.4781466048,9957.483642607624
401155742003049,0,0,0,0,11,7.7,0,6.6,14.3,68613.7303581223,2760.0108752020938
401155746001034,0,0,0,0,3,2.1,0,1.8,3.9,68983.30507004075,19070.891770378203
401155743002044,0,0,0,0,4,2.8,0,2.4,5.2,67223.1347298565,10643.348510713602
401155745003002,0,0,0,0,5,3.5,0,3,6.5,66722.85282076354,18709.049531893234
401155743003013,0,0,0,0,15,10.5,0,9,19.5,66295.53143592631,12871.873614228314
401155747003077,0,0,0,0,3,2.1,0,1.8,3.9,70430.29153473099,91.86528844452943
401155741002081,7,0,7,0,1,59.5,8.4,33.5,101.4,54890.06988800949,119.11904170303228
401155743003011,0,0,0,0,10,7,0,6,13,66919.22530665733,13515.126407992497
401155741003067,0,0,0,0,8,5.6,0,4.8,10.4,41045.762595429325,16.07820459566484
401155747001035,0,0,0,0,3,2.1,0,1.8,3.9,42555.71969931403,2.995123160200259
401155748003038,0,0,0,0,7,4.9,0,4.2,9.1,60390.4180742959,1896.0673218425095
401155748003066,0,0,0,0,9,6.3,0,5.4,11.7,60606.90762292374,1877.5820380898215
401155749003047,0,0,0,0,52,36.4,0,31.2,67.6,32485.052381653066,66.99934871057988
401155745001030,0,0,0,0,10,7,0,6,13,67409.29766881773,19998.318626131957
401155748003045,0,0,0,0,4,2.8,0,2.4,5.2,60361.611916193695,1865.2141964638708
401155746001010,0,0,0,0,1,0.7,0,0.6,1.3,68514.91975981265,19164.302209649613
401155743002034,0,0,0,0,10,7,0,6,13,67482.32666198388,8958.774168401209
401155743002018,0,0,0,0,5,3.5,0,3,6.5,67537.73897903568,8460.265577814283
401155743001052,0,0,0,0,4,2.8,0,2.4,5.2,66455.85292309176,9320.15280334193
401155741001052,0,0,0,0,8,5.6,0,4.8,10.4,61704.7831858428,15.973018212650546
401155748002064,0,0,0,0,2,1.4,0,1.2,2.6,51361.01151902911,920.1639241822103
401155745002015,0,0,0,0,17,11.9,0,10.2,22.1,67189.62379834562,16433.555771205447
401155742001065,0,0,0,0,4,2.8,0,2.4,5.2,67794.44479686911,7658.477549021468
401155744003020,0,0,0,0,2,1.4,0,1.2,2.6,66510.46059398008,11280.274419527836
401155744003028,0,0,0,0,8,5.6,0,4.8,10.4,66934.4084370929,18055.091591361586
401155742001038,0,0,0,0,2,1.4,0,1.2,2.6,67979.85434183109,6478.424046759971
401155741003060,4,4,0,0,3,4.9,4.8,3.8,13.5,58542.62564813881,12.997873765100298
401155749003044,0,0,0,0,1,0.7,0,0.6,1.3,11365.403606869624,2.9982547105859085
401155744003011,0,0,0,0,13,9.1,0,7.8,16.9,65016.30105313947,3117.3758579746304
401155747001021,0,0,0,0,10,7,0,6,13,49959.09534283603,13.415148959379948
401155747001089,0,0,0,0,6,4.2,0,3.6,7.8,57430.223707996476,9.961300751579145
401155747003078,0,0,0,0,7,4.9,0,4.2,9.1,70619.39421146922,94.12423983337207
401155747001046,0,0,0,0,1,0.7,0,0.6,1.3,32863.16140269875,2.977191770451619
401155745001064,0,0,0,0,12,8.4,0,7.2,15.6,67862.34521584533,22322.51159584632
401155748003075,0,0,0,0,7,4.9,0,4.2,9.1,60025.85888912128,1689.7667479397235
401155746004026,0,0,0,0,20,14,0,12,26,65104.714479375325,1543.1708906101908
