id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
221190321023016,0,0,0,0,5,3.5,0,3,6.5,60193.265637742574,497.2632621579177
221190318001013,0,0,0,0,17,11.9,0,10.2,22.1,61119.186125784014,1006.4183000537029
221190313001017,0,0,0,0,4,2.8,0,2.4,5.2,23297.942770797228,8322.956002333558
221190321022050,0,0,0,0,6,4.2,0,3.6,7.8,56602.27485333923,18.729103135850558
221190315013019,0,0,0,0,9,6.3,0,5.4,11.7,46342.10213116809,413.4269670418635
221190311001068,0,0,0,0,1,0.7,0,0.6,1.3,17679.833058360502,22.42154973468571
221190312002047,0,0,0,0,2,1.4,0,1.2,2.6,23379.23269764877,623.0941516941269
221190314003027,0,0,0,0,2,1.4,0,1.2,2.6,24765.262569005365,508.14764697026766
221190319002002,0,0,0,0,8,5.6,0,4.8,10.4,62532.74532148917,18728.48505212502
221190319003049,0,0,0,0,9,6.3,0,5.4,11.7,63285.87795642155,15528.209785838193
221190314002065,0,0,0,0,5,3.5,0,3,6.5,37480.71331714968,775.1180430345639
221190317003061,0,0,0,0,6,4.2,0,3.6,7.8,63125.25337770271,3693.3609300354974
221190321021024,3,3,0,0,30,23.1,3.6,19.5,46.2,33597.32550075728,46.95666491775944
221190316002028,9,9,0,0,19,19.6,10.8,15.9,46.3,60921.37474098767,350.8680949228846
221190311001017,0,0,0,0,5,3.5,0,3,6.5,8776.480458397486,6.024398564436323
221190311002070,1,1,0,0,10,7.7,1.2,6.5,15.4,827.6986602978438,14.836168731252263
221190320002042,14,3,11,0,3,96.6,16.8,55,168.4,61590.03459656402,517.2511835756281
221190313001001,0,0,0,0,5,3.5,0,3,6.5,22094.24401901397,132.92715804079927
221190312002014,0,0,0,0,13,9.1,0,7.8,16.9,23295.337783564966,496.85007218378536
221190319002015,0,0,0,0,16,11.2,0,9.6,20.8,62808.82071812069,13113.409595601921
221190318003015,0,0,0,0,14,9.8,0,8.4,18.2,62150.701189372274,9677.129526012983
221190321011139,0,0,0,0,4,2.8,0,2.4,5.2,25881.161648763307,129.48095747989794
221190321011009,0,0,0,0,26,18.2,0,15.6,33.8,62057.19465919695,114.75063057248714
221190319001005,0,0,0,0,13,9.1,0,7.8,16.9,62393.641466105364,22131.8578453492
221190318003044,0,0,0,0,6,4.2,0,3.6,7.8,63113.70262183094,16830.27603285235
221190321021046,0,0,0,0,4,2.8,0,2.4,5.2,16954.56080688366,11.208743720745758
221190319003038,0,0,0,0,8,5.6,0,4.8,10.4,63038.949468034225,17165.620942766698
221190315012018,0,0,0,0,8,5.6,0,4.8,10.4,2882.0648260729886,21.679166529868354
221190316002001,0,0,0,0,7,4.9,0,4.2,9.1,49743.58751296779,9.046266159209184
221190321022004,0,0,0,0,2,1.4,0,1.2,2.6,60786.75188266074,50.60301740819696
221190321022072,0,0,0,0,6,4.2,0,3.6,7.8,59783.260243595614,14.317822001213472
221190316002060,0,0,0,0,10,7,0,6,13,60162.93653342284,121.71744934254758
221190315022047,7,7,0,0,1,5.6,8.4,4.1,18.1,62359.90846317575,1094.531602671045
221190321011044,0,0,0,0,9,6.3,0,5.4,11.7,58885.833522342655,226.81844672103978
221190313001024,0,0,0,0,8,5.6,0,4.8,10.4,22556.153566279347,2011.3174855457203
221190312001005,0,0,0,0,12,8.4,0,7.2,15.6,22228.867478615062,57.966506310721414
221190311001053,0,0,0,0,6,4.2,0,3.6,7.8,19918.427209191555,36.3600995335963
221190316002075,0,0,0,0,2,1.4,0,1.2,2.6,60441.19680399315,225.70281018008782
221190313003041,0,0,0,0,21,14.7,0,12.6,27.3,23241.219639828636,9240.100075748987
221190314001044,0,0,0,0,1,0.7,0,0.6,1.3,26432.99899279795,881.737141455845
221190320003004,9,9,0,0,19,19.6,10.8,15.9,46.3,60434.20308118552,2288.7186967722537
221190316002024,0,0,0,0,12,8.4,0,7.2,15.6,59235.55180635543,51.43483996151123
221190321011097,295,295,0,0,14,216.3,354,155.9,726.2,57862.9701466391,733.5819169088803
221190315021016,0,0,0,0,4,2.8,0,2.4,5.2,46529.00320932029,31.615846354896327
221190321022040,19,19,0,0,3,15.4,22.8,11.3,49.5,31809.23322423263,48.97893211779209
221190311001078,8,8,0,0,3,7.7,9.6,5.8,23.1,21242.48527032987,51.04309964197677
221190313003050,0,0,0,0,6,4.2,0,3.6,7.8,23380.842521837665,8010.97299469244
221190312002015,0,0,0,0,2,1.4,0,1.2,2.6,23330.340115957362,531.7872538856498
221190319004010,0,0,0,0,15,10.5,0,9,19.5,62396.1525979981,17551.144401277685
221190319002032,0,0,0,0,22,15.4,0,13.2,28.6,63232.5319063162,4117.501701187008
221190321021019,0,0,0,0,9,6.3,0,5.4,11.7,39610.80706661149,30.5878839618522
221190321021000,0,0,0,0,6,4.2,0,3.6,7.8,36409.66606984724,7.211109736872219
221190312001041,0,0,0,0,2,1.4,0,1.2,2.6,23252.75437680837,169.59867072231467
221190321022074,0,0,0,0,5,3.5,0,3,6.5,37791.713666222946,5.999177774489443
221190315013005,0,0,0,0,10,7,0,6,13,48773.256110259186,235.05472484446136
221190321011124,0,0,0,0,6,4.2,0,3.6,7.8,41714.64770539933,7.025988628566482
221190319003001,0,0,0,0,3,2.1,0,1.8,3.9,62898.74035115687,23116.542773777328
221190312001047,0,0,0,0,2,1.4,0,1.2,2.6,23335.01081238608,689.6048163709991
221190320003001,0,0,0,0,13,9.1,0,7.8,16.9,59933.76507453983,1385.1284583901154
221190319003000,16,0,0,16,19,69.3,19.2,33.8,122.3,62577.067500884856,21298.463246587933
221190315022015,29,28,1,0,33,51.1,34.8,38.5,124.4,60393.22948884008,222.74898380626243
221190314002023,0,0,0,0,11,7.7,0,6.6,14.3,23661.31992493405,23.974671293363986
221190313005036,0,0,0,0,11,7.7,0,6.6,14.3,23104.332608821638,8115.188156103301
221190321023037,0,0,0,0,25,17.5,0,15,32.5,58036.01188636861,163.8641084952987
221190316002086,0,0,0,0,4,2.8,0,2.4,5.2,59541.75297053979,403.9293774747197
221190321023003,0,0,0,0,45,31.5,0,27,58.5,52151.02890864913,59.665863153089646
221190311002007,0,0,0,0,5,3.5,0,3,6.5,16152.614734284247,22.80921825886928
221190313004008,0,0,0,0,1,0.7,0,0.6,1.3,23417.68913943331,7438.483465652721
221190317002017,0,0,0,0,4,2.8,0,2.4,5.2,63756.02995774378,7468.946806323766
221190311001048,23,23,0,0,9,22.4,27.6,16.9,66.9,17089.4706475495,75.273282514123
221190312001022,0,0,0,0,2,1.4,0,1.2,2.6,23475.27186119406,583.5270437428397
221190320004018,0,0,0,0,3,2.1,0,1.8,3.9,62559.09211385084,18611.823390586396
221190320002015,0,0,0,0,3,2.1,0,1.8,3.9,61020.27441193644,4829.384893263841
221190313003008,0,0,0,0,42,29.4,0,25.2,54.6,23009.48582355082,5207.746864333807
221190311002013,0,0,0,0,5,3.5,0,3,6.5,2448.0144812131275,7.017168169654904
221190316002033,16,16,0,0,10,18.2,19.2,14,51.4,60464.295202931,339.41058702628555
221190316002036,0,0,0,0,8,5.6,0,4.8,10.4,58561.455083468376,129.96256351395442
221190311002063,0,0,0,0,1,0.7,0,0.6,1.3,7420.349326862714,0.9999768146677169
221190316002025,0,0,0,0,1,0.7,0,0.6,1.3,60039.64534565319,226.81787644223797
221190321022013,0,0,0,0,11,7.7,0,6.6,14.3,60022.11014074696,76.26797307065523
221190321023032,0,0,0,0,3,2.1,0,1.8,3.9,59057.52110453488,91.32024062187696
221190321011136,0,0,0,0,7,4.9,0,4.2,9.1,21102.20589587857,87.83555142972406
