id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
540610115002018,0,0,0,0,9,6.3,0,5.4,11.7,376900.443154547,75.07875998573688
540610101033005,14,0,10,4,104,170.8,16.8,115,302.6,434274.3171233646,56714.25370405349
540610109012019,0,0,0,0,6,4.2,0,3.6,7.8,438540.13030239666,33485.17462010181
540610118062012,0,0,0,0,5,3.5,0,3,6.5,435088.85599665204,5021.529640539331
540610116011004,0,0,0,0,3,2.1,0,1.8,3.9,427436.540812375,3007.900482002935
540610102022012,0,0,0,0,62,43.4,0,37.2,80.6,434471.4355469793,27838.799016754696
540610109024051,0,0,0,0,5,3.5,0,3,6.5,443333.8260483343,9427.98425276773
540610120001025,0,0,0,0,13,9.1,0,7.8,16.9,432734.7680695532,101413.39336908955
540610118052000,10,6,2,2,38,54.6,12,38,104.6,425122.5718088688,356.3225358817301
540610116012001,0,0,0,0,9,6.3,0,5.4,11.7,422876.35352337186,1303.2011006901573
540610108004026,0,0,0,0,1,0.7,0,0.6,1.3,436230.746672954,3800.6039551005456
540610104004041,0,0,0,0,6,4.2,0,3.6,7.8,432206.31273557304,11338.613823076652
540610108004016,0,0,0,0,16,11.2,0,9.6,20.8,438711.2908021459,5654.8116279045325
540610116021012,0,0,0,0,2,1.4,0,1.2,2.6,432160.15064504073,1096.653195154836
540610107002008,0,0,0,0,1,0.7,0,0.6,1.3,441153.30928176024,10270.371128711093
540610101043013,0,0,0,0,1,0.7,0,0.6,1.3,435755.1897374454,17257.951040407068
540610102033001,0,0,0,0,11,7.7,0,6.6,14.3,434219.8232103499,119763.29040238209
540779638021046,0,0,0,0,11,7.7,0,6.6,14.3,34364.96595975487,38.69086198240889
540610107003007,0,0,0,0,37,25.9,0,22.2,48.1,440131.069503603,33845.40756907081
540610111002032,0,0,0,0,6,4.2,0,3.6,7.8,437561.29500286526,25511.88907263998
540779644003050,0,0,0,0,3,2.1,0,1.8,3.9,51592.692963566675,281.7999114664521
540610118054014,3,3,0,0,29,22.4,3.6,18.9,44.9,438384.9591619949,2943.5146252881577
540779641021006,0,0,0,0,20,14,0,12,26,32758.412612715292,2336.614617146939
540779642003082,0,0,0,0,1,0.7,0,0.6,1.3,27331.070563602352,539.5091422513914
540779640003017,1,1,0,0,36,25.9,1.2,22.1,49.2,78167.68985066914,597.6160584339057
540779645003063,0,0,0,0,1,0.7,0,0.6,1.3,6697.753683010929,12.5722610923261
540779638011029,0,0,0,0,2,1.4,0,1.2,2.6,254560.35130214164,263.7240936897834
540779642002077,0,0,0,0,1,0.7,0,0.6,1.3,1378.6924086590493,1.0027986948046645
540779642004049,0,0,0,0,18,12.6,0,10.8,23.4,937.6433172624538,22.97125832895287
540779639004032,0,0,0,0,11,7.7,0,6.6,14.3,203621.31585365284,1092.9732248640926
540779642002018,0,0,0,0,4,2.8,0,2.4,5.2,8182.957591088262,31.236058872588433
540779638023058,0,0,0,0,5,3.5,0,3,6.5,96036.59433505862,398.45402919514623
540779643005024,0,0,0,0,4,2.8,0,2.4,5.2,260131.15427074226,1668.6066027400418
540610113005031,0,0,0,0,2,1.4,0,1.2,2.6,285212.8336813833,50.739431433853724
540610111002023,14,0,0,14,9,55.3,16.8,24.999999999999996,97.1,437699.90861242707,30726.148858650457
540779640002017,0,0,0,0,12,8.4,0,7.2,15.6,45683.68617979782,57.77724316267597
540779645003022,6,6,0,0,7,9.1,7.2,7.2,23.5,27193.60848486626,93.00642560810884
540779641021000,0,0,0,0,11,7.7,0,6.6,14.3,12462.83323639173,24.827404703977468
540779639004030,9,3,6,0,27,71.4,10.8,45.9,128.1,124511.37947249846,190.5552275033788
540779642004042,0,0,0,0,20,14,0,12,26,813.5181806020275,26.36297653330669
540779642002051,0,0,0,0,2,1.4,0,1.2,2.6,4917.610410150971,14.230065958444198
540610116021008,0,0,0,0,12,8.4,0,7.2,15.6,436660.6103605582,4840.288423415533
540610106012007,0,0,0,0,7,4.9,0,4.2,9.1,432843.8423493063,35258.15522002019
540610101031002,6,0,0,6,32,43.4,7.2,27.6,78.2,436718.7160766333,69591.6753218038
540610109013006,0,0,0,0,8,5.6,0,4.8,10.4,440091.5744807654,35689.75227505312
540610108002005,0,0,0,0,23,16.1,0,13.8,29.9,424786.9628908177,1308.6468902105198
540610120003009,0,0,0,0,24,16.8,0,14.4,31.2,431274.4148536281,27811.363911835237
540610104004011,84,0,38,46,33,503.3,100.8,262.8,866.9,431995.0349565217,16027.897347361808
540610104005016,0,0,0,0,9,6.3,0,5.4,11.7,431019.5100530746,16067.323445237695
540610104004002,3,0,3,0,20,39.2,3.6,26.1,68.9,430734.2223299422,14440.166341673694
540610104003008,0,0,0,0,16,11.2,0,9.6,20.8,431845.28051911533,34182.19220338879
540610102024010,1,0,0,1,15,14,1.2,10.4,25.6,434510.807828589,53820.33163131237
540610112001029,43,0,43,0,20,375.2,51.6,214.1,640.9,436037.15501857596,16533.37508512964
540610102022014,0,0,0,0,9,6.3,0,5.4,11.7,436610.5369888201,39797.561542705356
540610119002019,0,0,0,0,1,0.7,0,0.6,1.3,251115.1418851717,4.401637305418666
540610115004021,0,0,0,0,13,9.1,0,7.8,16.9,369273.5639182994,109.34513414133596
540610106013002,0,0,0,0,40,28,0,24,52,432598.1977046693,18903.683444190872
540610118062006,5,0,0,5,2,18.9,6,8.2,33.1,436616.86225692637,8098.481442029998
540610102022002,6,2,0,4,13,24.5,7.2,14.4,46.1,434624.91372038354,31642.33718012717
540610102022004,0,0,0,0,5,3.5,0,3,6.5,434592.70798520005,35028.16385444632
540610118042018,6,0,0,6,7,25.9,7.2,12.6,45.7,425048.7969203153,144.11224827805862
540610109021004,1,0,0,1,13,12.6,1.2,9.2,23,434210.40138674696,4651.982693385458
540610102041017,0,0,0,0,45,31.5,0,27,58.5,432553.09926853713,124842.41522537495
540610109011018,0,0,0,0,15,10.5,0,9,19.5,438469.5457021511,60607.81203867405
540610113001010,0,0,0,0,5,3.5,0,3,6.5,414387.2449676194,504.0929223378388
540610114005017,0,0,0,0,3,2.1,0,1.8,3.9,13443.412730687447,280.171827587749
540610104002025,21,0,0,21,19,86.8,25.2,40.8,152.8,431850.9550085738,41136.202032711786
540610114004013,0,0,0,0,1,0.7,0,0.6,1.3,907.4688926676517,0.9995534737581792
540610110004058,2,1,0,1,1,4.9,2.4,2.5,9.8,433401.7621465018,9198.252607311057
540610115003003,258,229,0,29,14,271.6,309.6,163.5,744.7,418394.000219224,820.3217741153042
540610118043004,0,0,0,0,7,4.9,0,4.2,9.1,431073.20204587316,433.0316601823779
540610113005024,0,0,0,0,3,2.1,0,1.8,3.9,225639.3565921647,22.621705343284525
540610113006014,0,0,0,0,19,13.3,0,11.4,24.7,201075.51546805774,24.390958320393906
540610102032010,23,0,0,23,13,89.6,27.6,39.99999999999999,157.2,434783.3863586536,94776.15392231518
540610109014014,0,0,0,0,4,2.8,0,2.4,5.2,440799.65634945437,10465.669282665092
540610118052026,0,0,0,0,4,2.8,0,2.4,5.2,436264.92504023976,3002.066561327158
540610101011011,0,0,0,0,4,2.8,0,2.4,5.2,439577.3165751119,31620.269196720543
540610109011014,0,0,0,0,12,8.4,0,7.2,15.6,438004.89020135236,66948.98053957558
540779638012005,0,0,0,0,2,1.4,0,1.2,2.6,38653.21528991566,22.537198329361082
540779645003036,0,0,0,0,4,2.8,0,2.4,5.2,3333.225315951951,7.538642941999626
540610111001060,0,0,0,0,4,2.8,0,2.4,5.2,438427.97861014283,34827.93681313726
540779640004009,0,0,0,0,27,18.9,0,16.2,35.1,67120.08904218482,7685.117931958439
540779644004020,2,2,0,0,25,18.9,2.4,16,37.3,40935.34561118671,72.59523498081683
540779638021123,0,0,0,0,3,2.1,0,1.8,3.9,325666.1394159846,2048.035154341102
540779641021023,0,0,0,0,3,2.1,0,1.8,3.9,34363.86252747475,2652.2444479136734
540779638021035,5,2,0,3,84,70.7,6,55.6,132.3,45226.69421348998,132.02169415182252
