id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
490111269016006,397,72,9,316,172,1352.4,476.4,623.9,2452.7,1102215.6563186012,44227.392246659634
490572101013022,7,7,0,0,16,16.1,8.4,13.1,37.6,330812.28468539164,207.83780434022214
490572104072034,26,0,26,0,8,224,31.2,127,382.2,1326715.6642160679,3880.722900635982
490572110001031,5,5,0,0,3,5.6,6,4.3,15.9,1458400.1952853673,19600.18383764928
490572018001002,14,7,2,5,1,39.9,16.8,20.5,77.2,1429697.0965224511,51890.53502905312
490572006001010,26,12,9,5,9,107.8,31.2,60.7,199.7,1285234.7346843954,15245.467287717938
490572103062037,0,0,0,0,7,4.9,0,4.2,9.1,1105881.4443079454,5500.088145502242
490572105181050,0,0,0,0,8,5.6,0,4.8,10.4,1299083.85804026,1096.3890139324637
490572105182044,4,1,0,3,23,27.3,4.8,18.5,50.6,1384384.5644214982,12363.93743415977
490572105143017,0,0,0,0,5,3.5,0,3,6.5,1321839.8538859717,7140.623413496418
490572101012002,0,0,0,0,33,23.1,0,19.8,42.9,306405.0211541388,97.17641353895334
490572105143004,0,0,0,0,46,32.2,0,27.6,59.8,1355900.0615267884,6221.586579077283
490572104041012,0,0,0,0,23,16.1,0,13.8,29.9,1210748.110611543,651.5035366838035
490572106001010,3,0,0,3,29,30.8,3.6,21.6,56,1377656.5640482681,13862.54852443862
490572103062007,0,0,0,0,10,7,0,6,13,1095844.4347088044,7354.279179876648
490572101021116,0,0,0,0,2,1.4,0,1.2,2.6,201245.21790361832,15.166268212612323
490111262032012,4,0,0,4,25,31.5,4.8,20.6,56.9,1427365.1660581054,4771.352022231986
490572104081020,2,2,0,0,18,14,2.4,11.8,28.2,489420.0191476596,51.892636670358094
490111262041025,16,2,0,14,44,81.2,19.2,47,147.4,1351287.7837200372,21838.788799319875
490111258093018,225,0,1,224,78,847,270,365.1,1482.1,1526436.9833130839,35400.03641684356
490111264042008,5,3,0,2,46,41.3,6,31.9,79.2,876706.0206660237,11377.51700937376
490111251022038,54,0,0,54,12,197.4,64.8,82.8,345,1409844.870176121,6675.273901913104
490111261071005,0,0,0,0,7,4.9,0,4.2,9.1,1468704.234640942,2358.0882827937044
490111251031017,0,0,0,0,27,18.9,0,16.2,35.1,1469217.356270896,4321.328672668719
490111254142009,7,5,0,2,43,40.6,8.4,31.1,80.1,1496289.6336360658,7994.43886798492
490111257013001,90,3,0,87,124,393.4,108,197.7,699.1,1526202.383882544,20875.586680918357
490111263061027,804,24,220,560,67,3871.7,964.8,1870.2,6706.7,1329825.6889229629,33295.96432885687
490111264044005,0,0,0,0,24,16.8,0,14.4,31.2,733086.6814368156,3905.42595796572
490111253071019,16,14,1,1,58,62.3,19.2,47.9,129.4,1339260.690867176,10005.839877178201
490111254091009,8,2,0,6,14,32.2,9.6,17.8,59.6,1339249.2344375988,12360.094351809083
490111260021012,0,0,0,0,17,11.9,0,10.2,22.1,1486830.0619127108,16837.727404053512
490111254151024,0,0,0,0,8,5.6,0,4.8,10.4,1394637.8272616214,3408.4267992992
490111259062013,0,0,0,0,30,21,0,18,39,1541140.1942207045,24399.26075849718
490111262031023,52,40,1,11,88,136.5,62.4,92.9,291.8,1375252.6552645147,2365.750567976885
490111262051017,1,0,0,1,16,14.7,1.2,11,26.9,1299951.106365087,1762.9901047099136
490111264044020,0,0,0,0,5,3.5,0,3,6.5,728562.3249080187,3224.285247294554
490111263061019,0,0,0,0,51,35.7,0,30.6,66.3,1267841.7388671665,30966.024867721466
490111254083013,2,0,0,2,8,12.6,2.4,7.6,22.6,1234522.412533595,2255.143879239214
490111254082003,0,0,0,0,6,4.2,0,3.6,7.8,770258.2511044275,69.4065157386978
490111261081014,4,0,0,4,10,21,4.8,11.6,37.4,1325243.7177953534,3085.859998310008
490111262032003,0,0,0,0,13,9.1,0,7.8,16.9,1383124.0416106223,4486.024786027567
