id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
400836008021087,0,0,0,0,3,2.1,0,1.8,3.9,141357.31213600587,4.863563946999164
400836007002007,0,0,0,0,1,0.7,0,0.6,1.3,106722.36418834719,406.42627812345455
400836010001021,0,0,0,0,3,2.1,0,1.8,3.9,482362.75333245227,5984.374033046035
400836007002042,0,0,0,0,1,0.7,0,0.6,1.3,314237.89463497174,2435.054953027023
400836004013026,54,15,0,39,107,221.9,64.8,126.3,413,1121969.1825660632,784.3341094492531
401091085343011,8,1,0,7,136,120.4,9.6,91.9,221.9,2699118.412226516,2234.584926033704
401091074062016,0,0,0,0,24,16.8,0,14.4,31.2,1931679.8761314834,536.0465395163219
401091072241022,0,0,0,0,6,4.2,0,3.6,7.8,3341686.605959091,20939.667193548386
401091069112009,12,0,0,12,4,44.8,14.4,19.2,78.4,2921685.3578814873,22172.473751472808
401091069031004,1,1,0,0,62,44.1,1.2,37.7,83,3034919.853316032,17855.445268194104
401091053002041,41,0,41,0,1,345.1,49.2,193.3,587.6,3776577.4704216146,17094.360895517355
401091048002007,0,0,0,0,26,18.2,0,15.6,33.8,3661930.5290773744,21415.846994031624
401091086032046,25,3,16,6,29,177.8,30,102.5,310.3,2498677.1461449107,626.4919750995081
400836001013010,3,0,0,3,19,23.8,3.6,15.6,43,371403.14380313084,5759.723982827643
400836002002034,0,0,0,0,5,3.5,0,3,6.5,361957.22011836636,3848.615581423152
401091078063025,23,11,0,12,10,56.7,27.6,28.3,112.6,3052648.049345522,24803.03377657918
401091009001009,3,1,0,2,24,24.5,3.6,17.7,45.8,3473064.9066994865,22071.96560847093
401091080112006,0,0,0,0,18,12.6,0,10.8,23.4,2241087.5272036586,4882.128869863147
401091074063022,0,0,0,0,19,13.3,0,11.4,24.7,2999645.058382784,10132.539867524734
401091043002018,0,0,0,0,12,8.4,0,7.2,15.6,3524914.2818086916,18231.147879192777
400272011031004,13,0,6,7,6,79.1,15.6,41.6,136.3,1957427.1140314562,20904.65584366891
400836006002017,27,0,0,27,1,95.2,32.4,38.4,166,112546.94478732726,1151.1303631695246
400836004022011,12,0,0,12,4,44.8,14.4,19.2,78.4,867448.8455738915,84.69892096545307
400836004012003,0,0,0,0,9,6.3,0,5.4,11.7,790524.9921848888,478.61472033000973
400836001013032,0,0,0,0,21,14.7,0,12.6,27.3,540443.2145371423,13458.826548550083
400272016023005,17,17,0,0,42,41.3,20.4,33.7,95.4,2826548.983988365,9086.591549037606
400272020055000,0,0,0,0,43,30.1,0,25.8,55.9,3254557.150105501,11474.125241327869
400272021052027,0,0,0,0,14,9.8,0,8.4,18.2,2621493.3905034736,21697.168081571243
400272016111020,0,0,0,0,22,15.4,0,13.2,28.6,2666263.033784082,8212.037506572808
400272016041003,0,0,0,0,44,30.8,0,26.4,57.2,2760211.260295915,19355.29037665905
400836007005041,0,0,0,0,3,2.1,0,1.8,3.9,6330.918234046257,105.98239876395161
400836004022055,27,0,0,27,35,119,32.4,58.8,210.2,1201105.4641489694,483.66656635551493
400272026001034,0,0,0,0,6,4.2,0,3.6,7.8,409714.1589530969,3353.3789255613724
400272012051016,0,0,0,0,13,9.1,0,7.8,16.9,1132924.5320526883,2690.279046876673
400272006023044,0,0,0,0,19,13.3,0,11.4,24.7,1326481.632356517,65156.39345143364
400819613002028,0,0,0,0,6,4.2,0,3.6,7.8,290789.64758598356,1492.3426351748387
400836008021075,0,0,0,0,7,4.9,0,4.2,9.1,457087.69794551336,92.16067791208006
400836009031045,0,0,0,0,1,0.7,0,0.6,1.3,681886.3792775988,28.352689483889964
400836009031028,0,0,0,0,7,4.9,0,4.2,9.1,644840.5920214542,217.49428001898656
400836006003079,0,0,0,0,2,1.4,0,1.2,2.6,116478.93491611767,4.12376556863957
400836006001099,0,0,0,0,1,0.7,0,0.6,1.3,116894.30536769377,140.76058166576505
400836010003047,0,0,0,0,7,4.9,0,4.2,9.1,512059.27996028034,13696.496286112533
400272016124010,0,0,0,0,25,17.5,0,15,32.5,2618701.9661456337,5790.258558494255
400272020055005,0,0,0,0,11,7.7,0,6.6,14.3,3194576.1220404054,11334.282483671288
400272002002003,0,0,0,0,22,15.4,0,13.2,28.6,1644490.1736695454,43621.41399163564
400272020082005,0,0,0,0,18,12.6,0,10.8,23.4,3170272.857558814,6850.416219618909
400272022055012,0,0,0,0,20,14,0,12,26,2790656.873068868,7210.135780581737
400272016071000,16,0,0,16,277,249.9,19.2,188.6,457.7,2723565.8550144024,4197.4979086417
400272008001017,0,0,0,0,23,16.1,0,13.8,29.9,1192997.3681549279,14628.501152115756
400836005022021,0,0,0,0,12,8.4,0,7.2,15.6,882482.1523285494,197.49385574392912
400836008021005,70,67,0,3,2,58.8,84,38.9,181.7,241461.03849242575,181.0197827326646
400836005025006,0,0,0,0,36,25.2,0,21.6,46.8,612264.8194518061,45.9995686023698
400836004021024,19,15,0,4,114,104.3,22.8,81.5,208.6,1508650.061054895,300.2046846144375
400272015054014,0,0,0,0,10,7,0,6,13,2045376.0998223044,20490.6567396684
400272024072050,0,0,0,0,2,1.4,0,1.2,2.6,34408.42997533005,77.88674602669275
400836007005010,0,0,0,0,9,6.3,0,5.4,11.7,5996.1998915489285,106.19348902852414
400272019021010,0,0,0,0,81,56.7,0,48.6,105.3,3033304.5696375184,21374.894035262314
400272020041006,0,0,0,0,15,10.5,0,9,19.5,2999983.3489835327,12661.300331802116
400272019023006,6,0,0,6,84,79.8,7.2,58.8,145.8,2987659.7952143964,14521.818194415095
400272008005001,8,4,0,4,37,42.7,9.6,29.8,82.1,1475167.9282895995,2001.6130031379237
400272021021024,0,0,0,0,3,2.1,0,1.8,3.9,3238953.83222614,20979.316142393036
400272020062009,0,0,0,0,18,12.6,0,10.8,23.4,3034701.328458838,15539.806184025667
400272026001048,0,0,0,0,3,2.1,0,1.8,3.9,408449.9002009886,3545.8164459049613
400272011033014,1,0,0,1,24,20.3,1.2,15.8,37.3,1643331.6379688606,4683.030540007798
400272021022022,6,0,0,6,5,24.5,7.2,11.4,43.1,2896416.248870036,22662.45159245375
400272019031002,3,3,0,0,39,29.4,3.6,24.9,57.9,3094815.8838273273,14123.895257231827
400272006022002,0,0,0,0,28,19.6,0,16.8,36.4,1181446.876177348,41306.419895369465
400272024033020,0,0,0,0,6,4.2,0,3.6,7.8,519679.18741269753,173.0231919249613
400272022053009,0,0,0,0,14,9.8,0,8.4,18.2,2197044.5083750538,2828.9294129532364
