id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
121079506003066,105,0,3,102,87,443.1,126,209.1,778.2,116325.27932767782,8156.618297661227
121079502022059,0,0,0,0,1,0.7,0,0.6,1.3,15140.138297268508,6.758815288524564
121079502012161,0,0,0,0,1,0.7,0,0.6,1.3,94834.17750260496,486.80299446742777
121079508003007,5,0,4,1,5,40.6,6,23.2,69.8,118971.82716682041,19449.609876864022
121079508004042,0,0,0,0,9,6.3,0,5.4,11.7,118251.61309451835,22896.073043284632
121079508001002,37,0,0,37,52,165.9,44.4,83,293.3,107904.42003475396,14226.477791395955
121079502013026,0,0,0,0,1,0.7,0,0.6,1.3,85528.12272077116,97.7784183881032
121079502022087,0,0,0,0,1,0.7,0,0.6,1.3,31374.13753034918,56.85536509886384
121079505002076,0,0,0,0,3,2.1,0,1.8,3.9,91592.82664334998,421.6193539491186
121079507002070,5,0,5,0,4,44.8,6,25.9,76.7,117890.90698050825,17852.024534764743
121079507002079,0,0,0,0,1,0.7,0,0.6,1.3,118092.17042524616,16319.277705790804
121079505004100,0,0,0,0,3,2.1,0,1.8,3.9,78894.27490184348,467.1647158811782
121079505004045,0,0,0,0,8,5.6,0,4.8,10.4,66009.95751831189,180.955439417914
121079507001072,0,0,0,0,1,0.7,0,0.6,1.3,116194.53718460925,14667.577852935821
121079513001070,0,0,0,0,10,7,0,6,13,19408.588471029827,71.28037827361466
121079505002090,0,0,0,0,1,0.7,0,0.6,1.3,88154.77442275315,539.5242645860244
121079502013095,0,0,0,0,1,0.7,0,0.6,1.3,49635.07910598227,255.13964291262133
121079502014046,0,0,0,0,16,11.2,0,9.6,20.8,98830.62416668773,2635.025724369664
121079502021006,7,0,0,7,10,31.5,8.4,15.8,55.7,90904.03821832882,55.0191928222874
121079502012059,0,0,0,0,1,0.7,0,0.6,1.3,66185.4750029276,685.3865318950621
