id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
480019507002010,0,0,0,0,9,6.3,0,5.4,11.7,94409.91111604248,6695.546911403138
480019509012002,0,0,0,0,9,6.3,0,5.4,11.7,93899.98715332497,5031.200846525632
480019506004001,0,0,0,0,31,21.7,0,18.6,40.3,91425.08227993609,1818.6760317612996
480019501001079,0,0,0,0,6,4.2,0,3.6,7.8,44558.626907618236,2699.885061178612
480019510012035,0,0,0,0,7,4.9,0,4.2,9.1,51470.06122688362,9.07455579514369
480019506002036,0,0,0,0,7,4.9,0,4.2,9.1,91641.66233039349,2230.1835489456066
480019507001016,0,0,0,0,7,4.9,0,4.2,9.1,93721.22183572552,7893.643778713599
480019505003049,0,0,0,0,6,4.2,0,3.6,7.8,95643.45288980402,11532.236525220158
480019509012022,0,0,0,0,2,1.4,0,1.2,2.6,91028.31727502291,796.255013314535
480019508004011,0,0,0,0,19,13.3,0,11.4,24.7,93796.89721993255,11901.80530876082
480019506003012,0,0,0,0,3,2.1,0,1.8,3.9,94665.06163525824,3966.7016241171636
480019508002012,0,0,0,0,1,0.7,0,0.6,1.3,94884.05559776907,7477.5915732520725
480019501001047,5,0,0,5,3,19.6,6,8.8,34.4,40269.801259753054,4029.3761177826023
480019507003081,0,0,0,0,2,1.4,0,1.2,2.6,94511.45316315164,13274.951561720456
480019506001055,0,0,0,0,4,2.8,0,2.4,5.2,95092.64499373717,9141.338530928939
480019509011024,0,0,0,0,2,1.4,0,1.2,2.6,88793.86121719495,30.598530842902264
480019506003057,0,0,0,0,31,21.7,0,18.6,40.3,92917.72980104544,4139.533247233278
480019507001031,28,0,0,28,12,106.4,33.6,46.4,186.4,93558.70093643971,7481.763289697633
480019506003040,0,0,0,0,8,5.6,0,4.8,10.4,94278.48892012039,5202.568162359914
480019505001023,0,0,0,0,18,12.6,0,10.8,23.4,94730.66350960449,2815.4205627580645
480019506001024,0,0,0,0,1,0.7,0,0.6,1.3,94042.86702121563,2911.0745696739764
480019506001068,2,2,0,0,5,4.9,2.4,4,11.3,95229.90107543833,9808.01567982461
480019506001046,0,0,0,0,1,0.7,0,0.6,1.3,96032.66525570219,6784.896345533908
