id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
120090612023055,0,0,0,0,9,6.3,0,5.4,11.7,543617.7043182258,576.4853516802128
120090713462022,0,0,0,0,2,1.4,0,1.2,2.6,444269.9515624684,401.51386429473706
120090714021023,77,0,46,31,3,497.00000000000006,92.4,261.4,850.8,418761.0435668884,11480.129444214068
120090713374008,4,4,0,0,14,12.6,4.8,10.4,27.8,791238.5189609022,1324.5758603243398
120090642012007,0,0,0,0,26,18.2,0,15.6,33.8,1070067.7850953783,18320.02558610167
120090624021014,0,0,0,0,9,6.3,0,5.4,11.7,836257.0390382538,16512.595873529597
120090649021018,0,0,0,0,12,8.4,0,7.2,15.6,942031.3557721251,7659.701314089787
120090685012032,0,0,0,0,2,1.4,0,1.2,2.6,607792.2647212221,21346.87594759045
120090713411039,0,0,0,0,11,7.7,0,6.6,14.3,699104.7657809755,2103.1459362295227
120090713452015,0,0,0,0,13,9.1,0,7.8,16.9,667118.2383350322,3136.9425105212495
120090684002016,0,0,0,0,15,10.5,0,9,19.5,624095.9858837478,28668.83333567742
120090685011004,0,0,0,0,31,21.7,0,18.6,40.3,578396.031697864,33251.80000824526
120090642011043,0,0,0,0,11,7.7,0,6.6,14.3,1075130.0375997054,13447.953427418393
120090601031043,0,0,0,0,2,1.4,0,1.2,2.6,287164.184539434,2794.228582316211
120090621084006,3,0,0,3,46,42.7,3.6,31.8,78.1,588072.2285195127,2918.8976482567205
120090621082014,0,0,0,0,37,25.9,0,22.2,48.1,672408.5558153315,3003.842244625789
120090651234009,5,3,0,2,85,68.6,6,55.3,129.9,872542.7723291477,347.62164177783353
120090713412043,0,0,0,0,14,9.8,0,8.4,18.2,714731.8873936457,2821.3221104185013
120090652371003,0,0,0,0,16,11.2,0,9.6,20.8,333571.40545350744,4037.499985399757
120090713492020,0,0,0,0,16,11.2,0,9.6,20.8,924654.5597873053,2598.440420717958
120090713451032,0,0,0,0,13,9.1,0,7.8,16.9,636565.2083527988,1730.6691811311414
120090631082011,93,0,0,93,6,329.7,111.6,133.8,575.1,967978.3026169409,925.3718105438112
120090652022012,2,0,2,0,19,30.1,2.4,20.8,53.3,934556.8364990723,2540.362161132324
120090651231027,0,0,0,0,5,3.5,0,3,6.5,961845.1016317498,9350.495721986252
120090685012002,7,3,0,4,221,170.8,8.4,139.7,318.9,587211.314719439,17025.018808368626
120090713352010,3,3,0,0,2,3.5,3.6,2.7,9.8,921723.7219616119,2155.484287786911
120090651234013,17,0,5,12,62,127.4,20.4,77.5,225.3,941719.3107338281,5541.368443533889
120090652392038,0,0,0,0,13,9.1,0,7.8,16.9,288135.1416508372,1650.2834610073273
120090642023032,0,0,0,0,10,7,0,6,13,1154955.4179609476,10284.629594066006
120090713443006,5,5,0,0,19,16.8,6,13.9,36.7,930465.0632653356,419.62687685834845
120090631091002,52,52,0,0,5,39.9,62.4,29,131.3,1171230.625155593,2204.028594135333
120090625004003,40,2,0,38,25,151.9,48,69.2,269.1,926336.5982659234,8300.992226638198
120090713481171,0,0,0,0,2,1.4,0,1.2,2.6,437698.5340231945,1130.1742752951018
120090629003010,0,0,0,0,19,13.3,0,11.4,24.7,1040771.0102749309,3731.8272745594527
120090651264000,43,8,5,30,440,460.6,51.6,333.5,845.7,1052828.8614201776,12853.39762910476
120090631023016,38,1,8,29,129,259.7,45.6,156.1,461.4,878336.9555774588,2734.103582756887
120090667002005,0,0,0,0,23,16.1,0,13.8,29.9,982104.2682161789,10775.363062241815
120090713463086,0,0,0,0,3,2.1,0,1.8,3.9,645690.6122788431,1257.9841408875077
120090661042006,0,0,0,0,15,10.5,0,9,19.5,280825.8520637076,313.21569241650496
120090661042031,0,0,0,0,18,12.6,0,10.8,23.4,242203.54650664623,254.19514814451645
120090713521014,23,0,0,23,35,105,27.6,53.2,185.8,989633.3940266097,5279.93640017914
120090621132000,0,0,0,0,22,15.4,0,13.2,28.6,700042.5499407985,513.2802705071225
120090712011046,0,0,0,0,2,1.4,0,1.2,2.6,1162206.518887884,22865.232258514123
120090713452045,0,0,0,0,12,8.4,0,7.2,15.6,637941.5673112092,15786.644458644778
120090649013010,0,0,0,0,24,16.8,0,14.4,31.2,955793.1876421458,6226.709399167096
120090650223009,2,0,0,2,86,67.2,2.4,54.4,124,984044.8435022859,674.6146998859899
120090661031011,0,0,0,0,9,6.3,0,5.4,11.7,549138.9283626466,1556.7981662208394
120090652311013,110,0,0,110,26,403.2,132,169.6,704.8,814673.7810279091,1209.0253338572159
120090713481053,0,0,0,0,3,2.1,0,1.8,3.9,471894.5285184935,1457.2520326245738
120090646014028,0,0,0,0,16,11.2,0,9.6,20.8,1013186.7616308406,4069.1450686952717
120090713512032,0,0,0,0,16,11.2,0,9.6,20.8,913263.4129809492,5067.78623505576
120090603011004,0,0,0,0,30,21,0,18,39,206170.46589534875,345.73982460952755
120090713392007,0,0,0,0,8,5.6,0,4.8,10.4,663500.9410990516,1661.126410056653
120090694002008,5,0,0,5,12,25.9,6,14.2,46.1,824325.3111274167,895.1074232187989
120090698011011,35,0,3,32,96,204.4,42,116.5,362.9,677587.5058264318,7480.299976205725
120090605001021,0,0,0,0,16,11.2,0,9.6,20.8,409004.21831841505,743.0132677485191
120090603022020,0,0,0,0,12,8.4,0,7.2,15.6,237195.1490751092,4363.267989280117
120090649014020,0,0,0,0,31,21.7,0,18.6,40.3,958776.4432616107,10578.971191189168
120090713432029,0,0,0,0,6,4.2,0,3.6,7.8,876954.5023703293,2534.82713768641
120090713351029,3,3,0,0,11,9.8,3.6,8.1,21.5,998225.3489835156,4587.810393632449
120090664003010,0,0,0,0,4,2.8,0,2.4,5.2,899714.7111367565,22493.570486705896
120090652013002,61,0,0,61,135,308,73.2,166.4,547.6,895764.9171441399,2260.3585924029285
120090621134000,12,0,9,3,83,144.2,14.4,96.3,254.9,827012.731364619,1020.6924718170778
120090699061005,1,0,0,1,228,163.1,1.2,138.2,302.5,683007.3003304232,7501.495743205606
