id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
410670325031015,0,0,0,0,13,9.1,0,7.8,16.9,2207347.102447375,7985.150140612518
410670310092008,15,10,0,5,254,202.3,18,164.4,384.7,4587632.086510402,27898.708212235364
410099702011014,64,1,0,63,75,273.7,76.8,133.7,484.2,17206.095523864344,4669.8874380032385
410099708003008,3,0,0,3,86,70.7,3.6,55.8,130.1,105161.9752444265,12651.451245240083
410670321042005,11,0,0,11,108,114.1,13.2,80.2,207.5,3224788.7231457443,7712.932838201737
410670306001002,6,4,0,2,55,48.3,7.2,37.8,93.3,5744391.88378545,12930.914160796814
410099709001060,2,0,0,2,6,11.2,2.4,6.4,20,718771.4710306522,8756.201388037454
410670329032030,0,0,0,0,19,13.3,0,11.4,24.7,1277872.4225190352,21689.769795365464
410670325013053,0,0,0,0,17,11.9,0,10.2,22.1,2061411.1618679273,64769.40156639015
410670318131005,6,3,0,3,3,14.7,7.2,7.5,29.4,4040326.488091584,21391.489401618128
410670317073004,3,0,0,3,26,28.7,3.6,19.8,52.1,3683443.3448652355,5991.116619303444
410670324111003,13,12,0,1,9,18.2,15.6,12.8,46.6,3504736.333077456,23879.19804289157
410670319152000,0,0,0,0,147,102.9,0,88.2,191.1,3806159.957498897,4745.595295472533
410670315061013,0,0,0,0,2,1.4,0,1.2,2.6,5613569.664157969,36878.69675991115
410670312012011,56,0,7,49,8,235.9,67.2,106.3,409.4,6082901.795049763,130169.33320164772
410099710001002,11,0,0,11,64,83.3,13.2,53.8,150.3,806449.2543790421,8073.245892649281
410670319162018,0,0,0,0,4,2.8,0,2.4,5.2,4629408.774194311,17154.286042466574
410670309001006,17,0,0,17,205,203,20.4,146.8,370.2,5710799.567102158,57137.24622249666
410670306003008,0,0,0,0,1,0.7,0,0.6,1.3,6299292.608748017,18951.503259175737
410670333014020,0,0,0,0,11,7.7,0,6.6,14.3,651423.890507901,8978.564461139886
410670310081004,3,0,0,3,102,81.9,3.6,65.4,150.9,5368130.069235007,25532.840212351515
410670316141000,2,0,0,2,128,96.6,2.4,79.6,178.6,3777542.4652753095,16227.936338119896
410670329042034,0,0,0,0,4,2.8,0,2.4,5.2,1532078.9789177733,21974.900854473784
410670309001002,80,72,0,8,91,142.1,96,101.8,339.9,5773784.599743119,48800.8396977838
410099703001004,1,0,0,1,21,18.2,1.2,14,33.4,13499.371304639297,43.4198875346602
410099709001058,0,0,0,0,10,7,0,6,13,537003.031956763,4490.971308191614
410099711001030,0,0,0,0,3,2.1,0,1.8,3.9,9330.263155767321,626.345119766014
410670326035039,18,13,0,5,14,36.4,21.6,21.9,79.9,2798060.7888662308,4168.428386857158
410670315192018,1,0,0,1,20,17.5,1.2,13.4,32.1,4429409.226761309,8690.232819784627
410670333015017,0,0,0,0,71,49.7,0,42.6,92.3,801727.9816148948,19009.16795317702
410670305014000,0,0,0,0,25,17.5,0,15,32.5,5595432.846637652,14136.81874921592
410670335002023,1,1,0,0,23,16.8,1.2,14.3,32.3,1373603.7960508307,3783.8819075519464
410670331021000,172,23,38,111,21,738.5,206.4,358.1,1303,958427.6848686723,30461.87048855106
410670323022013,0,0,0,0,9,6.3,0,5.4,11.7,3226296.9150310443,21070.180881142805
410670327004032,2,2,0,0,28,20.999999999999996,2.4,17.8,41.2,2108273.9810402053,268.17396841662253
410670305013010,26,0,0,26,1,91.7,31.2,37,159.9,5912912.215027701,33477.3534201234
410670326063000,0,0,0,0,17,11.9,0,10.2,22.1,2854754.389899953,40608.99305491479
410670318181004,0,0,0,0,31,21.7,0,18.6,40.3,4476634.037178019,27054.105078827233
410670315042000,1,0,0,1,38,30.1,1.2,24.2,55.5,4892698.498192664,8162.650820462456
410670315141016,0,0,0,0,21,14.7,0,12.6,27.3,4767421.866535746,16901.460812190737
410670319112010,0,0,0,0,31,21.7,0,18.6,40.3,4701408.935462197,15586.597431715592
410099710003025,0,0,0,0,29,20.3,0,17.4,37.7,594417.3450860729,86.61379003094827
410099711001017,0,0,0,0,6,4.2,0,3.6,7.8,11231.002493673343,7.036574378312959
410099703002021,8,0,0,8,20,42,9.6,23.2,74.8,53317.357979510045,3759.471340864571
410099703004000,0,0,0,0,10,7,0,6,13,53738.68349571723,3815.6947056154913
410670318202005,0,0,0,0,22,15.4,0,13.2,28.6,3835460.622925711,10695.778082711693
410670316262013,16,3,0,13,250,222.6,19.2,169.7,411.5,4403340.323340319,24042.408240322242
410670324111005,0,0,0,0,6,4.2,0,3.6,7.8,3643895.2358672717,22727.262505324412
410670321121010,0,0,0,0,10,7,0,6,13,3124598.8316143067,14557.849502020368
410670310084017,0,0,0,0,14,9.8,0,8.4,18.2,5267326.771264937,20816.84667259315
410670319091019,12,12,0,0,19,21.7,14.4,17.4,53.5,3829598.106308889,2785.491653242674
410670331012009,6,2,0,4,32,37.8,7.2,25.8,70.8,742027.4354304633,16637.38179656764
410099702022078,0,0,0,0,31,21.7,0,18.6,40.3,16635.575027871026,40.03120882535337
410710307023035,0,0,0,0,4,2.8,0,2.4,5.2,226348.0638614549,13024.306430596587
410710306021035,2,2,0,0,29,21.7,2.4,18.4,42.5,199497.85320970463,7240.977053747345
410710301011026,0,0,0,0,4,2.8,0,2.4,5.2,1254043.5629154977,19.357419171458766
410710301023007,0,0,0,0,17,11.9,0,10.2,22.1,949619.7088875067,4526.376624731946
410710307023014,0,0,0,0,6,4.2,0,3.6,7.8,214349.2733691675,8340.187742089696
410710304005017,6,6,0,0,64,49,7.2,41.4,97.6,307721.97501806193,3063.184746971063
410710304005042,14,0,0,14,2,50.4,16.8,20.8,88,317835.2993456159,3153.454189959715
410670330004005,8,7,0,1,18,21,9.6,15.7,46.3,921113.8890584692,203.94246489988362
410670304021010,0,0,0,0,5,3.5,0,3,6.5,5614041.661122475,11069.14312256311
410670310122008,1,0,0,1,48,37.1,1.2,30.2,68.5,5124956.40425492,24504.385825809208
410670325013035,187,160,0,27,27,225.4,224.4,134,583.8,2060613.781980212,60529.1765618683
410670301043007,1,0,0,1,7,8.4,1.2,5.6,15.2,6043054.991422264,23359.981260781457
410670315193013,1,0,0,1,71,53.2,1.2,44,98.4,4965593.062056624,19776.42463698092
410670318182000,35,10,0,25,408,380.1,42,284.8,706.9,4120585.1534518143,27114.53702994703
410670320042005,8,8,0,0,15,16.1,9.6,13,38.7,5353535.701638079,33410.48088391664
410670308012008,1,1,0,0,56,39.9,1.2,34.1,75.2,5429680.080629722,13795.991530794432
410670315202005,1,0,0,1,13,12.6,1.2,9.2,23,3934337.9994593053,4496.8910845264645
410670315145011,0,0,0,0,37,25.9,0,22.2,48.1,4822650.1557128,18177.682362995733
410670329011033,201,2,194,5,32,1670.9,241.2,939.0000000000001,2851.1,1202670.4830279793,21391.65013136725
410670324092002,51,7,0,44,478,493.5,61.2,351.9,906.6,2323417.6540985843,33816.87929209816
410099709004023,8,5,0,3,30,35,9.6,24.7,69.3,735652.6974202422,10613.262589771355
410670319152031,5,0,0,5,22,32.9,6,20.2,59.1,3929196.371573035,2948.99834272253
410670319162020,0,0,0,0,25,17.5,0,15,32.5,4673492.380860622,13421.129329482781
410670333012008,49,0,13,36,5,238.7,58.8,114.5,412,728995.1825296299,28357.64268784887
410670318064000,10,3,0,7,90,89.6,12,65.3,166.9,4055166.4405304193,10117.316231296913
410670318043006,0,0,0,0,21,14.7,0,12.6,27.3,3862400.191469956,8626.117322047237
410670315042009,2,0,0,2,35,31.5,2.4,23.8,57.7,4842146.90240154,19018.200945192642
410670303004000,0,0,0,0,19,13.3,0,11.4,24.7,6095418.129963007,19927.822813587318
410099711002015,0,0,0,0,2,1.4,0,1.2,2.6,5563.930796571821,5.776765727119464
410099711002005,0,0,0,0,4,2.8,0,2.4,5.2,10728.006031589102,5.22491558438141
410670324045012,4,4,0,0,74,54.6,4.8,46.4,105.8,3369226.5649460144,10857.865770926674
410670315143004,2,0,0,2,4,9.8,2.4,5.2,17.4,4658859.564430604,17694.397276441436
410099705004014,7,7,0,0,1,5.6,8.4,4.1,18.1,86804.92493535507,1387.7618299971914
410099703001020,2,0,0,2,63,51.1,2.4,40.6,94.1,40978.8093587006,2884.893082002198
410099709001012,0,0,0,0,1,0.7,0,0.6,1.3,120961.55574695801,1.5262094355719475
