id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
490070003003018,26,5,0,21,77,130.9,31.2,78.1,240.2,52727.02205765049,2316.0899480478183
490070002001014,53,53,0,0,1,37.8,63.6,27.1,128.5,52582.3515191622,21706.96581677354
490070006001174,0,0,0,0,5,3.5,0,3,6.5,6344.853035166785,1078.9970999091918
490070002003021,0,0,0,0,8,5.6,0,4.8,10.4,52508.22091296205,1035.5197097747875
490070002001051,10,0,0,10,11,42.7,12,20.6,75.3,52691.0883826957,20557.07343282992
490070002001036,17,10,0,7,1,32.2,20.4,15.4,68,52689.689899436664,24232.56858295568
490070005001273,0,0,0,0,3,2.1,0,1.8,3.9,495.7355599184335,10.78642172279906
490070005002023,0,0,0,0,6,4.2,0,3.6,7.8,51894.53819718283,2440.868368971189
490070002001007,0,0,0,0,57,39.9,0,34.2,74.1,52611.503512523464,21664.09048488374
490070005001178,17,5,1,11,25,67.9,20.4,37.6,125.9,48963.9104158576,125.66423904804276
490070003003000,0,0,0,0,5,3.5,0,3,6.5,52380.60136376911,1572.051840471438
490070003004019,0,0,0,0,34,23.8,0,20.4,44.2,52632.05006358006,23435.614138682104
490070002001018,53,3,29,21,1,319.9,63.6,167.8,551.3,52638.814631608606,25481.64798268909
490070006003031,129,50,16,63,1,390.6,154.8,189,734.4,52707.94347442876,3079.788360088702
490070002001041,0,0,0,0,36,25.2,0,21.6,46.8,52588.05524401034,20720.870659915257
490070006003036,0,0,0,0,12,8.4,0,7.2,15.6,53144.27457288627,1240.7135084756019
490070006003024,0,0,0,0,19,13.3,0,11.4,24.7,53223.3046337177,877.2530251267408
490070002003005,0,0,0,0,6,4.2,0,3.6,7.8,52525.06195548318,135.1631590874124
490070003002032,0,0,0,0,8,5.6,0,4.8,10.4,52662.999457674865,17340.493948705986
490070002001008,0,0,0,0,6,4.2,0,3.6,7.8,52570.244887464134,19849.21569105945
490070006001083,0,0,0,0,15,10.5,0,9,19.5,6306.098007541045,1073.7211739749441
490070006001065,6,6,0,0,63,48.3,7.2,40.8,96.3,3695.484388345397,507.993094202768
490070002001009,0,0,0,0,11,7.7,0,6.6,14.3,52606.36222324682,21408.84265564778
490070006003009,0,0,0,0,3,2.1,0,1.8,3.9,52037.88297210664,3.3192390097243667
490070002003014,0,0,0,0,20,14,0,12,26,52485.32504040949,470.4511494379939
490070003001003,0,0,0,0,12,8.4,0,7.2,15.6,52518.772836621916,10822.865907742078
490070006002000,0,0,0,0,1,0.7,0,0.6,1.3,0,0
490070006003062,0,0,0,0,43,30.1,0,25.8,55.9,46764.731029624396,54.990249912641374
490070006001089,0,0,0,0,17,11.9,0,10.2,22.1,5794.794259463987,1039.3565169069593
490070002003003,16,14,0,2,91,80.5,19.2,64.4,164.1,52192.50527265397,408.439092372932
490070003002018,0,0,0,0,26,18.2,0,15.6,33.8,52656.02036078911,17914.92698392668
490070006001069,0,0,0,0,15,10.5,0,9,19.5,8814.107274412696,740.760917070165
490070005001258,0,0,0,0,2,1.4,0,1.2,2.6,360.4008331136964,147.92218907587954
490070005002019,0,0,0,0,8,5.6,0,4.8,10.4,51810.178624269254,2582.050443262578
490070001002034,0,0,0,0,11,7.7,0,6.6,14.3,53243.78592908127,1323.6882143301755
490070003002037,0,0,0,0,9,6.3,0,5.4,11.7,52644.36266095614,17707.196911242983
490070003004015,0,0,0,0,4,2.8,0,2.4,5.2,52625.30636288804,23831.500222480994
490070006002021,0,0,0,0,11,7.7,0,6.6,14.3,50462.08488703926,110.03178593432554
490070006002060,0,0,0,0,3,2.1,0,1.8,3.9,51462.58767626408,2023.8041348020852
490070006001081,0,0,0,0,7,4.9,0,4.2,9.1,8932.86180103333,1051.1095459621026
490070003004000,0,0,0,0,33,23.1,0,19.8,42.9,52650.59520640548,20440.665894199436
490070001002011,0,0,0,0,2,1.4,0,1.2,2.6,51738.55282274648,69.78825666976664
490070003001001,3,3,0,0,23,18.2,3.6,15.3,37.1,52501.367014754105,9505.327528045847
490070002002020,0,0,0,0,28,19.6,0,16.8,36.4,52550.37836840181,8952.478017165342
490070002002029,0,0,0,0,18,12.6,0,10.8,23.4,52572.360260226655,13101.297550094432
490070003001008,127,0,0,127,38,471.1,152.4,200.6,824.1,52602.068239194785,19631.174292609754
490070001001011,3,0,0,3,37,36.4,3.6,26.4,66.4,52408.207928002,3511.88381343942
490070001002013,6,0,0,6,31,42.7,7.2,26.999999999999996,76.9,51569.94540428721,75.99954240509511
490070003002019,8,0,8,0,15,77.7,9.6,46.6,133.9,52631.341110984045,13944.426441662528
490070005001135,7,5,0,2,15,21,8.4,14.3,43.7,52531.68707872715,4972.096448244386
490070005001162,5,2,2,1,2,23.1,6,13.000000000000002,42.1,51558.81717281941,42.00103092073882
490070003003021,8,0,0,8,62,71.4,9.6,48.4,129.4,52646.42338470975,19745.483948563335
490070005001124,2,2,0,0,15,11.9,2.4,10,24.3,52234.74370037146,644.7686769683044
490070002003011,0,0,0,0,16,11.2,0,9.6,20.8,52281.77456978253,223.6757881307792
490070006002039,0,0,0,0,14,9.8,0,8.4,18.2,50779.821462726446,110.28116657241361
490070005003019,30,25,0,5,7,39.9,36,23.7,99.6,51727.84462046,2349.0906890572155
490070001002043,0,0,0,0,2,1.4,0,1.2,2.6,52577.59984059689,27.73073136382665
490070005003010,0,0,0,0,5,3.5,0,3,6.5,52044.40250968078,2687.9918352822942
