id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
081010009023011,0,0,0,0,33,23.1,0,19.8,42.9,445486.9219284432,11821.02240345076
081010009022012,0,0,0,0,11,7.7,0,6.6,14.3,445290.2559631686,12759.488615278526
081010031042005,0,0,0,0,16,11.2,0,9.6,20.8,426440.5966237655,1272.1095215605746
081010029193009,0,0,0,0,18,12.6,0,10.8,23.4,443837.7925287928,14908.048364678825
081010029193003,0,0,0,0,40,28,0,24,52,443678.7331915628,24475.814393223653
081010025002021,0,0,0,0,13,9.1,0,7.8,16.9,441877.3527556944,28450.382497129627
081010010002019,0,0,0,0,7,4.9,0,4.2,9.1,444192.4520132509,9393.528396375006
081010029192013,2,2,0,0,8,7,2.4,5.8,15.2,444591.09191252047,27005.8524488682
081010029121017,2,0,0,2,31,28.7,2.4,21.4,52.5,429012.0621756097,4824.11038176345
081010021002015,9,7,0,2,18,24.5,10.8,17.1,52.4,445351.56950895867,22191.28471411718
081010024001033,0,0,0,0,7,4.9,0,4.2,9.1,439604.12513285165,26845.951665378507
081010029231053,0,0,0,0,6,4.2,0,3.6,7.8,418891.6298294372,187.3519786048585
081010026002015,3,0,3,0,7,30.1,3.6,18.3,52,440877.8758676544,24900.603930825255
081010025002014,0,0,0,0,10,7,0,6,13,442253.62406825845,28134.91801341493
081010018003016,0,0,0,0,10,7,0,6,13,443988.19157332263,21466.315638101227
081010018001015,0,0,0,0,11,7.7,0,6.6,14.3,445176.0603760054,15648.857061037954
081010010003016,0,0,0,0,4,2.8,0,2.4,5.2,445499.0981411068,11390.89483387056
081010001001007,0,0,0,0,6,4.2,0,3.6,7.8,445705.0360317449,21237.298818592546
081010029172009,0,0,0,0,5,3.5,0,3,6.5,406045.08248482057,1966.2807299375554
081010005003036,0,0,0,0,12,8.4,0,7.2,15.6,444894.7698255579,57824.90237565353
081010023003006,0,0,0,0,5,3.5,0,3,6.5,438743.45350618125,11785.46350158678
081010022002016,0,0,0,0,5,3.5,0,3,6.5,443331.1950183992,15404.038477639333
081010020003015,1,0,0,1,4,6.3,1.2,3.8,11.3,446133.15960458375,26518.47719466909
081010023002001,0,0,0,0,6,4.2,0,3.6,7.8,442895.57068794104,16859.808877937725
081010028061027,0,0,0,0,8,5.6,0,4.8,10.4,363164.6053967008,17.022776119178083
081010020003023,0,0,0,0,18,12.6,0,10.8,23.4,444527.4630571845,25756.270608365634
081010026002006,16,0,0,16,13,65.1,19.2,30.2,114.5,440968.6358326878,24624.500079366982
081010005002016,0,0,0,0,3,2.1,0,1.8,3.9,445455.385094452,69772.22517183972
081010004001011,0,0,0,0,5,3.5,0,3,6.5,446147.40044686606,26417.133515775222
081010006003019,0,0,0,0,8,5.6,0,4.8,10.4,443283.69491244684,52887.38141419136
081010006003021,0,0,0,0,7,4.9,0,4.2,9.1,442985.12676780036,54886.86538051188
081010004001026,0,0,0,0,8,5.6,0,4.8,10.4,444619.12673687324,26152.563994442564
081010025001028,0,0,0,0,22,15.4,0,13.2,28.6,441184.96596847987,24778.51875748048
081010017001002,0,0,0,0,11,7.7,0,6.6,14.3,444905.96812817303,14606.686029028937
081010022001029,0,0,0,0,7,4.9,0,4.2,9.1,442865.0316187738,22831.10023992802
081010016002053,5,0,0,5,11,25.2,6,13.6,44.8,443782.8845657072,10071.33497968461
081010028041047,0,0,0,0,10,7,0,6,13,75693.3069759813,197.28084609567557
081010006002025,0,0,0,0,6,4.2,0,3.6,7.8,444012.0860506994,70137.61219200099
081010017002020,0,0,0,0,12,8.4,0,7.2,15.6,438189.76396378805,31328.329353626556
081010016002004,0,0,0,0,11,7.7,0,6.6,14.3,442687.6677558786,11418.501160003034
081010019002002,0,0,0,0,23,16.1,0,13.8,29.9,444756.84726473474,39377.01622131447
081010011001015,0,0,0,0,11,7.7,0,6.6,14.3,444758.1369599638,7000.476903768291
081010023001042,0,0,0,0,10,7,0,6,13,441850.26356761623,16992.89192935337
081010029212019,0,0,0,0,10,7,0,6,13,424609.7387019343,314.5351236079934
081010004003022,0,0,0,0,6,4.2,0,3.6,7.8,444211.1840529916,16030.095934135654
081010031043004,0,0,0,0,36,25.2,0,21.6,46.8,432150.939607668,9632.770524352605
081010001002004,0,0,0,0,6,4.2,0,3.6,7.8,444529.93673096073,16897.160028542283
081010027002006,1,0,0,1,32,25.9,1.2,20.6,47.7,438699.56847297755,13503.051705851183
081010028011010,0,0,0,0,50,35,0,30,65,439680.6661591371,10860.510943816678
081010025003012,0,0,0,0,9,6.3,0,5.4,11.7,441676.08801553166,27995.416551950217
081010011003029,0,0,0,0,13,9.1,0,7.8,16.9,446481.8883329146,8278.365916449718
081010011003010,0,0,0,0,11,7.7,0,6.6,14.3,445861.1519853315,9786.695099778537
081010028062083,0,0,0,0,10,7,0,6,13,434285.3022103298,8853.952784391677
081010029162021,0,0,0,0,8,5.6,0,4.8,10.4,426449.4963714583,1658.2671115404876
081010029162011,0,0,0,0,36,25.2,0,21.6,46.8,428609.35355207894,1402.8900753264488
081010032003047,0,0,0,0,6,4.2,0,3.6,7.8,125122.52696448888,19.647177171800926
081010016001023,0,0,0,0,7,4.9,0,4.2,9.1,440513.96150375024,5417.331978232595
081010009025005,0,0,0,0,31,21.7,0,18.6,40.3,443625.71397211787,6256.899603010595
081010016002045,1,0,0,1,7,8.4,1.2,5.6,15.2,443957.4384155663,10973.868132697835
081010016002005,0,0,0,0,8,5.6,0,4.8,10.4,442450.5373033885,11828.657943207403
081010017001012,0,0,0,0,9,6.3,0,5.4,11.7,444191.588846099,13721.284552357436
081010029063017,0,0,0,0,13,9.1,0,7.8,16.9,412141.4296801994,380.93294002417673
081010008002028,0,0,0,0,17,11.9,0,10.2,22.1,446800.37562431017,36205.85373061451
081010036002005,0,0,0,0,1,0.7,0,0.6,1.3,4.550235712699089,3.4346889688989046
081010005003011,0,0,0,0,9,6.3,0,5.4,11.7,445014.87592144625,48321.7162864859
081010025001002,0,0,0,0,9,6.3,0,5.4,11.7,442214.5571428235,26188.0606586395
081010028041002,0,0,0,0,17,11.9,0,10.2,22.1,187877.95647353094,645.5241665801115
081010015001047,0,0,0,0,11,7.7,0,6.6,14.3,444852.1775929603,25083.8598571685
081010006002007,0,0,0,0,4,2.8,0,2.4,5.2,444442.9779323641,73615.33707950727
081010012001039,0,0,0,0,11,7.7,0,6.6,14.3,446652.5739481683,18772.579121845163
081010029131015,0,0,0,0,15,10.5,0,9,19.5,401854.6684533614,2252.070868710039
081010032002078,9,9,0,0,18,18.9,10.8,15.3,44.99999999999999,841.908617573233,43.97427792806614
081010020003012,0,0,0,0,20,14,0,12,26,445143.3398393468,25598.24632245291
081010021002003,11,1,6,4,22,80.5,13.2,47.5,141.2,444934.8764927691,23604.667479136668
081010029011028,0,0,0,0,6,4.2,0,3.6,7.8,436654.49154612137,4275.246735895271
081010010002044,0,0,0,0,8,5.6,0,4.8,10.4,444373.1066340298,8529.503467562954
081010023001029,0,0,0,0,10,7,0,6,13,443094.562678345,19142.965077927107
081010001002019,8,0,0,8,1,28.7,9.6,11.8,50.1,444054.02502696915,16991.764083775626
081010028062038,15,1,0,14,102,121.1,18,81.3,220.4,315856.1503035542,1638.060629375579
081010031041011,0,0,0,0,13,9.1,0,7.8,16.9,431164.415791626,9822.628762214119
081010011003024,59,0,0,59,8,212.1,70.8,87.4,370.3,446761.8441743807,10083.976685965199
081010035001031,11,11,0,0,6,11.9,13.2,9.1,34.2,445976.0833254005,97610.09187649871
081010032003052,0,0,0,0,13,9.1,0,7.8,16.9,341793.1892686594,591.8252569048326
081010023004009,0,0,0,0,4,2.8,0,2.4,5.2,436455.7511482654,11146.060082894548
081010028063015,0,0,0,0,4,2.8,0,2.4,5.2,25008.31419638271,199.0191517977276
081010030011040,0,0,0,0,3,2.1,0,1.8,3.9,443389.870093345,2326.147565445606
081010010003037,0,0,0,0,8,5.6,0,4.8,10.4,445144.25559368666,8580.035960233738
081010029142023,1,0,0,1,42,32.9,1.2,26.6,60.7,416916.20796508994,4477.84738635917
081010028063050,0,0,0,0,5,3.5,0,3,6.5,44711.0953933031,269.4218670279473
081010016002041,0,0,0,0,10,7,0,6,13,441680.6695588473,8756.643697077818
081010018001013,0,0,0,0,12,8.4,0,7.2,15.6,445054.1062394449,14514.552322614754
081010024002018,0,0,0,0,6,4.2,0,3.6,7.8,438760.5950502718,22435.951455570466
081010014001026,0,0,0,0,21,14.7,0,12.6,27.3,444657.04785486666,34240.77366515717
081010004001010,0,0,0,0,4,2.8,0,2.4,5.2,446069.88218911603,25527.96820606023
081010032003040,4,4,0,0,4,5.6,4.8,4.4,14.8,168155.306840111,38.02415780502603
081010029193005,0,0,0,0,6,4.2,0,3.6,7.8,443461.917715545,15725.988771188198
081010016001008,27,0,0,27,6,98.7,32.4,41.4,172.5,442940.8137385707,7637.011075738211
081010035002047,0,0,0,0,6,4.2,0,3.6,7.8,446574.89568224025,15506.598977096302
081010029232032,0,0,0,0,3,2.1,0,1.8,3.9,428453.7231455072,921.8528414946817
081010018003022,0,0,0,0,14,9.8,0,8.4,18.2,444102.3338188489,22757.14884990003
081010025003022,0,0,0,0,8,5.6,0,4.8,10.4,440591.51897474873,28543.882999686914
081010028061050,0,0,0,0,4,2.8,0,2.4,5.2,199173.43696099657,5.1615156817463985
081010028042022,0,0,0,0,10,7,0,6,13,2226.9110606793024,13.448284422874092
081010029212027,0,0,0,0,19,13.3,0,11.4,24.7,422843.3154941453,1245.5517523319909
081010005002007,0,0,0,0,12,8.4,0,7.2,15.6,443484.7618191601,56242.02852206778
081010006002026,0,0,0,0,11,7.7,0,6.6,14.3,444428.6602012569,74076.16876622567
081010029222015,0,0,0,0,11,7.7,0,6.6,14.3,351831.2130463154,252.46070754080532
081010024002036,0,0,0,0,11,7.7,0,6.6,14.3,437644.1446447567,21782.646741521137
081010012001015,0,0,0,0,3,2.1,0,1.8,3.9,447196.98993761797,41633.30691226704
081010012001056,0,0,0,0,6,4.2,0,3.6,7.8,446642.1844333804,9243.748929260586
081010019001023,19,0,0,19,3,68.6,22.8,28.4,119.8,444266.79286426626,32739.209779252444
081010015002002,0,0,0,0,10,7,0,6,13,443858.5398934447,14806.410854199172
081010012001040,0,0,0,0,4,2.8,0,2.4,5.2,446476.850168408,14695.893706974755
081010029172002,0,0,0,0,10,7,0,6,13,415943.7803788478,3716.4024474833377
081010023002002,0,0,0,0,10,7,0,6,13,442690.9816213329,16933.784958765773
081010001001002,0,0,0,0,6,4.2,0,3.6,7.8,445652.61237893486,20138.025697524397
081010029151012,0,0,0,0,13,9.1,0,7.8,16.9,403435.193645584,3142.4238817081505
081010028071011,5,0,0,5,2,18.9,6,8.2,33.1,439950.0137981977,24101.1424933935
081010010002034,0,0,0,0,8,5.6,0,4.8,10.4,444718.4643928116,8945.740845428643
081010029131012,0,0,0,0,26,18.2,0,15.6,33.8,406681.48416732106,1753.6722593456573
081010011003017,0,0,0,0,11,7.7,0,6.6,14.3,446233.22114103736,8353.002780072504
081010012002054,1,1,0,0,5,4.2,1.2,3.5,8.9,444240.5360913696,3907.9458494606297
