id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
461030116023201,0,0,0,0,18,12.6,0,10.8,23.4,4463.0313862796775,463.11104828406906
461030105004000,0,0,0,0,15,10.5,0,9,19.5,446602.9109017053,38908.609302536956
461030110012015,6,0,0,6,33,44.1,7.2,28.2,79.5,432634.4777020221,1653.2581442847159
461030108002008,0,0,0,0,17,11.9,0,10.2,22.1,450677.8369181207,69327.99651587475
460339652003036,0,0,0,0,12,8.4,0,7.2,15.6,17258.018112323516,29.565744418688258
461030110011000,169,2,141,26,1,1277.5,202.8,700.7,2181,442171.9452278618,46935.24510841765
461030116021060,0,0,0,0,1,0.7,0,0.6,1.3,244.00442432585177,0.9979127709214229
460930205003000,0,0,0,0,11,7.7,0,6.6,14.3,0,0
461030102012005,2,0,0,2,28,26.6,2.4,19.6,48.6,448762.24401673925,20475.902796981536
461030111001006,0,0,0,0,8,5.6,0,4.8,10.4,427201.05677056813,8680.50748271909
461030110023013,74,0,8,66,42,327.6,88.8,155.2,571.6,428859.5585245689,3078.1246881998222
461030109061001,141,118,0,23,1,163.8,169.2,91.8,424.8,441842.8621555699,2877.8314190296514
460930204022016,1,0,1,0,11,16.1,1.2,11.3,28.6,214316.3791630722,16930.38715145795
460930205003028,0,0,0,0,22,15.4,0,13.2,28.6,403331.50697528594,2689.4711487413865
460930202001012,1,0,0,1,4,6.3,1.2,3.8,11.3,393238.50272103347,2166.2641195992564
460930203041071,0,0,0,0,2,1.4,0,1.2,2.6,432442.65974272735,620.2963094605303
461030109061023,6,4,0,2,35,34.3,7.2,25.8,67.3,433285.7026882862,7601.727876178113
460339651001213,0,0,0,0,6,4.2,0,3.6,7.8,0,0
460339652002054,0,0,0,0,6,4.2,0,3.6,7.8,19377.030491137073,1733.4423188034968
461030116024043,3,0,0,3,5,14,3.6,7.2,24.8,5057.7478752914085,23.956984060642554
461030116024050,0,0,0,0,1,0.7,0,0.6,1.3,120709.14702223534,954.7267568696512
460339652002023,0,0,0,0,1,0.7,0,0.6,1.3,20264.10340702365,8338.689950131129
461030117004102,2,0,0,2,23,23.1,2.4,16.6,42.1,25988.5772560462,41.99976584001512
461030109084049,0,0,0,0,17,11.9,0,10.2,22.1,430533.71222231875,5900.142911598883
461030117002008,1,0,0,1,1,4.2,1.2,2,7.4,221027.643988084,116.2242889905742
461030116011065,3,3,0,0,17,13.999999999999998,3.6,11.7,29.3,271031.18337214,38.54500157246227
461030110023009,0,0,0,0,17,11.9,0,10.2,22.1,427097.1037178865,2715.4997448012123
461030116023288,0,0,0,0,1,0.7,0,0.6,1.3,12409.887914765555,0.9999886855842876
461030109051015,1,0,0,1,16,14.7,1.2,11,26.9,431897.66395160113,9271.5397234060365
461030117002028,12,4,1,7,2,37.1,14.4,17.7,69.2,84762.70123361476,4120.666005892102
461030106003005,0,0,0,0,16,11.2,0,9.6,20.8,431102.942944808,12825.017069495645
461030118001047,0,0,0,0,25,17.5,0,15,32.5,415680.9823416869,835.6256457232708
460930205002205,0,0,0,0,4,2.8,0,2.4,5.2,46.84634934258,4.987996671745376
460930203022043,0,0,0,0,2,1.4,0,1.2,2.6,28.933146413196,1.7268815385406706
460930203024046,0,0,0,0,2,1.4,0,1.2,2.6,358983.2125426344,85.13846168857883
460930205003009,1,1,0,0,8,6.3,1.2,5.3,12.8,185025.95129708387,35.408731290307074
460930204024004,0,0,0,0,67,46.9,0,40.2,87.1,145144.20928006768,7117.387531907236
460930203041040,2,1,0,1,8,9.8,2.4,6.7,18.9,333240.87852162274,131.5110483000279
460930203021037,0,0,0,0,1,0.7,0,0.6,1.3,33928.52722995546,0.9998215369932815
460930205002057,0,0,0,0,2,1.4,0,1.2,2.6,0,0
460339651002021,2,0,0,2,1,7.7,2.4,3.4,13.5,18857.97274721328,1772.1608584345531
461030102012021,3,3,0,0,2,3.5,3.6,2.7,9.8,451442.35100713064,54705.350937782554
461030114004031,5,1,4,0,28,53.9,6,36.1,96,447683.54321434605,3279.4396542283416
461030113001022,2,1,0,1,20,18.2,2.4,13.9,34.5,437905.30432057113,4802.781061210173
461030110051055,1,0,0,1,9,9.8,1.2,6.8,17.8,88552.2729710656,21.912742289680804
461030110051062,1,1,0,0,2,2.1,1.2,1.7,5,226880.10739608353,5.665396626971542
461030117003052,0,0,0,0,1,0.7,0,0.6,1.3,10373.06552948972,1.0022311263411259
461030107002013,0,0,0,0,23,16.1,0,13.8,29.9,436843.02827284136,42033.98767726485
460339651004050,0,0,0,0,9,6.3,0,5.4,11.7,10736.018777052328,11.077452848481327
461030110043004,0,0,0,0,1,0.7,0,0.6,1.3,424652.62666257576,2626.1214940706795
461030110041019,97,23,3,71,175,412.3,116.4,230,758.7,402674.2229649031,758.0507536705061
461030111003008,0,0,0,0,9,6.3,0,5.4,11.7,428911.711558917,6833.254270113637
461030109061027,10,5,0,5,19,34.3,12,20.9,67.2,431518.893933651,5930.95790018513
461030114004019,24,13,0,11,65,93.1,28.8,60.9,182.8,439176.4350109909,2029.4127752379854
461030109071089,0,0,0,0,20,14,0,12,26,428103.66735966527,619.873760157922
460930204023005,0,0,0,0,9,6.3,0,5.4,11.7,170981.02540188737,12026.304619100109
460930205002000,0,0,0,0,4,2.8,0,2.4,5.2,1693.2428719145612,15.691211470112702
461030116024006,20,5,6,9,22,100.8,24,56.5,181.3,149324.0331149258,770.0842634570391
460930204011098,0,0,0,0,9,6.3,0,5.4,11.7,178031.42501503456,4466.142113160135
461030116011043,0,0,0,0,2,1.4,0,1.2,2.6,12335.529104278161,3.5004899419239983
461030113003016,0,0,0,0,19,13.3,0,11.4,24.7,437855.73969462,6549.708095585049
461030117004119,0,0,0,0,1,0.7,0,0.6,1.3,11115.208348395636,1.1690948993970374
461030116022007,2,0,0,2,5,10.5,2.4,5.8,18.7,409651.9610745985,3084.4247504863743
461030109062001,1,1,0,0,10,7.7,1.2,6.5,15.4,431020.4517241872,7672.773584043952
461030116011177,0,0,0,0,1,0.7,0,0.6,1.3,377359.21533301054,20.156146738227896
461030116024010,0,0,0,0,2,1.4,0,1.2,2.6,293462.3764034987,1171.9652864083143
461030109071065,7,0,7,0,10,65.8,8.4,38.9,113.1,439674.04951998056,11675.411182655738
461030109071074,0,0,0,0,18,12.6,0,10.8,23.4,438146.44099451136,13715.6714377217
460930205001079,0,0,0,0,2,1.4,0,1.2,2.6,156.82554197648807,1.9993111895919975
460930205001073,22,13,0,9,5,44.1,26.4,22.1,92.6,190.76729783608945,110.47877259947225
460339651001096,0,0,0,0,2,1.4,0,1.2,2.6,5522.094674090732,1.9917640713035623
460930205001163,0,0,0,0,2,1.4,0,1.2,2.6,50857.41673624153,2.1893869604918303
460930205001108,0,0,0,0,3,2.1,0,1.8,3.9,13139.750081671204,2.9999632860406162
461030109061008,161,0,0,161,25,581,193.2,240.4,1014.6,439210.6618435448,17113.694785872947
460930205002037,0,0,0,0,1,0.7,0,0.6,1.3,1690.8501442685422,5.78461196812278
460930203032011,0,0,0,0,48,33.6,0,28.8,62.4,432853.4510409718,1485.5524037971454
460930203033074,0,0,0,0,4,2.8,0,2.4,5.2,436033.71672800486,856.4298905589088
460930204011064,0,0,0,0,10,7,0,6,13,163480.17276528134,2527.6482978736226
460930203033013,13,12,0,1,39,39.2,15.6,30.8,85.6,159942.06677755422,84.94158555131608
460930203022059,0,0,0,0,4,2.8,0,2.4,5.2,4633.907537675006,4.8765945654055045
460930205001101,0,0,0,0,8,5.6,0,4.8,10.4,0,0
460339651002009,12,0,11,1,35,120.4,14.4,74.1,208.9,14034.156999599425,207.9952300618768
460339651001231,0,0,0,0,4,2.8,0,2.4,5.2,148.04004069895348,4.999723509333653
461030110051054,3,0,0,3,2,11.9,3.6,5.4,20.9,199369.13890367612,826.696148897138
461030114001013,0,0,0,0,19,13.3,0,11.4,24.7,431704.383575763,871.2626874820744
461030109081001,8,8,0,0,69,53.9,9.6,45.4,108.9,387190.2299102183,937.5820012727362
