id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
484899503003031,0,0,0,0,16,11.2,0,9.6,20.8,21832.878309211574,6845.314433261845
484899503004005,40,18,22,0,1,198.1,48,113,359.1,21846.16185906505,7233.084296079102
484899505001062,0,0,0,0,10,7,0,6,13,21668.180823546787,3419.526531730315
484899505001123,0,0,0,0,3,2.1,0,1.8,3.9,21090.425219294928,22.052657943428557
484899503001093,0,0,0,0,9,6.3,0,5.4,11.7,20017.535507000033,11.045117113165302
484899507001171,0,0,0,0,4,2.8,0,2.4,5.2,19480.50462194867,188.29475277048746
484899506001028,0,0,0,0,11,7.7,0,6.6,14.3,21100.441868172133,990.6163018411905
484899507001039,0,0,0,0,5,3.5,0,3,6.5,6476.376395095384,101.16140302165655
484899503002025,0,0,0,0,18,12.6,0,10.8,23.4,21612.37639702502,5127.948614387844
484899507001339,0,0,0,0,6,4.2,0,3.6,7.8,3449.6288598196893,338.3681395034571
484899506002068,0,0,0,0,8,5.6,0,4.8,10.4,21007.04908238867,1004.0224116965817
484899503003007,0,0,0,0,19,13.3,0,11.4,24.7,21618.36747695369,5256.502168117446
484899506002038,0,0,0,0,21,14.7,0,12.6,27.3,20777.814076374336,915.2663812646801
484899504001105,5,5,0,0,2,4.9,6,3.7,14.6,20499.74699353866,15.24015368997509
484899506002034,0,0,0,0,5,3.5,0,3,6.5,20978.30085330463,1009.7571804064855
484899505002079,0,0,0,0,9,6.3,0,5.4,11.7,21680.340161467557,893.5942409507296
484899507001168,0,0,0,0,3,2.1,0,1.8,3.9,19485.950208544535,189.74145506095738
484899506002047,0,0,0,0,1,0.7,0,0.6,1.3,21009.60133765571,1004.3730844617647
484899503001071,0,0,0,0,20,14,0,12,26,21662.926969560798,7170.9331811429865
484899504005006,0,0,0,0,15,10.5,0,9,19.5,21696.46991598333,6565.364513817761
484899504005005,14,0,0,14,13,58.1,16.8,27.4,102.3,21718.263936789728,7187.445582956733
484899503004031,3,3,0,0,24,18.9,3.6,15.9,38.4,21692.587223291564,6802.682457021803
484899505001014,0,0,0,0,12,8.4,0,7.2,15.6,21604.43444983728,3146.701962084472
484899504002012,0,0,0,0,13,9.1,0,7.8,16.9,21834.861756512324,8278.104182763233
484899505001115,0,0,0,0,30,21,0,18,39,21598.189539152238,623.9742931203002
484899503001037,0,0,0,0,11,7.7,0,6.6,14.3,20919.124561890487,314.6589795138383
484899504003017,0,0,0,0,36,25.2,0,21.6,46.8,21673.86343862,8353.13646089554
484899505001033,0,0,0,0,2,1.4,0,1.2,2.6,20472.46003115543,2.7040293909755193
484899503001087,0,0,0,0,1,0.7,0,0.6,1.3,21387.80187451527,2.417777240403816
484899504001107,0,0,0,0,2,1.4,0,1.2,2.6,18671.60590835189,2.1878265452489583
484899505002131,0,0,0,0,5,3.5,0,3,6.5,17062.45639045071,6.74289579571891
484899506002074,0,0,0,0,9,6.3,0,5.4,11.7,21098.943947423802,935.0413567506469
484899506001063,0,0,0,0,1,0.7,0,0.6,1.3,13257.628512986637,0.9999820408809913
484899507001187,0,0,0,0,3,2.1,0,1.8,3.9,19221.68053939009,180.014501642114
484899503002035,0,0,0,0,18,12.6,0,10.8,23.4,21641.87678497943,4092.7924811097528
484899503002022,0,0,0,0,18,12.6,0,10.8,23.4,21674.787722788482,6242.653271562896
484899504001051,2,0,0,2,6,11.2,2.4,6.4,20,21250.06577125573,43.32278015348474
484899507001159,0,0,0,0,7,4.9,0,4.2,9.1,19789.558659778788,187.57968250819263
484899504004006,0,0,0,0,15,10.5,0,9,19.5,21757.553471608942,8882.964961271338
484899505001010,0,0,0,0,22,15.4,0,13.2,28.6,21353.71530872778,3033.346670507804
484899505001018,0,0,0,0,1,0.7,0,0.6,1.3,20804.319949033365,4.179584376279547
484899504004023,0,0,0,0,17,11.9,0,10.2,22.1,21734.06804952948,7963.129260942311
484899505002034,7,0,0,7,9,30.8,8.4,15.2,54.4,21690.28630675295,1808.200575678339
484899503003022,0,0,0,0,24,16.8,0,14.4,31.2,21791.831009553993,6230.480369155842
484899507002207,0,0,0,0,10,7,0,6,13,18947.35686088199,417.4807305821504
484899503004015,33,0,33,0,5,280.7,39.6,158.1,478.4,21834.7854763399,7904.678991009267
484899503001061,0,0,0,0,3,2.1,0,1.8,3.9,21343.27699189348,27.36053801649728
484899505002024,0,0,0,0,5,3.5,0,3,6.5,21666.73312582703,3416.308951266082
484899507001240,0,0,0,0,2,1.4,0,1.2,2.6,17331.086150636587,3.481414834028222
484899503002048,0,0,0,0,11,7.7,0,6.6,14.3,21688.314031431528,5793.585112401691
484899504001075,0,0,0,0,1,0.7,0,0.6,1.3,20807.618196784013,10.539588302855666
484899505002127,0,0,0,0,1,0.7,0,0.6,1.3,18696.233470012216,4.534505887184224
484899504004021,4,4,0,0,17,14.7,4.8,12.2,31.7,21716.88118327891,8157.338488752396
484899503001031,0,0,0,0,1,0.7,0,0.6,1.3,20473.913577092095,3.4882966307897876
484899503004007,0,0,0,0,19,13.3,0,11.4,24.7,21779.164115718548,6504.500713402877
484899505002149,0,0,0,0,8,5.6,0,4.8,10.4,21674.445483814863,3341.6356723080935
484899505001109,0,0,0,0,7,4.9,0,4.2,9.1,20888.01619305381,13.509387126440496
484899506002069,0,0,0,0,8,5.6,0,4.8,10.4,20960.133663925644,948.2348338882152
484899506002058,0,0,0,0,10,7,0,6,13,21068.758247412592,950.8774814109237
484899503003028,0,0,0,0,4,2.8,0,2.4,5.2,21771.947860591627,7831.01800520562
484899503001080,0,0,0,0,1,0.7,0,0.6,1.3,20967.279850323237,12.680280441804074
484899507002166,0,0,0,0,1,0.7,0,0.6,1.3,12857.50980406589,5.282762330724122
484899505001077,0,0,0,0,18,12.6,0,10.8,23.4,21468.440580117003,2996.326228228243
484899507001149,0,0,0,0,1,0.7,0,0.6,1.3,20202.60014977655,186.79295615939355
484899503004029,0,0,0,0,9,6.3,0,5.4,11.7,21732.002718851254,7900.071064259008
484899503001068,0,0,0,0,14,9.8,0,8.4,18.2,21710.54008687247,7547.433429232257
484899503002028,0,0,0,0,3,2.1,0,1.8,3.9,21574.906397822146,3260.8314976265265
484899506001085,0,0,0,0,6,4.2,0,3.6,7.8,20936.68635360022,408.56917992928453
484899505002033,0,0,0,0,20,14,0,12,26,21683.492416978297,1487.8513068103166
484899503001083,0,0,0,0,3,2.1,0,1.8,3.9,21783.07192816516,406.473868228684
484899507002187,0,0,0,0,6,4.2,0,3.6,7.8,19160.8352498833,390.700307305677
484899505002069,12,12,0,0,5,11.9,14.4,9,35.3,21393.449789807542,44.266002480290794
