id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
060890106024009,4,0,0,4,102,85.4,4.8,66.8,157,460138.2645970395,1378.9511885817412
060890123031025,0,0,0,0,6,4.2,0,3.6,7.8,82649.3632183178,86.50881445776598
060890123011022,5,4,0,1,17,18.2,6,13.6,37.8,464820.556655528,817.9181976696075
060890112093014,0,0,0,0,13,9.1,0,7.8,16.9,475436.8132537388,5592.900914126902
060890107021002,0,0,0,0,10,7,0,6,13,464294.2254608964,171.72199033581518
060890118021001,0,0,0,0,7,4.9,0,4.2,9.1,455839.9101225538,558.7979615023476
060890126041082,1,1,0,0,1,1.4,1.2,1.1,3.7,17.44420288285503,3.535329179254185
060890126033054,0,0,0,0,1,0.7,0,0.6,1.3,8294.479854799642,160.44286983846897
060890115022021,108,100,0,8,24,114.8,129.6,75.6,320,451916.06009632093,738.0472318085377
060890121012037,0,0,0,0,6,4.2,0,3.6,7.8,467912.6189309099,14042.608989760824
060890117011017,1,0,0,1,36,28.7,1.2,22.999999999999996,52.9,465434.0781488034,1501.1006316156054
060890127014032,8,0,0,8,1,28.7,9.6,11.8,50.1,13040.490669828981,530.088306798543
060890125001026,0,0,0,0,7,4.9,0,4.2,9.1,598.8634004448489,28.526999118244486
060890115021022,0,0,0,0,15,10.5,0,9,19.5,467753.74001466826,406.4867715501296
060890126031054,0,0,0,0,5,3.5,0,3,6.5,2713.6371959853523,5.992683792128149
060890102001007,0,0,0,0,6,4.2,0,3.6,7.8,474474.0359911284,62555.98559852461
060890102002028,0,0,0,0,11,7.7,0,6.6,14.3,475378.6176589143,28853.141395273706
060890102002026,0,0,0,0,17,11.9,0,10.2,22.1,474466.54394347756,27243.002997125703
060890117032004,4,0,0,4,19,27.3,4.8,17,49.1,458103.23319478857,6257.550811283042
060890114021011,0,0,0,0,15,10.5,0,9,19.5,471026.3601785194,3549.5333080261667
060890114032015,7,0,0,7,28,44.1,8.4,26.6,79.1,471506.98650627123,5426.280078255812
060890107032015,0,0,0,0,6,4.2,0,3.6,7.8,470733.7946628289,10186.136232908846
060890108072014,0,0,0,0,49,34.3,0,29.4,63.7,464018.3748656256,385.9784112047003
060890117011007,0,0,0,0,12,8.4,0,7.2,15.6,465366.7295598931,4151.5369176366185
060890107021022,4,0,0,4,33,37.1,4.8,25.4,67.3,471531.6124142024,17383.273809976003
060890127022013,0,0,0,0,5,3.5,0,3,6.5,3884.494918207514,12.10854146742895
060890107031009,12,0,0,12,37,67.9,14.4,39,121.3,468489.461265528,2993.11603488348
