id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
160439702001022,0,0,0,0,3,2.1,0,1.8,3.9,3670.896408494642,22.32409688174549
160659501012001,3,0,0,3,16,21.7,3.6,13.8,39.1,83068.22861734348,53.785228076829334
160659501022026,0,0,0,0,4,2.8,0,2.4,5.2,129606.65905114933,5.460836054294508
160659505011007,0,0,0,0,8,5.6,0,4.8,10.4,130654.2273662601,4188.181079115863
160659505021002,0,0,0,0,34,23.8,0,20.4,44.2,107817.48357780062,287.5947231642869
160659501022074,0,0,0,0,7,4.9,0,4.2,9.1,133361.22652778696,2831.3167217749055
160439701001923,0,0,0,0,4,2.8,0,2.4,5.2,1560.3243758583874,12.266646535573676
160439703014016,0,0,0,0,8,5.6,0,4.8,10.4,130841.85408152464,5738.5768986449175
160659501022114,5,0,0,5,2,18.9,6,8.2,33.1,95460.37278155828,38.314870702641315
160659505011017,2,0,0,2,26,25.2,2.4,18.4,46,123965.54407054625,57.50463630807942
160439703021034,0,0,0,0,16,11.2,0,9.6,20.8,130878.25264899677,7757.178686079133
160439702002004,0,0,0,0,8,5.6,0,4.8,10.4,68560.7261158693,2972.987193439482
160439703021027,0,0,0,0,14,9.8,0,8.4,18.2,130801.3176641452,7722.9496939756145
160439702004020,0,0,0,0,11,7.7,0,6.6,14.3,119955.84754613388,174.12793828573163
160439702002018,0,0,0,0,3,2.1,0,1.8,3.9,72540.08593169512,2210.2133178924137
160659504011011,3,0,0,3,35,35,3.6,25.2,63.8,129164.8831258013,1601.2279879414273
160659505012063,0,0,0,0,1,0.7,0,0.6,1.3,112764.35319876665,39.6970615715687
160439703013027,0,0,0,0,11,7.7,0,6.6,14.3,91089.29605985053,299.2152522674207
160659504022008,209,7,44,158,29,947.8,250.8,448.9,1647.5,133290.48896630437,49420.17989621001
160659501012008,0,0,0,0,5,3.5,0,3,6.5,30046.46717151968,70.23631388172937
160439703014017,0,0,0,0,9,6.3,0,5.4,11.7,131195.81055243447,6182.082259619576
160659505012004,0,0,0,0,1,0.7,0,0.6,1.3,119552.0880224515,72.78905234710435
160439702002053,0,0,0,0,11,7.7,0,6.6,14.3,74233.73236966837,3064.8112300471435
160439701001755,0,0,0,0,1,0.7,0,0.6,1.3,1025.5397782810146,0.9991976658167546
160439701001947,0,0,0,0,7,4.9,0,4.2,9.1,2127.8249976408374,73.796344952565
160439703014018,0,0,0,0,9,6.3,0,5.4,11.7,132167.78865824087,6583.667026759232
160439702001010,0,0,0,0,6,4.2,0,3.6,7.8,3309.5134305542256,25.699985319507643
160439703022058,0,0,0,0,11,7.7,0,6.6,14.3,128346.23186525436,130.44142657853232
160439703011008,0,0,0,0,4,2.8,0,2.4,5.2,131391.3806010764,7207.763783124436
160659501022078,6,0,0,6,4,23.8,7.2,10.8,41.8,133459.57470084252,3038.7915134311525
160659501022014,0,0,0,0,1,0.7,0,0.6,1.3,134025.37145070697,79.8435307412578
160659504021025,1,1,0,0,7,5.6,1.2,4.7,11.5,110410.99001421154,40.691401924775484
160659504022017,0,0,0,0,19,13.3,0,11.4,24.7,132097.216943591,39621.034827634074
