id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
291618901003063,0,0,0,0,1,0.7,0,0.6,1.3,19558.45868609044,12.455675044002625
291618910001053,0,0,0,0,1,0.7,0,0.6,1.3,12484.713375475347,35.0735160592288
291618902004003,0,0,0,0,26,18.2,0,15.6,33.8,17802.31724252504,361.37108816142074
291618902006026,0,0,0,0,32,22.4,0,19.2,41.6,18930.065654102727,753.4840255167926
291618909002014,0,0,0,0,5,3.5,0,3,6.5,20584.338475732766,2904.009877176421
291618902006013,0,0,0,0,9,6.3,0,5.4,11.7,19071.538827434048,965.904254608583
291618907001011,0,0,0,0,5,3.5,0,3,6.5,19068.347287964687,57.87684531969597
291618907001008,0,0,0,0,14,9.8,0,8.4,18.2,18492.259431005794,40.578792186008265
291618903012028,0,0,0,0,13,9.1,0,7.8,16.9,19863.73334737611,1514.7496365335717
291618907002022,0,0,0,0,28,19.6,0,16.8,36.4,10941.498277404216,38.969678403772676
291618903021010,0,0,0,0,19,13.3,0,11.4,24.7,20335.520241133934,3244.680219724344
291618904021010,0,0,0,0,7,4.9,0,4.2,9.1,20144.050046604607,1058.2409201193032
291618901001006,0,0,0,0,10,7,0,6,13,13193.754480692654,13.090895060315981
291618910002049,0,0,0,0,1,0.7,0,0.6,1.3,4882.318566509469,6.7330049703263795
291618907001013,0,0,0,0,9,6.3,0,5.4,11.7,19594.038738710435,19.521284375815064
291618906001110,0,0,0,0,5,3.5,0,3,6.5,10915.019675205489,5.999504032644828
291618905002011,0,0,0,0,18,12.6,0,10.8,23.4,6972.479527238045,23.15482894899981
291618902001021,0,0,0,0,5,3.5,0,3,6.5,19201.454664512734,1302.6675176060796
291618901001035,0,0,0,0,7,4.9,0,4.2,9.1,18420.234878092593,11.176182740200275
291618901003042,0,0,0,0,9,6.3,0,5.4,11.7,16915.53241399674,25.591317639898875
291618909003024,0,0,0,0,20,14,0,12,26,20105.245998022117,1667.7397336569231
291618904011010,0,0,0,0,22,15.4,0,13.2,28.6,20589.240197935374,2672.079843253229
