id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
410192100005293,0,0,0,0,4,2.8,0,2.4,5.2,12867.216845714147,1854.8200041724199
410190500032047,24,24,0,0,12,25.2,28.8,19.2,73.2,199993.87785293185,2388.5937924255027
410190500012074,0,0,0,0,13,9.1,0,7.8,16.9,198728.77438039097,877.703748712294
410191300011053,0,0,0,0,1,0.7,0,0.6,1.3,229727.14802659635,14940.02628288539
410190700002074,0,0,0,0,20,14,0,12,26,75.56536966676104,25.98331235721428
410191700001005,0,0,0,0,6,4.2,0,3.6,7.8,211817.99179945304,40.575825512210216
410192000001051,0,0,0,0,8,5.6,0,4.8,10.4,40196.54704651877,346.07152565075194
410191600012004,0,0,0,0,8,5.6,0,4.8,10.4,216528.59730137727,6818.65990365018
410192100001634,0,0,0,0,2,1.4,0,1.2,2.6,1.80570349267851,1.7502299301467235
410190500032002,0,0,0,0,12,8.4,0,7.2,15.6,185329.89146356616,5861.367225780155
410190700002176,15,4,10,1,79,145.6,18,97.8,261.4,179996.25749445206,261.690328332441
410191600023037,15,0,0,15,11,60.2,18,27.6,105.8,218785.90297987018,11553.371836647004
410191600021020,0,0,0,0,18,12.6,0,10.8,23.4,214163.66878970442,9372.10541440722
410190500032004,9,0,8,1,31,92.4,10.8,57.6,160.8,168723.96766405192,3541.761242829892
410191400002015,0,0,0,0,6,4.2,0,3.6,7.8,223591.66863339936,8096.028183595809
410191600021029,0,0,0,0,4,2.8,0,2.4,5.2,224151.38866598762,10434.326711983798
410190400001026,61,61,0,0,1,43.4,73.2,31.1,147.7,72128.61076498561,567.2631358131634
410190500014027,0,0,0,0,1,0.7,0,0.6,1.3,133537.17979387048,32.12531004452622
410191700002054,2,2,0,0,7,6.3,2.4,5.2,13.9,40.29968115628984,12.857159859239028
410191300021026,20,0,0,20,14,79.8,24,36.4,140.2,227724.64651412185,27652.747543403693
410190300003277,0,0,0,0,7,4.9,0,4.2,9.1,2153.882414832854,10.979408277374596
410190300003263,12,0,0,12,4,44.8,14.4,19.2,78.4,7917.852742382207,843.0072886639273
410190500013032,0,0,0,0,1,0.7,0,0.6,1.3,169730.0378471284,1351.432367627703
410190500011059,3,0,0,3,7,15.4,3.6,8.4,27.4,2325.857027465781,27.287834522610467
410192100005203,0,0,0,0,5,3.5,0,3,6.5,3142.7490217538575,5.999922016743627
410190300003156,0,0,0,0,3,2.1,0,1.8,3.9,12001.274455526234,29.02292336185465
410190700001020,52,27,0,25,50,141.4,62.4,78.5,282.3,178324.0285577717,286.20624241849447
410191900003013,0,0,0,0,23,16.1,0,13.8,29.9,187128.53597537806,2234.3415592605097
410192100002068,0,0,0,0,3,2.1,0,1.8,3.9,12017.497148259908,5.193145575384869
410191600021013,30,0,23,7,20,231.7,36,129.9,397.6,222837.7639818385,1998.854015363613
410192000001058,0,0,0,0,30,21,0,18,39,36381.578435709656,62.48405827386063
410192000003152,0,0,0,0,1,0.7,0,0.6,1.3,131191.8692949382,5417.10029354008
410190600002034,20,12,0,8,24,53.2,24,31.6,108.8,201177.08553886245,157.22358294703423
410192100004163,0,0,0,0,7,4.9,0,4.2,9.1,17531.108670551617,108.54833562657062
410190500041020,0,0,0,0,14,9.8,0,8.4,18.2,198342.79306226142,6087.377484810128
410191300022036,0,0,0,0,6,4.2,0,3.6,7.8,226771.0307414224,8727.967966978047
410192000003058,0,0,0,0,2,1.4,0,1.2,2.6,110195.81384526087,9.88165202257392
410191700001021,0,0,0,0,25,17.5,0,15,32.5,200259.96535907793,43.03149990164259
410190500013076,0,0,0,0,2,1.4,0,1.2,2.6,179127.35331267124,1435.2959662018961
410191200025019,364,7,0,357,18,1267,436.8,514.1,2217.9,226279.89598236457,21563.172361945853
410190800023005,1,0,0,1,20,17.5,1.2,13.4,32.1,217169.73661861537,12588.928110658246
410191800001023,0,0,0,0,25,17.5,0,15,32.5,145881.74881843358,412.4204151150827
410190400002009,5,5,0,0,20,17.5,6,14.5,38,59376.23678301574,1048.7412547035021
410190200002043,1,1,0,0,2,2.1,1.2,1.7,5,12300.661003155366,1194.6232151046713
410190200001008,0,0,0,0,11,7.7,0,6.6,14.3,12607.027240519506,7324.673739676776
410191400005009,1,1,0,0,57,40.6,1.2,34.7,76.5,229372.36014727826,17909.50414810992
410191600023016,0,0,0,0,1,0.7,0,0.6,1.3,219400.13337629216,99.32435405389208
410192100005258,0,0,0,0,7,4.9,0,4.2,9.1,11443.812168385486,1415.0927321326085
410190300002005,0,0,0,0,7,4.9,0,4.2,9.1,25348.799382838257,485.0900235038159
410192100002047,1,0,0,1,9,9.8,1.2,6.8,17.8,14954.47407818814,258.98428699145654
410191600011000,0,0,0,0,24,16.8,0,14.4,31.2,216435.9335479635,230.09889827394224
410190200004022,0,0,0,0,8,5.6,0,4.8,10.4,12195.105095144048,684.5929427681295
410191700003014,7,7,0,0,39,32.2,8.4,26.9,67.5,36740.14359788085,66.99966544588844
410191600023057,0,0,0,0,1,0.7,0,0.6,1.3,214154.18987514565,1615.9593348897856
