id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
410530053012011,0,0,0,0,136,95.2,0,81.6,176.8,994091.2032032463,2728.278049253207
410470107022040,4,1,0,3,4,14,4.8,7.1,25.9,923808.8846564868,1025.8741129577938
410470022023007,8,0,0,8,25,45.5,9.6,26.2,81.3,1018198.7306585226,13065.727239216238
410470014023017,3,0,0,3,26,28.7,3.6,19.8,52.1,1052080.8188245231,20902.01295325985
410470015033003,0,0,0,0,28,19.6,0,16.8,36.4,1106213.783620828,20796.202441519075
410470015033011,0,0,0,0,9,6.3,0,5.4,11.7,1098325.1793351353,26399.386910671627
410470010002012,47,0,18,29,5,256.2,56.4,128.2,440.8,1107354.5521807976,95506.23190144161
410470012001038,0,0,0,0,11,7.7,0,6.6,14.3,1073090.1846220668,88057.4364852711
410470106001091,10,0,4,6,6,58.8,12,30.8,101.6,73850.42603074532,1008.658068607472
410470028001024,7,7,0,0,23,20.999999999999996,8.4,17.3,46.7,707584.001544117,81.37096740600862
410470107023025,0,0,0,0,17,11.9,0,10.2,22.1,909002.2467394321,2777.6773603003658
410470105014020,0,0,0,0,9,6.3,0,5.4,11.7,763854.9424945088,17463.476676273505
410470105013026,0,0,0,0,1,0.7,0,0.6,1.3,575441.1104098096,1165.535483379719
410470022023003,0,0,0,0,24,16.8,0,14.4,31.2,1000403.1270622063,11239.022294436201
410470103073032,0,0,0,0,6,4.2,0,3.6,7.8,864769.663982582,14463.420204299084
410470012001028,0,0,0,0,8,5.6,0,4.8,10.4,1064091.9000229225,91212.31557074314
410470020022012,0,0,0,0,4,2.8,0,2.4,5.2,1016983.2733259702,5045.085822112611
410470024001009,0,0,0,0,3,2.1,0,1.8,3.9,979493.4223709246,490.6557018683294
410470105011019,0,0,0,0,9,6.3,0,5.4,11.7,123336.80462942582,387.2441803727339
410530204001073,0,0,0,0,5,3.5,0,3,6.5,53129.857025544385,6.968599893507696
410470009002009,44,0,0,44,21,168.7,52.8,74.2,295.7,1129470.3665520288,57827.464439766
410470107022077,3,0,0,3,29,30.8,3.6,21.6,56,358126.76106113533,56.57516067828695
410470102012012,5,0,0,5,13,26.6,6,14.8,47.4,452005.7109078142,2651.7980441103514
410470104005042,49,0,0,49,3,173.6,58.8,70.4,302.8,306750.9525769128,947.7061927715824
410470004001016,25,0,0,25,23,103.6,30,48.8,182.4,1139233.7222295376,34962.00500436447
410530204001026,2,0,0,2,7,11.9,2.4,7,21.3,65283.1679583447,502.63543696320073
410530204003199,0,0,0,0,2,1.4,0,1.2,2.6,67980.46441975102,1208.1385990222975
410530205001075,0,0,0,0,15,10.5,0,9,19.5,123100.19673845392,23.554231877177806
410470018025009,0,0,0,0,50,35,0,30,65,1096196.4376867798,8674.220493558189
410470020022010,0,0,0,0,4,2.8,0,2.4,5.2,1014334.0960955733,4657.805123874291
410470106001099,0,0,0,0,25,17.5,0,15,32.5,66677.71133318586,925.8714303973226
410470026002003,0,0,0,0,4,2.8,0,2.4,5.2,604308.1120152571,123.88658158409363
410470022021004,2,2,0,0,17,13.3,2.4,11.2,26.9,1020529.1055165865,6224.571664992216
410470018011013,0,0,0,0,11,7.7,0,6.6,14.3,1085105.6442762783,17022.824147974043
410470018013009,0,0,0,0,21,14.7,0,12.6,27.3,1122001.968150885,26071.048473976607
410470104004017,3,1,0,2,26,25.9,3.6,18.9,48.4,417356.60441532003,5350.754977892927
410470021021016,0,0,0,0,10,7,0,6,13,1041449.3897498613,21829.881310503974
410470027022010,17,0,0,17,113,138.6,20.4,91.6,250.6,899715.1328272205,395.85976311408615
410470101001093,4,4,0,0,11,10.5,4.8,8.6,23.9,754652.0851040245,28.157812880284972
410470103032043,0,0,0,0,1,0.7,0,0.6,1.3,650590.2508537056,98.9619772267078
410470003004021,0,0,0,0,19,13.3,0,11.4,24.7,1135266.401390638,80880.46466269983
410470105033067,0,0,0,0,8,5.6,0,4.8,10.4,674276.1771274765,295.4995695875104
410470021021009,0,0,0,0,16,11.2,0,9.6,20.8,1022707.5195280844,21471.274653921162
410470021021018,0,0,0,0,11,7.7,0,6.6,14.3,1022326.819010034,24081.34668274611
410470025022032,82,48,34,0,89,381.5,98.4,237.2,717.1,1079154.4304044852,940.9429771893692
410470016072000,0,0,0,0,33,23.1,0,19.8,42.9,1086234.4828996838,37144.798854907836
410470014012017,0,0,0,0,5,3.5,0,3,6.5,1008856.9019140732,4711.584838411408
410470102024006,1,0,0,1,36,28.7,1.2,22.999999999999996,52.9,485098.4635340148,4431.138932881016
410470012002005,9,0,0,9,24,48.3,10.8,27,86.1,1082150.788634172,57696.323038948445
410470101001067,1,1,0,0,8,6.3,1.2,5.3,12.8,304363.2123215789,1751.4078753880485
410470103031041,11,0,0,11,3,40.6,13.2,17.2,71,891056.2652885937,2600.76966623167
410530204001005,1,1,0,0,1,1.4,1.2,1.1,3.7,55908.435714902094,13.215397087825712
410530051001020,127,0,0,127,24,461.3,152.4,192.2,805.9,1110484.110024113,29160.968148855543
410470024002040,0,0,0,0,7,4.9,0,4.2,9.1,881929.1515301099,1391.4145830012271
410470009005008,42,16,0,26,82,159.6,50.4,93.6,303.6,1107230.45236435,89094.71669532843
410470107022014,0,0,0,0,21,14.7,0,12.6,27.3,698130.2636633739,62.215907238492015
410470022023013,10,5,0,5,24,37.8,12,23.9,73.7,988701.067747716,14575.585251508439
410530203044030,5,0,0,5,5,21,6,10,37,644553.0107732957,21189.95560800901
410530203051009,5,0,0,5,17,29.4,6,17.2,52.6,669381.5793514316,12325.443815345288
410530053021009,26,26,0,0,11,25.9,31.2,19.6,76.7,88178.1668960811,75.80345014516044
410470016081000,20,20,0,0,99,83.3,24,69.4,176.7,1070799.7800634236,16428.80494557381
410470025041010,2,0,0,2,62,50.4,2.4,39.99999999999999,92.8,1054467.8173491033,5982.015575075789
410470016012008,18,0,0,18,23,79.1,21.6,39,139.7,1090796.1623294782,9264.912277171674
410470016082008,0,0,0,0,21,14.7,0,12.6,27.3,1077369.2245964152,18922.446131999634
410470015031001,9,9,0,0,13,15.4,10.8,12.3,38.5,1089814.8578234266,18556.09548089357
410530052053004,2,0,0,2,32,29.4,2.4,22,53.8,1036103.2424778431,5694.142653077707
410470014013001,0,0,0,0,6,4.2,0,3.6,7.8,1083882.4254556526,24029.481618577734
410470027021008,28,0,2,26,1,108.5,33.6,46.4,188.5,943985.5654051169,436.0829145834361
410530203055012,0,0,0,0,16,11.2,0,9.6,20.8,687574.0615449704,12150.923775145387
410530203032005,7,0,0,7,10,31.5,8.4,15.8,55.7,512011.99854892166,18310.148435931616
410470025023039,0,0,0,0,7,4.9,0,4.2,9.1,1073810.051860515,195.99330756030673
410470020011018,15,1,0,14,153,156.8,18,111.9,286.7,1067055.5053619745,26504.723190242985
410470020021024,0,0,0,0,20,14,0,12,26,1049304.7138542836,4239.238354019677
410470009003021,11,6,0,5,11,29.4,13.2,16.6,59.2,1118408.780346071,77955.26703663396
410470102022009,1,0,0,1,31,25.2,1.2,19.999999999999996,46.4,359965.27663628507,2546.094617241521
410470103082001,0,0,0,0,15,10.5,0,9,19.5,717121.8814823036,4479.727454035052
410470105013010,0,0,0,0,13,9.1,0,7.8,16.9,607143.5301816969,4362.680472080912
410470022023000,244,27,61,156,177,1201.2,292.8,624.8,2118.8,1015694.5648689647,12231.38937677662
410470021023000,0,0,0,0,16,11.2,0,9.6,20.8,1041136.5216477059,20640.74675716773
410470018012001,46,1,24,21,10,282.8,55.2,148.7,486.7,1113890.3923101479,45793.45566281201
410470020011003,74,17,0,57,20,225.4,88.8,100.3,414.5,1051770.523612582,24120.75388805368
410470014011005,9,9,0,0,40,34.3,10.8,28.5,73.6,943710.2486353231,3935.92533173175
410470102024055,0,0,0,0,32,22.4,0,19.2,41.6,570420.420478783,5092.526046811017
410470023043003,0,0,0,0,23,16.1,0,13.8,29.9,1017701.4089800037,18322.658630935395
410530205003002,1,1,0,0,26,18.9,1.2,16.1,36.2,462234.3496263275,10244.093100200907
410530203044000,0,0,0,0,1,0.7,0,0.6,1.3,577879.8870340341,4838.09750466097
410530203031011,2,0,0,2,27,25.9,2.4,19,47.3,669294.5839219728,4408.105371730705
410470107014023,43,36,3,4,108,140,51.6,102.5,294.1,846862.247300331,15906.583509047066
410470016033000,54,1,0,53,41,214.9,64.8,99.3,379,1023056.663924774,5554.419430770038
410470107021022,1,1,0,0,6,4.9,1.2,4.1,10.2,512638.51943946816,10.122359083945097
410470107021027,0,0,0,0,8,5.6,0,4.8,10.4,134354.2690147352,15.582592165999953
410470108023036,0,0,0,0,7,4.9,0,4.2,9.1,653796.7666153442,3125.9398039117423
410470003001026,7,0,6,1,29,74.2,8.4,47,129.6,1136932.6229748703,67670.65679787147
410470107012033,0,0,0,0,4,2.8,0,2.4,5.2,829591.4027098475,14825.039245219512
410470023043001,5,1,0,4,101,85.4,6,66.7,158.1,1052807.4434535727,17473.759406024077
410470102021036,1,1,0,0,7,5.6,1.2,4.7,11.5,247436.71270239438,763.5364546328221
410470014021002,4,4,0,0,35,27.3,4.8,23,55.1,1041923.5656007065,9536.268836076484
410470103094032,0,0,0,0,19,13.3,0,11.4,24.7,807328.3347712323,11207.095417632952
410470010001033,114,114,0,0,21,94.5,136.8,69.6,300.9,1106335.2502394626,33676.76246720123
410470107011006,0,0,0,0,24,16.8,0,14.4,31.2,719813.84775178,954.107088728913
410470021024005,4,0,0,4,16,25.2,4.8,15.2,45.2,1027139.2882607051,23355.012974971636
410470103094003,0,0,0,0,7,4.9,0,4.2,9.1,860629.2608216703,23362.40562314642
410470102023015,9,3,0,6,21,37.8,10.8,22.5,71.1,545164.1293226106,233.63899220797632
410530202033008,16,0,0,16,3,58.1,19.2,24.2,101.5,543280.6537239514,27972.591815251028
410470107015006,2,0,0,2,14,16.8,2.4,11.2,30.4,890456.4013269404,10877.481176390105
410470024002046,35,13,0,22,177,210,42,143.5,395.5,857215.6173926829,396.0341770328273
410470107011008,0,0,0,0,22,15.4,0,13.2,28.6,896748.2825012443,8252.350367964294
410470003001004,0,0,0,0,13,9.1,0,7.8,16.9,1138919.1959537629,47900.114680371844
410470107015013,0,0,0,0,14,9.8,0,8.4,18.2,831218.8824190705,3271.972208855414
410470104002010,0,0,0,0,6,4.2,0,3.6,7.8,476545.43787597655,7389.75356458907
410470104005038,0,0,0,0,7,4.9,0,4.2,9.1,476729.1680443112,5022.476199043107
