id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
060855109001003,1,0,0,1,32,25.9,1.2,20.6,47.7,5802513.324125711,29559.679537206164
060855078083002,4,0,0,4,29,34.3,4.8,23,62.1,6389174.240961226,41229.90570053295
060855123082009,1,0,0,1,17,15.4,1.2,11.6,28.2,2708464.7851081733,3956.381921912698
060855123082037,19,1,0,18,16,74.9,22.8,35.3,133,3451906.2874213513,11902.363860538777
060855067032006,0,0,0,0,9,6.3,0,5.4,11.7,6087562.848995062,17844.698889590978
060855063014007,0,0,0,0,20,14,0,12,26,6417458.223189279,99769.00650070746
060855122003010,1,1,0,0,10,7.7,1.2,6.5,15.4,263384.10928106634,362.3828560320549
060855073016001,23,5,0,18,26,84.7,27.6,43.3,155.6,5833156.756493682,1550.998842787421
060855091093001,13,0,2,11,203,197.4,15.6,146.6,359.6,6269749.874473797,45476.547866347246
060855123102035,0,0,0,0,14,9.8,0,8.4,18.2,1827774.220341362,3005.7608868608836
060855069003010,6,0,0,6,36,46.2,7.2,29.999999999999996,83.4,5403339.45533442,1691.198351500715
060855071002007,0,0,0,0,8,5.6,0,4.8,10.4,5943911.474067655,42409.13373345505
060855120381015,0,0,0,0,14,9.8,0,8.4,18.2,5459915.48005582,4143.783060493587
060855044243009,7,5,0,2,38,37.1,8.4,28.1,73.6,5617640.621124793,1252.9704811951556
060855120214016,0,0,0,0,24,16.8,0,14.4,31.2,5572952.485265225,5727.985697653474
060855120223004,36,1,0,35,493,468.3,43.2,345.3,856.8,5735423.842112203,23093.93483318027
060855120223001,6,6,0,0,19,17.5,7.2,14.4,39.1,5841696.653661396,23433.3955973638
060855042012001,0,0,0,0,7,4.9,0,4.2,9.1,5684413.343415879,5495.0693784537325
060855050141002,0,0,0,0,16,11.2,0,9.6,20.8,6263706.34981375,38164.07105738052
060855125152014,0,0,0,0,4,2.8,0,2.4,5.2,451246.84414262074,1112.7456536947977
060855086021003,1,1,0,0,61,43.4,1.2,37.1,81.7,6266323.450359764,70347.12234594472
060855044152006,0,0,0,0,27,18.9,0,16.2,35.1,5813715.1790949,21269.132788213105
060855043211012,6,0,0,6,126,109.2,7.2,84,200.4,5905601.768361333,14662.823933431358
060855048022007,6,0,0,6,63,65.1,7.2,46.2,118.5,6463730.414358118,30549.96806361118
060855072053012,5,1,0,4,50,49.7,6,36.1,91.8,6066217.554573178,7517.13651765356
060855072032007,46,4,0,42,17,161.7,55.2,71,287.9,6120999.029359651,19229.26303119329
060855029022008,1,0,0,1,19,16.8,1.2,12.8,30.8,5895167.426466773,23825.189816779348
060855041022007,2,0,1,1,19,25.2,2.4,17.5,45.1,5976858.470406595,20544.950270041907
060855118001049,0,0,0,0,5,3.5,0,3,6.5,3223656.773872666,229.63435780176343
060855050071033,20,1,0,19,32,89.6,24,46.3,159.9,6395666.291690336,36297.84898229764
060855088002008,0,0,0,0,16,11.2,0,9.6,20.8,6349044.362301857,76408.2981373599
060855088001014,1,0,0,1,181,130.2,1.2,110,241.4,6423131.3930971725,79648.29298627445
060855031243007,49,0,47,2,78,456.4,58.8,270.5,785.7,6199740.816281624,40928.09262394568
060855111001006,4,0,0,4,6,18.2,4.8,9.2,32.2,5718975.114871612,7962.870102763902
060855037111002,0,0,0,0,57,39.9,0,34.2,74.1,6304718.90421897,35956.98903388032
060855063043001,698,153,12,533,225,2230.9,837.6,1014.1,4082.6,6472374.285132792,66066.46629879401
060855101002007,1,0,0,1,16,14.7,1.2,11,26.9,6051800.728754739,2300.0531804474567
060855053054016,2,0,0,2,24,23.8,2.4,17.2,43.4,6324673.301759895,41003.32943206968
060855025005002,5,0,0,5,80,73.5,6,55,134.5,6196914.477255442,22526.951864362545
060855052032014,3,0,0,3,77,64.4,3.6,50.4,118.4,6365673.117616572,59563.54872159816
060855084013003,81,0,0,81,160,395.5,97.2,209.4,702.1,6282965.953467045,18440.694258440235
060855124013031,507,13,0,494,2,1739.5,608.4,699.3,3047.2,950543.2514010564,9298.803092159511
060855033324021,1,0,0,1,31,25.2,1.2,19.999999999999996,46.4,2878795.42612942,388.85809971266707
