id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
060790110021031,1,0,0,1,85,62.99999999999999,1.2,52.4,116.6,541159.2188769284,60003.861101725386
060790120011009,6,0,0,6,26,39.2,7.2,24,70.4,481435.35815101967,24963.0180953646
060790107031023,0,0,0,0,5,3.5,0,3,6.5,426901.03871050436,11022.110343542254
060790107072038,0,0,0,0,3,2.1,0,1.8,3.9,406014.92186752293,5043.342542816294
060790103012156,0,0,0,0,4,2.8,0,2.4,5.2,1413.9948526912337,4.997637329673102
060790115053085,0,0,0,0,1,0.7,0,0.6,1.3,563922.146797792,245.46998029963427
060790110021007,70,0,0,70,64,289.8,84,136.4,510.2,628001.7586106431,50302.431469624506
060790106021024,0,0,0,0,1,0.7,0,0.6,1.3,381704.60320209665,11382.759343555232
060790130002079,2,0,2,0,2,18.2,2.4,10.6,31.2,212030.34756929995,98.37071732449327
060790107031035,4,0,0,4,70,63,4.8,47.6,115.4,414925.37260930176,10230.634700708866
060790110011013,16,0,0,16,142,155.4,19.2,107.6,282.2,580576.7435482346,19202.354492734426
060790100162023,0,0,0,0,10,7,0,6,13,187368.03111837525,2442.469493848978
060790109022005,73,0,3,70,51,305.9,87.6,142.7,536.2,653988.1443038464,69102.82853839581
060790102023015,0,0,0,0,24,16.8,0,14.4,31.2,238142.27148221803,8563.933365146171
060790116001037,0,0,0,0,23,16.1,0,13.8,29.9,517064.8503308064,1405.144218097882
060790125051042,12,4,0,8,26,49,14.4,28.8,92.2,464551.71628818364,4615.150981880424
060790125021006,5,0,0,5,31,39.2,6,25.6,70.8,480185.45943896397,8889.858238247241
060790102051002,0,0,0,0,21,14.7,0,12.6,27.3,260490.60553894672,22774.30516023544
060790115052013,7,4,1,2,42,47.6,8.4,34.7,90.7,595231.9521147881,29283.692108449184
060790123051016,0,0,0,0,12,8.4,0,7.2,15.6,325468.3474788939,447.79484096536254
060790123023078,0,0,0,0,2,1.4,0,1.2,2.6,95858.25750128728,6.555730982960375
060790123023076,2,2,0,0,8,7,2.4,5.8,15.2,59138.78153390298,14.980313807120089
060790127072016,78,0,0,78,40,301,93.6,133.2,527.8,389385.1841936643,9652.138513074044
060790118004005,29,17,0,12,11,61.6,34.8,31.9,128.3,499843.2768465649,19912.40934739586
060790107071012,24,0,0,24,30,105,28.8,51.6,185.4,372914.4312550201,2202.6297379968937
