id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
130299201033077,11,0,2,9,7,53.2,13.2,26.2,92.6,13186.45377543478,91.97162170200644
130299201012063,0,0,0,0,6,4.2,0,3.6,7.8,116226.92441320428,142.3315311524651
131030302052058,14,1,6,7,117,157.5,16.8,108.7,283,166126.8865395058,1743.35477659462
131030304031011,31,29,2,0,145,138.6,37.2,110.9,286.7,327436.42293084215,372.2538335400625
131030303073008,0,0,0,0,32,22.4,0,19.2,41.6,276217.3987252751,3876.8901333785416
131030302091009,0,0,0,0,10,7,0,6,13,201838.56450951475,7654.012646752528
131030303092025,0,0,0,0,25,17.5,0,15,32.5,607196.506871274,212.626262960699
130299203072047,0,0,0,0,3,2.1,0,1.8,3.9,199983.31355832962,637.0818820807038
131030302092003,8,8,0,0,2,7,9.6,5.2,21.8,304256.50738385576,2485.765891888296
131030301003006,0,0,0,0,2,1.4,0,1.2,2.6,40379.109280747136,16.238371092399227
131030301001034,3,0,3,0,11,32.9,3.6,20.7,57.2,54213.90275543347,88.32237314843314
131030302051034,4,0,3,1,3,30.8,4.8,17.3,52.9,207308.27786565316,1614.6392563684387
130299203051073,12,0,1,11,15,57.4,14.4,29.1,100.9,894849.4967244983,7412.6456159926165
130299201033058,3,0,0,3,1,11.2,3.6,4.8,19.6,66507.4402617125,6126.937635225139
130299201031034,0,0,0,0,2,1.4,0,1.2,2.6,56800.420151576596,37.88622056185683
131030302071006,0,0,0,0,8,5.6,0,4.8,10.4,96857.81559326073,252.5385653867586
131030304042030,0,0,0,0,49,34.3,0,29.4,63.7,237952.0742467564,804.3232459108789
130299201041054,0,0,0,0,5,3.5,0,3,6.5,40865.635044417104,72.95433076685066
131030302052046,21,0,0,21,3,75.6,25.2,31.2,132,172133.89860588004,7498.635349338038
131030302044026,4,0,0,4,1,14.7,4.8,6.2,25.7,79544.9870195468,2082.4451742122833
130510023001007,0,0,0,0,39,27.3,0,23.4,50.7,1108228.0145308115,29045.07932119627
130510023001018,0,0,0,0,4,2.8,0,2.4,5.2,1095221.1358473347,22388.335725363955
130510027004004,0,0,0,0,14,9.8,0,8.4,18.2,1075785.319113869,18236.249366217216
130510035022011,0,0,0,0,11,7.7,0,6.6,14.3,1045941.848963163,15931.312102329379
130510111131009,0,0,0,0,3,2.1,0,1.8,3.9,533624.3627827174,1176.4399728168244
130510111081002,9,7,0,2,93,77,10.8,62.1,149.9,613143.6208601178,1929.2696327916574
130510035011019,0,0,0,0,6,4.2,0,3.6,7.8,1056386.5628588663,21775.232529042634
130510026002014,9,0,0,9,14,41.3,10.8,21,73.1,1088979.636525799,31479.623486073102
130510105022008,0,0,0,0,10,7,0,6,13,1057921.867155285,1576.0901610549454
130510026002020,12,0,12,0,6,105.00000000000001,14.4,60.00000000000001,179.4,1091877.9221532934,29780.545420689763
130510020002017,0,0,0,0,25,17.5,0,15,32.5,1081164.1418158081,40125.64523311816
130510006013010,0,0,0,0,9,6.3,0,5.4,11.7,1114460.0913326521,10174.824794538605
130510108011026,8,8,0,0,10,12.6,9.6,10,32.2,911277.3174407318,1433.8062688365833
130510110071004,0,0,0,0,67,46.9,0,40.2,87.1,927086.2137746747,2002.7482389714328
130510111041014,244,22,29,193,59,975.8,292.8,452.9,1721.5,802102.7714258609,7239.890483094986
130510111044001,12,1,0,11,188,170.8,14.4,128.7,313.9,618058.835984149,435.028412549898
130510110061019,4,0,0,4,21,28.7,4.8,18.2,51.7,758500.8769710984,2143.523830827841
131030303061018,0,0,0,0,15,10.5,0,9,19.5,472040.04606230673,1244.1050502609833
131030303061007,0,0,0,0,16,11.2,0,9.6,20.8,550528.2344303378,3620.2301930478325
131030302052007,0,0,0,0,14,9.8,0,8.4,18.2,132160.1462922992,1741.7941216004278
131030301002018,0,0,0,0,12,8.4,0,7.2,15.6,4342.90432983166,14.987355137422897
130510111042013,0,0,0,0,10,7,0,6,13,763692.0409511612,7845.804242956403
130510022003001,0,0,0,0,16,11.2,0,9.6,20.8,1042752.8906409895,15629.39686743071
130510036022015,0,0,0,0,13,9.1,0,7.8,16.9,1022230.0075676016,17814.513478691293
130510038001010,4,4,0,0,2,4.2,4.8,3.2,12.2,1011258.4525039016,28145.288351457213
130510101021002,46,43,0,3,14,50.4,55.2,34.1,139.7,995390.5492015474,12076.792425051563
130510039002004,22,22,0,0,17,27.3,26.4,21.2,74.9,1037994.7048064575,5950.403559638778
130510119001043,1,0,0,1,12,11.9,1.2,8.6,21.7,1098043.9794534014,173750.25795142612
130510011001012,3,3,0,0,23,18.2,3.6,15.3,37.1,1093263.0482473099,159138.52962760956
130510113002008,0,0,0,0,11,7.7,0,6.6,14.3,1095487.3123948774,105665.46097882015
130510108132020,1,0,0,1,11,11.2,1.2,8,20.4,992509.0768042587,1309.5188317743277
130510113002011,0,0,0,0,7,4.9,0,4.2,9.1,1089789.2067146571,95424.07605718853
130510107031003,0,0,0,0,17,11.9,0,10.2,22.1,773326.0772541129,1507.8177468849121
130510110042012,10,5,0,5,85,80.5,12,60.5,153,889731.6705152724,1492.721458106811
130510111153007,0,0,0,0,19,13.3,0,11.4,24.7,805777.0222608829,345.8019708563307
130510111073013,0,0,0,0,9,6.3,0,5.4,11.7,938705.1067940572,4572.975702439812
130510113002025,2,0,0,2,30,28,2.4,20.8,51.2,1096258.7869098817,80620.5888006265
130510106032007,0,0,0,0,52,36.4,0,31.2,67.6,1072701.7924537146,1523.604190238018
130510101022010,6,0,0,6,24,37.8,7.2,22.8,67.8,996881.727598801,26198.155901154572
130510111111022,0,0,0,0,9,6.3,0,5.4,11.7,314996.371000133,6335.808422671168
130510028002010,0,0,0,0,3,2.1,0,1.8,3.9,1085795.294332076,12069.465522888137
130510043001036,0,0,0,0,6,4.2,0,3.6,7.8,1009568.5288270089,7329.601216455865
130510043001033,0,0,0,0,15,10.5,0,9,19.5,1018032.7344651343,4390.285345815953
130510045003026,17,16,0,1,47,47.6,20.4,37.6,105.6,1046831.1110793432,1235.5774000573856
130510036011030,0,0,0,0,21,14.7,0,12.6,27.3,1032610.3677409771,8272.78242790963
130510028002003,0,0,0,0,4,2.8,0,2.4,5.2,1088150.769405781,14875.985968607116
130510034004006,0,0,0,0,15,10.5,0,9,19.5,1060253.3037675112,40599.477345986976
130510030002008,0,0,0,0,1,0.7,0,0.6,1.3,1083108.267181902,23869.49806091301
130510030002028,0,0,0,0,12,8.4,0,7.2,15.6,1073953.4766250472,26659.09028054306
