id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
100050507032019,0,0,0,0,3,2.1,0,1.8,3.9,354699.4279372861,1031.0458966301546
100050510172042,1,0,0,1,6,7.7,1.2,5,13.9,334776.15032705007,5236.106293894743
100050517021090,0,0,0,0,6,4.2,0,3.6,7.8,144421.08475842135,44.895064176200634
100050517023006,0,0,0,0,9,6.3,0,5.4,11.7,248470.44439618805,4707.010440035954
100050510172022,0,0,0,0,21,14.7,0,12.6,27.3,257194.98963784106,226.52894155039525
100050505061042,11,0,0,11,5,42,13.2,18.4,73.6,471430.5769802091,25427.453704606178
100050504061003,1,0,0,1,20,17.5,1.2,13.4,32.1,240725.6307586262,1826.1114010892866
100050505032005,32,11,0,21,13,90.3,38.4,42.7,171.4,336459.53595633694,232.20538662319984
100050501042044,0,0,0,0,17,11.9,0,10.2,22.1,179703.99189490295,9074.819132831726
100050506012012,3,2,0,1,29,25.2,3.6,19.8,48.6,232383.59642483894,188.8937263014148
100050518022017,1,1,0,0,17,12.6,1.2,10.7,24.5,193719.4341502867,749.8759928952251
100050518012021,0,0,0,0,3,2.1,0,1.8,3.9,221530.3389276611,4005.959951534858
100050518023023,6,0,0,6,2,22.4,7.2,9.6,39.2,250132.3520491218,8361.393536696482
100050513082015,0,0,0,0,5,3.5,0,3,6.5,208208.15834599826,100.80395973843683
100050510162004,23,8,2,13,3,70,27.6,33.4,131,302187.4487950714,4261.759222651992
100050507061003,0,0,0,0,1,0.7,0,0.6,1.3,265210.6303737826,639.04302580650506
100050504083006,32,0,32,0,24,285.6,38.4,164.8,488.8,239118.2530223995,1862.2114659996253
100050507062023,0,0,0,0,3,2.1,0,1.8,3.9,305762.57107133546,1593.0424260466589
100050513081034,0,0,0,0,20,14,0,12,26,158862.76584855997,233.8473782843828
100050507031016,0,0,0,0,124,86.8,0,74.4,161.2,359478.58971708495,559.1678802317062
100050519003049,0,0,0,0,2,1.4,0,1.2,2.6,135703.8110124362,2183.945390778631
100050501041028,35,0,0,35,10,129.5,42,55,226.5,191944.0684818801,17798.475135692774
