id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
120610509032070,0,0,0,0,7,4.9,0,4.2,9.1,338173.63675636635,2455.6464701125933
120610509091066,0,0,0,0,2,1.4,0,1.2,2.6,310027.4247266763,954.4335580573091
120610508102027,9,0,0,9,59,72.8,10.8,48,131.6,285659.31422334193,1606.4164840508456
120610501011027,10,0,0,10,116,116.2,12,83.6,211.8,400489.41156402935,37038.41026926764
120610507071003,4,0,0,4,30,35,4.8,23.6,63.4,366499.69224971766,5628.672684668675
120610507041002,4,4,0,0,8,8.4,4.8,6.8,20,398218.49174852704,1793.8207893549861
120610503031012,5,0,0,5,140,115.5,6,91,212.5,414037.8607396204,3075.6112201553055
120610502012068,0,0,0,0,9,6.3,0,5.4,11.7,414128.4648691993,34565.51551026146
120610509052009,0,0,0,0,31,21.7,0,18.6,40.3,393025.7204487805,1709.1785334531983
120610509061015,0,0,0,0,26,18.2,0,15.6,33.8,389171.2934817288,2436.822906678713
120610501012005,22,0,0,22,9,83.3,26.4,36.2,145.9,412300.4905919498,29843.546089258176
120610502011028,35,18,0,17,8,77.7,42,37.6,157.3,413243.7809312289,16337.082071468136
120610507071025,5,0,0,5,13,26.6,6,14.8,47.4,369167.6424021254,5804.099701858157
120610509031042,1,0,0,1,18,16.1,1.2,12.2,29.5,321539.67215532763,1910.3328037075057
120610502011017,2,0,0,2,6,11.2,2.4,6.4,20,413843.0927025023,29966.243061558147
120610506082028,1,1,0,0,15,11.2,1.2,9.5,21.9,338665.56480675895,1168.280807442823
120610503042008,3,0,1,2,7,20.3,3.6,11.7,35.6,414625.5532715362,5639.485911490863
120610502011007,0,0,0,0,3,2.1,0,1.8,3.9,413649.68955287914,17030.692589305883
120610508071047,10,5,0,5,19,34.3,12,20.9,67.2,324995.47050852637,6553.688625132085
120610508082079,147,0,0,147,54,552.3,176.4,238.2,966.9,335155.0995960577,16219.787176522304
