id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
221030411013007,0,0,0,0,16,11.2,0,9.6,20.8,388702.7153221433,935.6643449564453
221030401053029,0,0,0,0,6,4.2,0,3.6,7.8,484515.4291537865,1819.1942369290437
221030401061092,1,1,0,0,3,2.8,1.2,2.3,6.3,49773.295111777945,6.590499606837045
221030412111056,0,0,0,0,10,7,0,6,13,551716.521782792,13005.317485665073
221030401052050,0,0,0,0,6,4.2,0,3.6,7.8,485130.7910428784,2414.3571369325996
221030408062004,265,56,30,179,13,926.8,318,427.4,1672.2,327571.25859432423,3385.361606488126
221030408061031,0,0,0,0,12,8.4,0,7.2,15.6,300267.9557875185,2320.4525586927057
221030412112014,0,0,0,0,39,27.3,0,23.4,50.7,536008.6415810626,1314.9335435581067
221030407102004,0,0,0,0,31,21.7,0,18.6,40.3,289448.21412680595,2539.4918169286
221030407101008,10,0,0,10,39,62.3,12,37.4,111.7,306579.38741119544,850.7170910695191
221030401062044,0,0,0,0,2,1.4,0,1.2,2.6,315008.4065082981,374.3356644451132
221030408064009,0,0,0,0,21,14.7,0,12.6,27.3,264542.4282254191,2760.94139741609
221030412111048,4,1,0,3,25,28.7,4.8,19.7,53.2,523087.2811812923,1854.7717110161577
221030406021007,1,0,0,1,6,7.7,1.2,5,13.9,503816.7557916974,67852.71077149644
221030406062008,0,0,0,0,27,18.9,0,16.2,35.1,481122.99551289843,1190.5063332009263
221030409002023,0,0,0,0,3,2.1,0,1.8,3.9,371380.8852904378,14620.254152561123
221030408064013,11,0,0,11,4,41.3,13.2,17.8,72.3,337209.89120996254,5184.851033477192
221030412111042,18,1,1,16,9,71.4,21.6,33,126,477470.853793912,857.503083140634
221030405021030,0,0,0,0,14,9.8,0,8.4,18.2,478889.5080723928,1927.5677871441133
221030408062009,0,0,0,0,52,36.4,0,31.2,67.6,317878.01446374605,3752.023622753859
221030406082026,0,0,0,0,41,28.7,0,24.6,53.3,484231.61982012057,2104.9262377903424
221030411031051,4,3,0,1,41,34.3,4.8,27.5,66.6,406219.7311219252,17710.29238732609
221030407112008,0,0,0,0,37,25.9,0,22.2,48.1,534093.9348433666,735.0504555268938
221030412072015,1101,4,30,1067,76,4042.5,1321.2,1682.4,7046.1,557547.8380468042,11238.392341571707
221030412131033,0,0,0,0,8,5.6,0,4.8,10.4,412575.9904105659,68.11046169551308
221030409002016,0,0,0,0,24,16.8,0,14.4,31.2,340367.5930728441,11942.183344143803
221030402051021,6,0,0,6,72,71.4,7.2,51.6,130.2,488192.1127069956,5948.032442477092
221030405021020,11,1,6,4,1,65.8,13.2,34.9,113.9,456817.72223161947,798.9462728966521
221030406062012,3,3,0,0,13,11.2,3.6,9.3,24.1,540492.2234565982,1058.609495522144
221030410042010,7,0,0,7,41,53.2,8.4,34.4,96,449063.94562393957,3856.7682037950162
221030412122014,1,1,0,0,9,7,1.2,5.9,14.1,584325.3116098999,2032.2428606986366
221030403091013,0,0,0,0,12,8.4,0,7.2,15.6,374688.42860897764,989.8595942887697
221030406091008,0,0,0,0,32,22.4,0,19.2,41.6,559790.0620097428,29639.111009081924
221030403082006,1,1,0,0,17,12.6,1.2,10.7,24.5,497463.2344510022,1986.0338535856843
221030406022048,2,0,0,2,13,16.1,2.4,10.6,29.1,443336.10394554504,1330.3749423315076
221030412092026,0,0,0,0,9,6.3,0,5.4,11.7,563073.0362422259,11830.539828241761
221030404021040,0,0,0,0,19,13.3,0,11.4,24.7,438261.7664154293,1300.219461427194
221030412093019,1,0,0,1,8,9.1,1.2,6.2,16.5,519034.62726556335,12687.632177145711
221030407123010,0,0,0,0,9,6.3,0,5.4,11.7,564989.4303961728,120.05784643034113
221030401071019,0,0,0,0,7,4.9,0,4.2,9.1,190778.1138777764,54.53663690176675
221030409003026,0,0,0,0,3,2.1,0,1.8,3.9,371378.22913739516,17023.252879978212
221030411011010,0,0,0,0,4,2.8,0,2.4,5.2,445698.6460599853,2003.5265801123749
221030401052012,0,0,0,0,3,2.1,0,1.8,3.9,508301.2576286597,2595.0376792950906
221030408061018,0,0,0,0,9,6.3,0,5.4,11.7,321193.3849055246,4680.513185679115
221030407132001,0,0,0,0,12,8.4,0,7.2,15.6,429845.8080431968,1313.5563481603974
221030401032005,0,0,0,0,3,2.1,0,1.8,3.9,132160.07483987464,98.453496799706
221030407131012,20,13,5,2,43,88.2,24,58.6,170.8,344362.4269637217,1939.3974119882826
221030403092018,0,0,0,0,7,4.9,0,4.2,9.1,414938.53867851495,541.5142848703518
221030405011065,9,0,0,9,10,38.5,10.8,18.6,67.9,527540.701045765,66665.25653599798
221030412022005,0,0,0,0,9,6.3,0,5.4,11.7,476019.7752497465,2523.775046943675
221030412092022,0,0,0,0,13,9.1,0,7.8,16.9,562108.7032674932,11554.749587286131
221030402041004,0,0,0,0,7,4.9,0,4.2,9.1,452124.6566506148,633.2885757418785
221030411031032,0,0,0,0,4,2.8,0,2.4,5.2,413048.8779825945,4550.794687932905
221030402042021,6,6,0,0,23,20.3,7.2,16.8,44.3,402242.8883885767,377.6607151693561
221030406081004,102,102,0,0,57,111.3,122.4,85.2,318.9,475522.29489154625,1622.9612666234202
221030403082021,0,0,0,0,22,15.4,0,13.2,28.6,444746.06274407316,1138.1770967519103
