id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
484159501002043,0,0,0,0,2,1.4,0,1.2,2.6,39329.48244425355,4205.442374205136
484159503005005,1,1,0,0,56,39.9,1.2,34.1,75.2,39240.045648435604,8998.987188665844
484159502001028,0,0,0,0,3,2.1,0,1.8,3.9,16270.314027006538,18.55882188198208
484159501001005,0,0,0,0,2,1.4,0,1.2,2.6,39211.75001418404,1649.9319572834272
484159501001059,0,0,0,0,4,2.8,0,2.4,5.2,39264.410019430914,1726.3771664943074
484159506004003,30,30,0,0,3,23.1,36,16.8,75.9,39860.387972652614,1452.526321910477
484159506005007,17,7,0,10,3,42,20.4,19.3,81.7,39625.54844945614,4192.825740943458
484159506005012,0,0,0,0,10,7,0,6,13,39407.84646992942,4290.3919902635935
484159501001031,0,0,0,0,1,0.7,0,0.6,1.3,39400.81438535044,891.0168469323188
484159503001016,0,0,0,0,5,3.5,0,3,6.5,39137.305908791226,10419.87437063354
484159503003039,0,0,0,0,3,2.1,0,1.8,3.9,38939.4799531738,11443.403199715793
484159501001091,0,0,0,0,18,12.6,0,10.8,23.4,39724.3479762336,1197.7355919657532
484159501002077,0,0,0,0,4,2.8,0,2.4,5.2,39130.38989039643,5066.736955941771
484159501003202,57,57,0,0,4,42.7,68.4,30.9,142,39016.61501324204,958.8450886159663
484159501001113,0,0,0,0,2,1.4,0,1.2,2.6,39527.84104548243,1518.5831756043035
484159501002049,0,0,0,0,5,3.5,0,3,6.5,39332.267165675585,4037.5103658029193
484159503002030,0,0,0,0,25,17.5,0,15,32.5,38737.86171055286,6431.421882315593
484159503003035,9,0,0,9,7,36.4,10.8,16.8,64,38911.39385137315,11779.433443431757
484159501001053,0,0,0,0,5,3.5,0,3,6.5,39332.09768363415,1686.4867406298076
484159503003005,0,0,0,0,6,4.2,0,3.6,7.8,39029.24852557547,12051.361951707526
