id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
530630029001027,0,0,0,0,9,6.3,0,5.4,11.7,1626928.1936185472,20764.423372967743
530630127012012,0,0,0,0,6,4.2,0,3.6,7.8,1395903.2049481382,21166.320033274413
530630007001020,0,0,0,0,12,8.4,0,7.2,15.6,1522796.874007325,27789.679751685813
530630145003132,0,0,0,0,12,8.4,0,7.2,15.6,1634074.6306597053,49792.74920515034
530630131011039,0,0,0,0,27,18.9,0,16.2,35.1,1390616.2872391134,7284.354724815724
530630011003067,0,0,0,0,6,4.2,0,3.6,7.8,1578098.8445222827,21595.75923198716
530630102041007,0,0,0,0,3,2.1,0,1.8,3.9,714473.3052256905,54.03132617009912
530630120002040,27,3,0,24,75,138.6,32.4,80.1,251.1,1567498.7178410515,55657.95121061323
530630003012016,0,0,0,0,12,8.4,0,7.2,15.6,1577849.1090999718,19717.59815462167
530659502002039,0,0,0,0,19,13.3,0,11.4,24.7,44726.34439465983,30.66663686238316
530659503002048,12,0,12,0,4,103.6,14.4,58.8,176.8,48904.1330443139,24451.578764560836
530630122002027,101,0,8,93,15,403.2,121.2,176.8,701.2,1584148.2458154422,9482.490070699585
530630045001013,0,0,0,0,4,2.8,0,2.4,5.2,1566408.121760097,18845.359040948675
530630042002021,1,0,0,1,24,20.3,1.2,15.8,37.3,1567427.4940157437,17340.27834031721
530630047012002,0,0,0,0,8,5.6,0,4.8,10.4,1579792.548194848,15610.27815478939
530630043002015,0,0,0,0,11,7.7,0,6.6,14.3,1520448.4888293454,14213.669037279591
530630103042002,0,0,0,0,4,2.8,0,2.4,5.2,46043.66276648087,7.357790416154474
530630005002008,0,0,0,0,12,8.4,0,7.2,15.6,1540266.373482262,56334.104842925626
530630139003066,0,0,0,0,5,3.5,0,3,6.5,839764.3646301682,5629.607147083045
530630018002038,0,0,0,0,7,4.9,0,4.2,9.1,1611297.343155275,26874.01780933057
530630103052020,0,0,0,0,13,9.1,0,7.8,16.9,1149408.8615308218,2370.588456881106
530630145001079,0,0,0,0,3,2.1,0,1.8,3.9,1640611.0895560917,34697.78138723522
