id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
290770024022010,0,0,0,0,34,23.8,0,20.4,44.2,188006.22807509426,3617.6022427843677
290770047002024,0,0,0,0,5,3.5,0,3,6.5,153377.4695670881,5.9999929778984
290770041054010,0,0,0,0,16,11.2,0,9.6,20.8,181164.0439898399,2287.0116770042646
290770038011016,0,0,0,0,26,18.2,0,15.6,33.8,185799.01181148767,303.2270886723206
290770018001040,0,0,0,0,11,7.7,0,6.6,14.3,184968.49879055843,3357.1362238083807
290770009003016,0,0,0,0,15,10.5,0,9,19.5,183333.7294742532,5201.5318600340715
290770014012008,0,0,0,0,24,16.8,0,14.4,31.2,187616.12652640423,5084.874330875732
290770027003021,0,0,0,0,14,9.8,0,8.4,18.2,189244.41535532064,2457.441535719764
290430202043017,0,0,0,0,9,6.3,0,5.4,11.7,146680.60983082527,36.81515076099755
290430204021003,0,0,0,0,2,1.4,0,1.2,2.6,67859.4188407756,726.215997319385
290430204021008,0,0,0,0,10,7,0,6,13,39328.02957212207,152.3330632534497
290770041061027,0,0,0,0,16,11.2,0,9.6,20.8,173057.21168719642,1504.4090492113419
290430204022040,0,0,0,0,21,14.7,0,12.6,27.3,17245.1104080674,27.838584992997404
290770047001030,0,0,0,0,61,42.7,0,36.6,79.3,157262.8745286707,239.88075811889146
290770057004003,0,0,0,0,71,49.7,0,42.6,92.3,185645.21979166233,3572.8417367095767
290770040021010,0,0,0,0,56,39.2,0,33.6,72.8,184750.08532321051,458.67493718946423
290770007004020,0,0,0,0,8,5.6,0,4.8,10.4,180531.45857732673,4107.451264617578
290770049002089,0,0,0,0,16,11.2,0,9.6,20.8,51011.337439092655,23.598508673131803
290770049004033,0,0,0,0,18,12.6,0,10.8,23.4,141471.19063317732,81.1096433223838
290770040021031,0,0,0,0,10,7,0,6,13,175409.93156105356,423.41566813702883
290770037021033,0,0,0,0,5,3.5,0,3,6.5,183584.31368025023,61.02207495256302
290770030044010,0,0,0,0,29,20.3,0,17.4,37.7,185764.18493300382,2940.0487341026496
290770008001017,0,0,0,0,15,10.5,0,9,19.5,182780.5883763344,2892.6889427500287
290770024022012,0,0,0,0,123,86.1,0,73.8,159.9,189024.61891505227,3587.309543440694
290770013022006,0,0,0,0,11,7.7,0,6.6,14.3,189780.15036499838,4043.113599825967
290770041071011,0,0,0,0,3,2.1,0,1.8,3.9,182427.416105664,2526.578793515763
290770043053041,0,0,0,0,47,32.9,0,28.2,61.1,165113.75938781674,398.0970763092491
290770047004026,0,0,0,0,29,20.3,0,17.4,37.7,116275.54498362754,44.97857979161221
290770005012010,0,0,0,0,35,24.5,0,21,45.5,182973.76394779634,5190.225015850548
290770055001000,0,0,0,0,72,50.4,0,43.2,93.6,180547.55598677657,3395.741522227987
290770042023030,0,0,0,0,10,7,0,6,13,180212.30743720673,3388.886509469736
290770030043017,0,0,0,0,1,0.7,0,0.6,1.3,185998.77223670372,3151.8476544751184
290770015002003,0,0,0,0,24,16.8,0,14.4,31.2,187120.75801022528,3644.7036357095226
291679603011082,0,0,0,0,5,3.5,0,3,6.5,3633.3227793864235,6.851574185232575
291679602011035,0,0,0,0,4,2.8,0,2.4,5.2,1124.9524014466085,26.884853218443936
291679603023031,0,0,0,0,1,0.7,0,0.6,1.3,19938.29665247679,216.79286121660004
291679603021090,0,0,0,0,1,0.7,0,0.6,1.3,21615.627326544658,3.70996776182888
290430202051005,0,0,0,0,22,15.4,0,13.2,28.6,163322.58435180003,1990.3161270803528
290430201023071,0,0,0,0,22,15.4,0,13.2,28.6,92195.48543044947,258.2422252467621
290770047001068,0,0,0,0,7,4.9,0,4.2,9.1,145664.2932476859,68.84806516438685
290770024022001,0,0,0,0,37,25.9,0,22.2,48.1,184933.92780603442,3827.13007918393
291679603021019,0,0,0,0,3,2.1,0,1.8,3.9,13214.727500138551,19.696637397415863
290770048031011,0,0,0,0,9,6.3,0,5.4,11.7,160356.599465506,2051.234265516522
290770045003000,0,0,0,0,11,7.7,0,6.6,14.3,97128.87538338732,14.290487860381129
290770015003010,0,0,0,0,3,2.1,0,1.8,3.9,185664.33822364005,3963.4249350019427
290770025021001,0,0,0,0,23,16.1,0,13.8,29.9,185200.53406292322,2029.968545082494
290770014011002,0,0,0,0,46,32.2,0,27.6,59.8,187017.36840052067,4606.00306553909
290770050011092,0,0,0,0,17,11.9,0,10.2,22.1,6021.190453638517,30.624628319592446
290770041071012,0,0,0,0,16,11.2,0,9.6,20.8,182801.67750507715,1872.8456311932096
290770048031061,0,0,0,0,129,90.3,0,77.4,167.7,130288.62009440425,555.6053116730038
290430201022003,0,0,0,0,41,28.7,0,24.6,53.3,95333.32062918274,1035.2126042270106
290430204023015,0,0,0,0,3,2.1,0,1.8,3.9,23560.078346754315,41.07316206887745
290430204011006,0,0,0,0,12,8.4,0,7.2,15.6,11333.339122980284,18.33044002954368
290430202052024,0,0,0,0,5,3.5,0,3,6.5,141787.14769248498,1299.702695757082
290430203101023,0,0,0,0,2,1.4,0,1.2,2.6,159971.4434873817,129.24365185537812
290770017002033,0,0,0,0,11,7.7,0,6.6,14.3,184152.42350927417,3966.257726795222
290770032003009,0,0,0,0,17,11.9,0,10.2,22.1,181841.5172157002,2435.9124799679803
290770043031013,0,0,0,0,10,7,0,6,13,174791.54841806035,442.8610934956529
290770044023015,0,0,0,0,18,12.6,0,10.8,23.4,165499.2402042083,691.4012565914577
290770043063008,0,0,0,0,10,7,0,6,13,177743.86669423603,2122.186929346653
290770025024011,0,0,0,0,16,11.2,0,9.6,20.8,182148.77209944572,2204.294803832151
290770044013006,0,0,0,0,13,9.1,0,7.8,16.9,173258.39360130395,1894.261011127347
290430202072017,0,0,0,0,13,9.1,0,7.8,16.9,176239.9889780134,627.2855342034761
290430202041013,0,0,0,0,24,16.8,0,14.4,31.2,155051.6316308362,1410.116196340706
290430204023036,0,0,0,0,6,4.2,0,3.6,7.8,50671.20571196038,15.860864440554272
290430204011088,0,0,0,0,4,2.8,0,2.4,5.2,37376.021940838284,19.99074111351493
290770040031015,0,0,0,0,12,8.4,0,7.2,15.6,180237.54815881138,655.9876381736431
290770052012099,0,0,0,0,14,9.8,0,8.4,18.2,109494.11304472231,50.159607016251144
290770040032040,0,0,0,0,77,53.9,0,46.2,100.1,188159.032796427,2047.3383261574759
290770042022001,0,0,0,0,32,22.4,0,19.2,41.6,185122.39301212007,1557.0222917532549
290770049002002,0,0,0,0,6,4.2,0,3.6,7.8,18331.55654444568,12.316729831987772
290770042022020,0,0,0,0,23,16.1,0,13.8,29.9,183909.7835780087,2322.5729087497975
290770024023007,0,0,0,0,32,22.4,0,19.2,41.6,187155.46707976787,3102.2007581789785
290770015006010,0,0,0,0,61,42.7,0,36.6,79.3,184801.91581715926,3620.2654311922324
290770027001012,0,0,0,0,3,2.1,0,1.8,3.9,188625.27541892184,2493.617835127216
290770046022038,0,0,0,0,1,0.7,0,0.6,1.3,104264.73703468668,41.52514220103104
290770004004000,0,0,0,0,2,1.4,0,1.2,2.6,184795.35328818698,5129.229235548818
290770048031016,0,0,0,0,15,10.5,0,9,19.5,157651.87070797378,1762.3126870710003
290770050012054,0,0,0,0,8,5.6,0,4.8,10.4,8770.060849568716,16.709830428108248
290770050012087,0,0,0,0,4,2.8,0,2.4,5.2,42592.306491924806,641.9545268443742
290770046012033,0,0,0,0,21,14.7,0,12.6,27.3,131092.59704400634,530.0404139027104
290770033002004,0,0,0,0,29,20.3,0,17.4,37.7,181930.33550344547,2585.5051539042615
290594801001178,0,0,0,0,2,1.4,0,1.2,2.6,4234.186774382911,4.6616442304184105
290770012003006,0,0,0,0,24,16.8,0,14.4,31.2,186556.49574481143,4204.159809441221
290770014011003,0,0,0,0,58,40.6,0,34.8,75.4,189335.00563177472,3417.2424161911727
290770026003007,0,0,0,0,18,12.6,0,10.8,23.4,189415.80059000032,1848.685469810447
291679604022025,0,0,0,0,12,8.4,0,7.2,15.6,21861.906072570928,1007.397833930584
291679603021067,0,0,0,0,24,16.8,0,14.4,31.2,32416.48430899109,230.56891930979432
290770040032026,0,0,0,0,21,14.7,0,12.6,27.3,187537.1694323558,2164.2905777585834
290770058012010,0,0,0,0,128,89.6,0,76.8,166.4,185602.58253993522,1524.7868087376955
290430203071038,0,0,0,0,8,5.6,0,4.8,10.4,176643.8153454883,137.5598313503433
290770005022017,0,0,0,0,9,6.3,0,5.4,11.7,181958.80600117077,6924.845731697047
291679603021071,0,0,0,0,27,18.9,0,16.2,35.1,60744.55682046881,52.731681122011395
291679601022020,0,0,0,0,1,0.7,0,0.6,1.3,10481.712480249183,208.6664144689496
290770037021036,0,0,0,0,10,7,0,6,13,185016.4166444526,68.15065709651795
290770050023061,0,0,0,0,5,3.5,0,3,6.5,126167.82123051245,113.0479973381651
290770025024013,0,0,0,0,25,17.5,0,15,32.5,184057.7252132121,2629.5109837523405
290770050021004,0,0,0,0,14,9.8,0,8.4,18.2,131712.01236150396,882.2339947987521
290770043062001,0,0,0,0,27,18.9,0,16.2,35.1,178763.38664345184,2213.367431733855
290430201011035,0,0,0,0,4,2.8,0,2.4,5.2,110611.7416106119,564.9805578827007
290430204011101,0,0,0,0,2,1.4,0,1.2,2.6,108742.3105032576,62.91008592847656
290430205021033,0,0,0,0,1,0.7,0,0.6,1.3,86503.27877028692,18.513607435805596
290430205021064,0,0,0,0,17,11.9,0,10.2,22.1,611.1100779473177,22.04770200660666
290430201012065,0,0,0,0,14,9.8,0,8.4,18.2,6452.962717075155,17.969981537249474
290430203103029,0,0,0,0,100,70,0,60,130,171315.29669615443,821.7975897132161
290430201022004,0,0,0,0,18,12.6,0,10.8,23.4,92571.1191343144,973.8244055709475
290594803022057,0,0,0,0,19,13.3,0,11.4,24.7,3828.3752712288315,24.0642564318805
290770050024043,0,0,0,0,4,2.8,0,2.4,5.2,15627.054982409438,6.655731969722253
290770040051007,0,0,0,0,120,84,0,72,156,187510.06284009165,2064.6735072700885
290430204021046,0,0,0,0,37,25.9,0,22.2,48.1,66351.0209889342,680.1005029918181
290430203102027,0,0,0,0,21,14.7,0,12.6,27.3,101789.57830957814,90.9404341246164
290430205012006,0,0,0,0,7,4.9,0,4.2,9.1,70460.88360326565,13.184357252296365
290430201024022,0,0,0,0,7,4.9,0,4.2,9.1,28410.262287725156,9.105371337024518
292254701021008,0,0,0,0,29,20.3,0,17.4,37.7,1053.3911650043558,36.95488338479025
290594801001100,0,0,0,0,1,0.7,0,0.6,1.3,1436.006206546038,1.1466071086206877
290594801003075,0,0,0,0,11,7.7,0,6.6,14.3,6751.84567085261,15.9979059981237
290594802005024,0,0,0,0,21,14.7,0,12.6,27.3,12807.741686318952,1228.1923962316264
292254701021042,0,0,0,0,2,1.4,0,1.2,2.6,30697.253172449346,15.207462116594314
292254703013018,0,0,0,0,1,0.7,0,0.6,1.3,96019.7121804578,223.2331728836507
292254702013045,0,0,0,0,10,7,0,6,13,28799.78027728179,1075.7918570329873
290594802003025,0,0,0,0,6,4.2,0,3.6,7.8,14627.118597741404,750.205694758383
292254701011071,0,0,0,0,3,2.1,0,1.8,3.9,11107.173112587092,198.4554916657648
292254703011004,0,0,0,0,24,16.8,0,14.4,31.2,6220.170014611523,34.37805250911811
292254702012008,0,0,0,0,8,5.6,0,4.8,10.4,34206.371936105745,1399.5465741196904
