id,total_emp,basic_emp,retail_emp,service_emp,n_HHs,hbo_attr,hbw_attr,nhb_attr,total_attr,car_access,no_car_access
130311104011021,0,0,0,0,2,1.4,0,1.2,2.6,198599.404358804,35218.174669295266
131099702003024,2,0,0,2,48,40.6,2.4,31.6,74.6,28983.589128877346,370.35060856093173
130311107011010,1,0,1,0,24,25.2,1.2,19.1,45.5,187822.31344292886,652.6858045229787
130311107021013,0,0,0,0,8,5.6,0,4.8,10.4,189678.77130811862,122.47306562145938
130311101002064,0,0,0,0,6,4.2,0,3.6,7.8,173759.79067057392,1343.7109132515134
131099701001086,0,0,0,0,9,6.3,0,5.4,11.7,48151.25098182638,164.20779099549443
131099702001029,0,0,0,0,21,14.7,0,12.6,27.3,50932.686358566796,4686.344404556488
130311105003010,0,0,0,0,8,5.6,0,4.8,10.4,197361.19677145383,18764.691321294606
130311102023032,0,0,0,0,4,2.8,0,2.4,5.2,197403.10390691413,33358.735683365965
130311105002036,153,7,65,81,12,842.8,183.6,429.6,1455.9999999999998,195104.42714887048,35448.92275777184
131099702004060,0,0,0,0,2,1.4,0,1.2,2.6,33089.01506855636,873.2265915034754
130311109023034,2,0,0,2,34,30.8,2.4,23.2,56.4,19977.808393200863,61.59066483797511
130311103013007,0,0,0,0,3,2.1,0,1.8,3.9,179424.9911482191,52.581187239565395
130311102021052,47,25,0,22,7,99.4,56.4,47.5,203.3,193962.4045080099,7040.161889866562
130311102023006,0,0,0,0,16,11.2,0,9.6,20.8,196864.93841770754,24038.92112728591
130311104011008,23,0,23,0,18,205.8,27.6,118.9,352.3,196679.5259293203,29225.27989768644
130311103024024,0,0,0,0,4,2.8,0,2.4,5.2,202102.54350172292,904.2331362670844
130311107013002,0,0,0,0,17,11.9,0,10.2,22.1,189839.94189235615,473.7376830051991
130311106041008,0,0,0,0,2,1.4,0,1.2,2.6,195513.65682980756,2030.8866370995186
130311106023009,44,0,42,2,1,360.5,52.8,200.8,614.1,196943.32638077773,30309.70286634985
131099702004035,0,0,0,0,4,2.8,0,2.4,5.2,43782.66260315437,1763.239439876162
131099703004087,0,0,0,0,5,3.5,0,3,6.5,24960.36541213696,39.03580549538102
130311102022021,0,0,0,0,9,6.3,0,5.4,11.7,196380.25395170078,23105.365672375017
130311101003102,0,0,0,0,3,2.1,0,1.8,3.9,99028.98599244667,12.120631556825103
130311107032005,0,0,0,0,2,1.4,0,1.2,2.6,24205.91187435016,11.258850599705811
130311107021010,0,0,0,0,6,4.2,0,3.6,7.8,185881.62488545594,423.7413086258108
130311109011052,1,0,0,1,3,5.6,1.2,3.2,10,120641.71986576587,34.54878781092382
131099702002069,117,0,0,117,1,410.2,140.4,164.4,715,41539.59873847846,1292.9664725742628
131099701002107,0,0,0,0,1,0.7,0,0.6,1.3,56088.510708912545,17.96883876457185
130311105001017,6,0,0,6,7,25.9,7.2,12.6,45.7,197239.34487279804,32229.29991738579
130311106031005,2,0,0,2,73,58.1,2.4,46.6,107.1,190940.62099225487,748.3780644206216
131099702002029,0,0,0,0,7,4.9,0,4.2,9.1,56112.46702437621,6678.278046414935
131099702003049,0,0,0,0,3,2.1,0,1.8,3.9,26308.448278304233,13.282284831476682
131099702001039,0,0,0,0,6,4.2,0,3.6,7.8,49656.28891570946,4193.879499888132
130311105002032,0,0,0,0,2,1.4,0,1.2,2.6,197050.56401127612,39970.280718651244
130311107012022,0,0,0,0,10,7,0,6,13,106985.2996026357,13.863627297198146
130311106022032,0,0,0,0,1,0.7,0,0.6,1.3,170748.63093404166,24.748250302573865
131099702004068,0,0,0,0,29,20.3,0,17.4,37.7,34780.19061991692,661.8210483686294
130311107013029,0,0,0,0,4,2.8,0,2.4,5.2,184149.40646200735,18.21786568508638
130311104011020,0,0,0,0,8,5.6,0,4.8,10.4,197921.43874729407,35317.39442712408
130311105001005,62,0,0,62,13,226.1,74.4,94.6,395.1,200070.21498913234,40195.16887144767
130311101003006,0,0,0,0,3,2.1,0,1.8,3.9,114031.76801532661,11.808796122245301
130311106024011,3,1,2,0,7,22.4,3.6,14.1,40.1,194186.68583673422,910.3605136281799
130311104081005,2,0,0,2,1,7.7,2.4,3.4,13.5,200356.9560635396,8898.973032619395
131099702001002,15,0,0,15,6,56.7,18,24.6,99.3,35520.7359380571,421.5579393601828
130311101002051,0,0,0,0,4,2.8,0,2.4,5.2,173018.68405536286,830.881277303567
130311107032025,0,0,0,0,17,11.9,0,10.2,22.1,188353.49339932055,392.25938200633675
130311105003022,0,0,0,0,34,23.8,0,20.4,44.2,198014.57473527302,4590.133573630063
130311107022024,0,0,0,0,14,9.8,0,8.4,18.2,179335.4094980224,879.380671095702
130311106023026,4,0,0,4,13,23.1,4.8,13.4,41.3,196626.13953022644,31301.502182458098
130311102023034,62,0,0,62,19,230.3,74.4,98.2,402.9,197531.6316050908,31936.22641644073
130311101003098,0,0,0,0,7,4.9,0,4.2,9.1,161126.0274342185,984.5651788445606
130311109013004,0,0,0,0,2,1.4,0,1.2,2.6,71610.96098997841,44.55936869827835
130311106031001,0,0,0,0,8,5.6,0,4.8,10.4,193251.4946097763,1159.63787467115
130311103013052,0,0,0,0,4,2.8,0,2.4,5.2,158637.33813258074,20.08472187156307
131099702003082,0,0,0,0,1,0.7,0,0.6,1.3,25071.37812968186,6.805697435465109
130311109022044,0,0,0,0,7,4.9,0,4.2,9.1,4926.046248513411,8.998328267897161
131099702004010,1,1,0,0,8,6.3,1.2,5.3,12.8,32040.536950822312,112.36831373836662
131099703002051,0,0,0,0,4,2.8,0,2.4,5.2,74451.08359385673,12501.641701398374
130311102021042,0,0,0,0,8,5.6,0,4.8,10.4,193088.51100311166,464.93781228247144
130311104014011,0,0,0,0,46,32.2,0,27.6,59.8,197861.03662172827,6485.690691986671
130311107022031,0,0,0,0,10,7,0,6,13,191492.54780859663,143.17895487732105
130311107022011,7,0,0,7,58,65.1,8.4,44.6,118.1,190862.52419186998,132.51099868534908
130311101002094,1,0,0,1,7,8.4,1.2,5.6,15.2,168875.00582469677,29.210845982271216
131099701002115,0,0,0,0,3,2.1,0,1.8,3.9,40543.03712556963,81.11573795157727
130311105003028,15,0,0,15,57,92.4,18,55.2,165.6,200225.46070860338,7454.328423319347
130311103013067,0,0,0,0,2,1.4,0,1.2,2.6,86289.14245182413,2.0655701189585094
130311107012000,0,0,0,0,5,3.5,0,3,6.5,187642.11236247915,3422.259357467421
130311103013062,3,3,0,0,1,2.8,3.6,2.1,8.5,161565.92619724662,61.408737688995934
131099702002050,0,0,0,0,5,3.5,0,3,6.5,54151.89297471925,5280.973238185717
130311105001030,39,30,3,6,9,73.5,46.8,42.9,163.2,198759.13610330748,32629.752896873008
130311103022018,3,0,0,3,19,23.8,3.6,15.6,43,193985.50671187002,524.9149888966398
130311105001010,23,0,23,0,87,254.1,27.6,160.3,442.00000000000006,199453.92591055518,34719.86914514539
130311107011014,0,0,0,0,2,1.4,0,1.2,2.6,191894.60456564635,6.957493272923604
131099701002029,4,4,0,0,2,4.2,4.8,3.2,12.2,104401.21266907785,35.17023140853909
131099702004058,0,0,0,0,3,2.1,0,1.8,3.9,30596.275763842958,394.95653306848595
130311103021001,0,0,0,0,6,4.2,0,3.6,7.8,197845.29281435363,791.3808308320852
130311103011032,0,0,0,0,9,6.3,0,5.4,11.7,196109.29171978982,534.04802563391
131099703003015,0,0,0,0,25,17.5,0,15,32.5,64417.00191469799,10487.20276208659
131099702001013,0,0,0,0,10,7,0,6,13,48820.85397993075,3917.097877265409
130311107012047,0,0,0,0,1,0.7,0,0.6,1.3,163274.18327868052,6.868340302506994
130311103021000,0,0,0,0,2,1.4,0,1.2,2.6,200710.38603234245,1239.213350700727
130311101001005,0,0,0,0,4,2.8,0,2.4,5.2,17942.660165976275,6.991690413079866
130311108001093,0,0,0,0,1,0.7,0,0.6,1.3,114430.29238885018,5.421911193623298
130311101003081,0,0,0,0,2,1.4,0,1.2,2.6,163800.677826533,914.1902684274177
130311107013010,0,0,0,0,4,2.8,0,2.4,5.2,190511.82628476,373.182705659482
130311104071024,1,0,1,0,1,9.1,1.2,5.3,15.6,198698.31424328388,12875.458788681182
130311103024013,0,0,0,0,3,2.1,0,1.8,3.9,200529.91142609064,827.1495730284619
130311106041010,0,0,0,0,19,13.3,0,11.4,24.7,193540.929806066,1376.7383980974043
130311106022033,0,0,0,0,6,4.2,0,3.6,7.8,178018.02363732716,14.346624839502914
131099701002056,0,0,0,0,9,6.3,0,5.4,11.7,154895.8478134794,43.40744350929237
130311102021047,0,0,0,0,74,51.8,0,44.4,96.2,192768.82206479672,1801.726990582916
130311103022013,1,0,0,1,66,49.7,1.2,41,91.9,190695.06579187608,191.05310950601938
130311106031013,34,0,0,34,19,132.3,40.8,58.99999999999999,232.1,196134.7805126052,15784.508877015236
130311108001008,0,0,0,0,2,1.4,0,1.2,2.6,201272.1879816401,48.28965539974121
131099702003000,0,0,0,0,7,4.9,0,4.2,9.1,41586.811143564104,1610.092856574528
131099702002009,0,0,0,0,13,9.1,0,7.8,16.9,41350.01540190451,1885.4219339695267
130311101002021,0,0,0,0,1,0.7,0,0.6,1.3,153183.87583572188,44.17194606535701
130311102021050,0,0,0,0,10,7,0,6,13,192472.8804842363,1936.0539808761266
130311104081000,9,0,4,5,45,82.6,10.8,52.8,146.2,201972.60489376157,6087.413684328166
131099703004099,0,0,0,0,2,1.4,0,1.2,2.6,23415.813218822932,36.384007134735754
130311101003078,0,0,0,0,5,3.5,0,3,6.5,146023.8974731123,293.95626357249574
130311106032017,0,0,0,0,9,6.3,0,5.4,11.7,194437.77747599164,6725.543234089011
130311102021043,0,0,0,0,10,7,0,6,13,192907.4826823907,566.8812274863118
130311106033005,3,0,0,3,43,40.6,3.6,30,74.2,191165.68723457883,421.70213439757913
130311101003118,0,0,0,0,1,0.7,0,0.6,1.3,59338.01663663082,1.4256547134824895
130311109013041,0,0,0,0,6,4.2,0,3.6,7.8,138343.282230084,155.89340398142238
130311101003107,0,0,0,0,1,0.7,0,0.6,1.3,72967.8545052536,24.991122005027044
